Ano,Código_IBGE,Aprovação_Rural,Aprovação_Urbana,Reprovação_Rural,Reprovação_Urbana,Abandono_Rural,Abandono_Urbana,Matrículas_Rural,Matrículas_Urbana,Docentes_Rural,Docentes_Urbana,Estabelecimentos_Rural,Estabelecimentos_Urbana,Turmas_Rural,Turmas_Urbana,Populacao,Magreza_total_%,PIB,Poverty_%,Unemployed_%,Valor_Consolidado,Código_UF,Estado,UF,Município,Região,Acesso a internet %
2012,1100023,92.6,69.9,4.0,16.6,3.4,13.5,498,3453,42,172,1,6,15.0,136,92747,2.03,18938.68679,31.61,6.35,35517787.239999995,11,Rondônia,RO,Ariquemes,Norte,21
2012,1100031,92.1,91.3,2.6,5.2,5.3,3.5,38,230,6,22,1,1,3.0,11,6132,8.8,18938.68679,31.61,6.35,1521376.74,11,Rondônia,RO,Cabixi,Norte,21
2012,1100064,90.6,86.9,9.2,5.6,0.2,7.5,415,733,42,54,1,3,15.0,32,18093,6.92,18938.68679,31.61,6.35,2814808.69,11,Rondônia,RO,Colorado do Oeste,Norte,21
2012,1100072,91.4,83.3,5.3,4.4,3.3,12.3,155,237,12,19,2,1,6.0,13,8530,4.7,18938.68679,31.61,6.35,2284673.5500000003,11,Rondônia,RO,Corumbiara,Norte,21
2012,1100080,60.3,78.0,18.1,4.9,21.6,17.1,192,380,10,28,1,1,8.0,14,14355,4.23,18938.68679,31.61,6.35,5258803.02,11,Rondônia,RO,Costa Marques,Norte,21
2012,1100114,77.2,70.4,14.1,15.7,8.7,13.9,502,1819,30,119,3,5,20.0,71,51765,5.1,18938.68679,31.61,6.35,14027723.06,11,Rondônia,RO,Jaru,Norte,21
2012,1100122,81.6,73.8,11.7,12.8,6.7,13.4,210,4631,13,293,2,13,9.0,169,118092,3.54,18938.68679,31.61,6.35,15512738.19,11,Rondônia,RO,Ji-Paraná,Norte,21
2012,1100130,86.0,77.1,5.3,7.0,8.7,15.9,156,922,7,36,1,2,8.0,34,32403,6.880000000000001,18938.68679,31.61,6.35,12503134.17,11,Rondônia,RO,Machadinho D'Oeste,Norte,21
2012,1100205,72.3,69.2,6.5,19.8,21.2,11.0,833,12651,75,787,6,34,37.0,431,442701,5.07,18938.68679,31.61,6.35,99995564.07,11,Rondônia,RO,Porto Velho,Norte,21
2012,1100254,81.3,77.2,4.7,14.2,14.0,8.6,128,758,13,51,2,3,7.0,28,21709,6.9,18938.68679,31.61,6.35,4375512.0600000005,11,Rondônia,RO,Presidente Médici,Norte,21
2012,1100254,81.3,77.2,4.7,14.2,14.0,8.6,128,758,13,51,2,3,7.0,28,21709,5.54,18938.68679,31.61,6.35,4375512.0600000005,11,Rondônia,RO,Presidente Médici,Norte,21
2012,1100338,82.6,77.4,2.7,8.5,14.7,14.1,221,435,14,27,1,2,8.0,16,23719,3.24,18938.68679,31.61,6.35,10102950.25,11,Rondônia,RO,Nova Mamoré,Norte,21
2012,1100700,93.9,75.6,0.6,8.3,5.5,16.1,166,185,9,16,1,1,6.0,8,12847,5.94,18938.68679,31.61,6.35,5610610.49,11,Rondônia,RO,Campo Novo de Rondônia,Norte,21
2012,1100924,88.2,83.2,3.9,4.3,7.9,12.5,78,357,7,22,1,1,4.0,17,8721,3.09,18938.68679,31.61,6.35,4081672.1,11,Rondônia,RO,Chupinguaia,Norte,21
2012,1101005,86.0,88.6,0.0,1.8,14.0,9.6,240,232,28,19,4,1,13.0,7,10040,3.42,18938.68679,31.61,6.35,3715912.4,11,Rondônia,RO,Governador Jorge Teixeira,Norte,21
2012,1101476,82.8,95.9,10.9,0.8,6.3,3.3,64,120,5,10,1,1,3.0,5,3406,1.67,18938.68679,31.61,6.35,1234469.0,11,Rondônia,RO,Primavera de Rondônia,Norte,21
2012,1200013,85.1,74.4,8.9,12.5,6.0,13.1,172,473,19,16,2,1,7.0,16,13011,4.55,13360.7166,47.72,8.4,6535497.109999999,12,Acre,AC,Acrelândia,Norte,21
2012,1200054,95.4,72.1,1.5,18.6,3.1,9.3,66,235,7,11,1,1,7.0,6,6308,3.96,13360.7166,47.72,8.4,3823522.34,12,Acre,AC,Assis Brasil,Norte,21
2012,1200104,87.8,83.2,0.0,6.9,12.2,9.9,41,1040,4,49,1,1,4.0,34,22261,3.92,13360.7166,47.72,8.4,8270699.069999999,12,Acre,AC,Brasiléia,Norte,21
2012,1200138,98.0,84.8,0.0,11.6,2.0,3.6,99,323,9,13,5,1,8.0,10,8782,8.73,13360.7166,47.72,8.4,3808546.66,12,Acre,AC,Bujari,Norte,21
2012,1200179,92.3,85.5,1.3,2.6,6.4,11.9,83,255,14,15,2,1,4.0,8,9368,1.4,13360.7166,47.72,8.4,5318983.86,12,Acre,AC,Capixaba,Norte,21
2012,1200203,91.7,74.9,3.3,11.0,5.0,14.1,1034,3937,63,161,13,6,51.0,115,79819,3.99,13360.7166,47.72,8.4,23705546.43,12,Acre,AC,Cruzeiro do Sul,Norte,21
2012,1200203,91.7,74.9,3.3,11.0,5.0,14.1,1034,3937,63,161,13,6,51.0,115,79819,1.85,13360.7166,47.72,8.4,23705546.43,12,Acre,AC,Cruzeiro do Sul,Norte,21
2012,1200203,91.7,74.9,3.3,11.0,5.0,14.1,1034,3937,63,161,13,6,51.0,115,79819,0.0,13360.7166,47.72,8.4,23705546.43,12,Acre,AC,Cruzeiro do Sul,Norte,21
2012,1200252,100.0,78.0,0.0,10.9,0.0,11.1,9,759,1,38,1,1,1.0,24,15679,6.62,13360.7166,47.72,8.4,6067082.44,12,Acre,AC,Epitaciolândia,Norte,21
