Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas,Magreza_total_%,PIB,Poverty_%,Unemployed_%,Código_UF,Estado,UF,Município,Região,Acesso a internet %,adjusted_funding,adjusted_population
2012,1100023,92.6,4.0,3.4,498,42,1,15.0,2.03,18938.68679,31.61,6.35,11,Rondônia,RO,Ariquemes,Norte,21,5327668.085999999,13912.05
2012,1100031,92.1,2.6,5.3,38,6,1,3.0,8.8,18938.68679,31.61,6.35,11,Rondônia,RO,Cabixi,Norte,21,228206.511,919.8
2012,1100064,90.6,9.2,0.2,415,42,1,15.0,6.92,18938.68679,31.61,6.35,11,Rondônia,RO,Colorado do Oeste,Norte,21,422221.3035,2713.95
2012,1100072,91.4,5.3,3.3,155,12,2,6.0,4.7,18938.68679,31.61,6.35,11,Rondônia,RO,Corumbiara,Norte,21,342701.03250000003,1279.5
2012,1100080,60.3,18.1,21.6,192,10,1,8.0,4.23,18938.68679,31.61,6.35,11,Rondônia,RO,Costa Marques,Norte,21,788820.4529999999,2153.25
2012,1100114,77.2,14.1,8.7,502,30,3,20.0,5.1,18938.68679,31.61,6.35,11,Rondônia,RO,Jaru,Norte,21,2104158.459,7764.75
2012,1100122,81.6,11.7,6.7,210,13,2,9.0,3.54,18938.68679,31.61,6.35,11,Rondônia,RO,Ji-Paraná,Norte,21,2326910.7284999997,17713.8
2012,1100130,86.0,5.3,8.7,156,7,1,8.0,6.880000000000001,18938.68679,31.61,6.35,11,Rondônia,RO,Machadinho D'Oeste,Norte,21,1875470.1254999998,4860.45
2012,1100205,72.3,6.5,21.2,833,75,6,37.0,5.07,18938.68679,31.61,6.35,11,Rondônia,RO,Porto Velho,Norte,21,14999334.610499999,66405.15
2012,1100254,81.3,4.7,14.0,128,13,2,7.0,6.9,18938.68679,31.61,6.35,11,Rondônia,RO,Presidente Médici,Norte,21,656326.809,3256.35
2012,1100254,81.3,4.7,14.0,128,13,2,7.0,5.54,18938.68679,31.61,6.35,11,Rondônia,RO,Presidente Médici,Norte,21,656326.809,3256.35
2012,1100338,82.6,2.7,14.7,221,14,1,8.0,3.24,18938.68679,31.61,6.35,11,Rondônia,RO,Nova Mamoré,Norte,21,1515442.5374999999,3557.85
2012,1100700,93.9,0.6,5.5,166,9,1,6.0,5.94,18938.68679,31.61,6.35,11,Rondônia,RO,Campo Novo de Rondônia,Norte,21,841591.5735,1927.05
2012,1100924,88.2,3.9,7.9,78,7,1,4.0,3.09,18938.68679,31.61,6.35,11,Rondônia,RO,Chupinguaia,Norte,21,612250.815,1308.1499999999999
2012,1101005,86.0,0.0,14.0,240,28,4,13.0,3.42,18938.68679,31.61,6.35,11,Rondônia,RO,Governador Jorge Teixeira,Norte,21,557386.86,1506.0
2012,1101476,82.8,10.9,6.3,64,5,1,3.0,1.67,18938.68679,31.61,6.35,11,Rondônia,RO,Primavera de Rondônia,Norte,21,185170.35,510.9
