Município;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano;Ano
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Alta Floresta D'Oeste (RO); 24.228 ; 24.069 ; 25.728 ; 25.652 ; 25.578 ; 25.506 ; 25.437 ; 23.167 ; 22.945 ; 22.728 ; 22.516 
Ariquemes (RO); 91.570 ; 92.747 ; 101.269 ; 102.860 ; 104.401 ; 105.896 ; 107.345 ; 106.168 ; 107.863 ; 109.523 ; 111.148 
Cabixi (RO); 6.221 ; 6.132 ; 6.495 ; 6.424 ; 6.355 ; 6.289 ; 6.224 ; 5.438 ; 5.312 ; 5.188 ; 5.067 
Cacoal (RO); 78.959 ; 79.330 ; 85.863 ; 86.556 ; 87.226 ; 87.877 ; 88.507 ; 84.813 ; 85.359 ; 85.893 ; 86.416 
Cerejeiras (RO); 16.939 ; 16.852 ; 18.041 ; 18.013 ; 17.986 ; 17.959 ; 17.934 ; 16.444 ; 16.323 ; 16.204 ; 16.088 
Colorado do Oeste (RO); 18.338 ; 18.093 ; 19.190 ; 19.001 ; 18.817 ; 18.639 ; 18.467 ; 16.227 ; 15.882 ; 15.544 ; 15.213 
Corumbiara (RO); 8.655 ; 8.530 ; 9.036 ; 8.938 ; 8.842 ; 8.749 ; 8.659 ; 7.567 ; 7.391 ; 7.220 ; 7.052 
Costa Marques (RO); 14.023 ; 14.355 ; 15.853 ; 16.258 ; 16.651 ; 17.031 ; 17.400 ; 17.855 ; 18.331 ; 18.798 ; 19.255 
Espigão D'Oeste (RO); 28.963 ; 29.189 ; 31.699 ; 32.047 ; 32.385 ; 32.712 ; 33.030 ; 32.047 ; 32.374 ; 32.695 ; 33.009 
Guajará-Mirim (RO); 41.934 ; 42.202 ; 45.761 ; 46.203 ; 46.632 ; 47.048 ; 47.451 ; 45.783 ; 46.174 ; 46.556 ; 46.930 
Jaru (RO); 51.883 ; 51.765 ; 55.597 ; 55.669 ; 55.738 ; 55.806 ; 55.871 ; 51.933 ; 51.775 ; 51.620 ; 51.469 
Ji-Paraná (RO); 117.363 ; 118.092 ; 128.026 ; 129.242 ; 130.419 ; 131.560 ; 132.667 ; 127.907 ; 128.969 ; 130.009 ; 131.026 
Machadinho D'Oeste (RO); 31.780 ; 32.403 ; 35.633 ; 36.412 ; 37.167 ; 37.899 ; 38.609 ; 39.097 ; 39.991 ; 40.867 ; 41.724 
Nova Brasilândia D'Oeste (RO); 19.883 ; 19.891 ; 21.427 ; 21.511 ; 21.592 ; 21.670 ; 21.747 ; 20.459 ; 20.474 ; 20.489 ; 20.504 
Ouro Preto do Oeste (RO); 37.702 ; 37.482 ; 40.099 ; 40.010 ; 39.924 ; 39.840 ; 39.759 ; 36.340 ; 36.035 ; 35.737 ; 35.445 
Pimenta Bueno (RO); 33.981 ; 34.135 ; 36.939 ; 37.230 ; 37.512 ; 37.786 ; 38.051 ; 36.434 ; 36.660 ; 36.881 ; 37.098 
Porto Velho (RO); 435.732 ; 442.701 ; 484.992 ; 494.013 ; 502.748 ; 511.219 ; 519.436 ; 519.531 ; 529.544 ; 539.354 ; 548.952 
Presidente Médici (RO); 22.009 ; 21.709 ; 23.017 ; 22.783 ; 22.557 ; 22.337 ; 22.124 ; 19.409 ; 18.986 ; 18.571 ; 18.165 
Rio Crespo (RO); 3.346 ; 3.374 ; 3.666 ; 3.709 ; 3.750 ; 3.790 ; 3.829 ; 3.723 ; 3.764 ; 3.804 ; 3.843 
Rolim de Moura (RO); 50.899 ; 51.142 ; 55.357 ; 55.807 ; 56.242 ; 56.664 ; 57.074 ; 54.702 ; 55.058 ; 55.407 ; 55.748 
Santa Luzia D'Oeste (RO); 8.678 ; 8.476 ; 8.887 ; 8.706 ; 8.532 ; 8.362 ; 8.198 ; 6.781 ; 6.495 ; 6.216 ; 5.942 
Vilhena (RO); 77.937 ; 79.616 ; 87.727 ; 89.797 ; 91.801 ; 93.745 ; 95.630 ; 97.448 ; 99.854 ; 102.211 ; 104.517 
São Miguel do Guaporé (RO); 21.879 ; 21.927 ; 23.668 ; 23.803 ; 23.933 ; 24.059 ; 24.181 ; 22.931 ; 23.005 ; 23.077 ; 23.147 
Nova Mamoré (RO); 23.143 ; 23.719 ; 26.227 ; 26.925 ; 27.600 ; 28.255 ; 28.891 ; 29.757 ; 30.583 ; 31.392 ; 32.184 
