Estado;Codigo UF;UF;Código_IBGE;Municipio;Região
Rondônia;11;RO;1100015;Alta Floresta D'Oeste;Norte
Rondônia;11;RO;1100023;Ariquemes;Norte
Rondônia;11;RO;1100031;Cabixi;Norte
Rondônia;11;RO;1100049;Cacoal;Norte
Rondônia;11;RO;1100056;Cerejeiras;Norte
Rondônia;11;RO;1100064;Colorado do Oeste;Norte
Rondônia;11;RO;1100072;Corumbiara;Norte
Rondônia;11;RO;1100080;Costa Marques;Norte
Rondônia;11;RO;1100098;Espigão D'Oeste;Norte
Rondônia;11;RO;1100106;Guajará-Mirim;Norte
Rondônia;11;RO;1100114;Jaru;Norte
Rondônia;11;RO;1100122;Ji-Paraná;Norte
Rondônia;11;RO;1100130;Machadinho D'Oeste;Norte
Rondônia;11;RO;1100148;Nova Brasilândia D'Oeste;Norte
Rondônia;11;RO;1100155;Ouro Preto do Oeste;Norte
Rondônia;11;RO;1100189;Pimenta Bueno;Norte
Rondônia;11;RO;1100205;Porto Velho;Norte
Rondônia;11;RO;1100254;Presidente Médici;Norte
Rondônia;11;RO;1100262;Rio Crespo;Norte
Rondônia;11;RO;1100288;Rolim de Moura;Norte
Rondônia;11;RO;1100296;Santa Luzia D'Oeste;Norte
Rondônia;11;RO;1100304;Vilhena;Norte
Rondônia;11;RO;1100320;São Miguel do Guaporé;Norte
Rondônia;11;RO;1100338;Nova Mamoré;Norte
Rondônia;11;RO;1100346;Alvorada D'Oeste;Norte
Rondônia;11;RO;1100379;Alto Alegre dos Parecis;Norte
Rondônia;11;RO;1100403;Alto Paraíso;Norte
Rondônia;11;RO;1100452;Buritis;Norte
Rondônia;11;RO;1100502;Novo Horizonte do Oeste;Norte
Rondônia;11;RO;1100601;Cacaulândia;Norte
Rondônia;11;RO;1100700;Campo Novo de Rondônia;Norte
Rondônia;11;RO;1100809;Candeias do Jamari;Norte
Rondônia;11;RO;1100908;Castanheiras;Norte
Rondônia;11;RO;1100924;Chupinguaia;Norte
Rondônia;11;RO;1100940;Cujubim;Norte
Rondônia;11;RO;1101005;Governador Jorge Teixeira;Norte
Rondônia;11;RO;1101104;Itapuã do Oeste;Norte
Rondônia;11;RO;1101203;Ministro Andreazza;Norte
Rondônia;11;RO;1101302;Mirante da Serra;Norte
Rondônia;11;RO;1101401;Monte Negro;Norte
Rondônia;11;RO;1101435;Nova União;Norte
Rondônia;11;RO;1101450;Parecis;Norte
Rondônia;11;RO;1101468;Pimenteiras do Oeste;Norte
Rondônia;11;RO;1101476;Primavera de Rondônia;Norte
Rondônia;11;RO;1101484;São Felipe D'Oeste;Norte
Rondônia;11;RO;1101492;São Francisco do Guaporé;Norte
Rondônia;11;RO;1101500;Seringueiras;Norte
Rondônia;11;RO;1101559;Teixeirópolis;Norte
Rondônia;11;RO;1101609;Theobroma;Norte
Rondônia;11;RO;1101708;Urupá;Norte
Rondônia;11;RO;1101757;Vale do Anari;Norte
Rondônia;11;RO;1101807;Vale do Paraíso;Norte
Acre;12;AC;1200013;Acrelândia;Norte
Acre;12;AC;1200054;Assis Brasil;Norte
Acre;12;AC;1200104;Brasiléia;Norte
Acre;12;AC;1200138;Bujari;Norte
Acre;12;AC;1200179;Capixaba;Norte
Acre;12;AC;1200203;Cruzeiro do Sul;Norte
Acre;12;AC;1200252;Epitaciolândia;Norte
Acre;12;AC;1200302;Feijó;Norte
Acre;12;AC;1200328;Jordão;Norte
Acre;12;AC;1200336;Mâncio Lima;Norte
Acre;12;AC;1200344;Manoel Urbano;Norte
Acre;12;AC;1200351;Marechal Thaumaturgo;Norte
Acre;12;AC;1200385;Plácido de Castro;Norte
Acre;12;AC;1200393;Porto Walter;Norte
Acre;12;AC;1200401;Rio Branco;Norte
Acre;12;AC;1200427;Rodrigues Alves;Norte
Acre;12;AC;1200435;Santa Rosa do Purus;Norte
Acre;12;AC;1200450;Senador Guiomard;Norte
Acre;12;AC;1200500;Sena Madureira;Norte
Acre;12;AC;1200609;Tarauacá;Norte
Acre;12;AC;1200708;Xapuri;Norte
Acre;12;AC;1200807;Porto Acre;Norte
Amazonas;13;AM;1300029;Alvarães;Norte
Amazonas;13;AM;1300060;Amaturá;Norte
Amazonas;13;AM;1300086;Anamã;Norte
Amazonas;13;AM;1300102;Anori;Norte
Amazonas;13;AM;1300144;Apuí;Norte
Amazonas;13;AM;1300201;Atalaia do Norte;Norte
Amazonas;13;AM;1300300;Autazes;Norte
Amazonas;13;AM;1300409;Barcelos;Norte
Amazonas;13;AM;1300508;Barreirinha;Norte
Amazonas;13;AM;1300607;Benjamin Constant;Norte
Amazonas;13;AM;1300631;Beruri;Norte
Amazonas;13;AM;1300680;Boa Vista do Ramos;Norte
Amazonas;13;AM;1300706;Boca do Acre;Norte
Amazonas;13;AM;1300805;Borba;Norte
Amazonas;13;AM;1300839;Caapiranga;Norte
Amazonas;13;AM;1300904;Canutama;Norte
Amazonas;13;AM;1301001;Carauari;Norte
Amazonas;13;AM;1301100;Careiro;Norte
Amazonas;13;AM;1301159;Careiro da Várzea;Norte
Amazonas;13;AM;1301209;Coari;Norte
Amazonas;13;AM;1301308;Codajás;Norte
Amazonas;13;AM;1301407;Eirunepé;Norte
Amazonas;13;AM;1301506;Envira;Norte
Amazonas;13;AM;1301605;Fonte Boa;Norte
Amazonas;13;AM;1301654;Guajará;Norte
Amazonas;13;AM;1301704;Humaitá;Norte
Amazonas;13;AM;1301803;Ipixuna;Norte
Amazonas;13;AM;1301852;Iranduba;Norte
Amazonas;13;AM;1301902;Itacoatiara;Norte
Amazonas;13;AM;1301951;Itamarati;Norte
Amazonas;13;AM;1302009;Itapiranga;Norte
Amazonas;13;AM;1302108;Japurá;Norte
Amazonas;13;AM;1302207;Juruá;Norte
Amazonas;13;AM;1302306;Jutaí;Norte
Amazonas;13;AM;1302405;Lábrea;Norte
Amazonas;13;AM;1302504;Manacapuru;Norte
Amazonas;13;AM;1302553;Manaquiri;Norte
Amazonas;13;AM;1302603;Manaus;Norte
Amazonas;13;AM;1302702;Manicoré;Norte
Amazonas;13;AM;1302801;Maraã;Norte
Amazonas;13;AM;1302900;Maués;Norte
Amazonas;13;AM;1303007;Nhamundá;Norte
Amazonas;13;AM;1303106;Nova Olinda do Norte;Norte
Amazonas;13;AM;1303205;Novo Airão;Norte
Amazonas;13;AM;1303304;Novo Aripuanã;Norte
Amazonas;13;AM;1303403;Parintins;Norte
Amazonas;13;AM;1303502;Pauini;Norte
Amazonas;13;AM;1303536;Presidente Figueiredo;Norte
Amazonas;13;AM;1303569;Rio Preto da Eva;Norte
Amazonas;13;AM;1303601;Santa Isabel do Rio Negro;Norte
Amazonas;13;AM;1303700;Santo Antônio do Içá;Norte
Amazonas;13;AM;1303809;São Gabriel da Cachoeira;Norte
Amazonas;13;AM;1303908;São Paulo de Olivença;Norte
Amazonas;13;AM;1303957;São Sebastião do Uatumã;Norte
Amazonas;13;AM;1304005;Silves;Norte
Amazonas;13;AM;1304062;Tabatinga;Norte
Amazonas;13;AM;1304104;Tapauá;Norte
Amazonas;13;AM;1304203;Tefé;Norte
Amazonas;13;AM;1304237;Tonantins;Norte
Amazonas;13;AM;1304260;Uarini;Norte
Amazonas;13;AM;1304302;Urucará;Norte
Amazonas;13;AM;1304401;Urucurituba;Norte
Roraima;14;RR;1400027;Amajari;Norte
Roraima;14;RR;1400050;Alto Alegre;Norte
Roraima;14;RR;1400100;Boa Vista;Norte
Roraima;14;RR;1400159;Bonfim;Norte
Roraima;14;RR;1400175;Cantá;Norte
Roraima;14;RR;1400209;Caracaraí;Norte
Roraima;14;RR;1400233;Caroebe;Norte
Roraima;14;RR;1400282;Iracema;Norte
Roraima;14;RR;1400308;Mucajaí;Norte
Roraima;14;RR;1400407;Normandia;Norte
Roraima;14;RR;1400456;Pacaraima;Norte
