Região Geográfica,Unidade da Federação,Município,Código do Município,Urbana,Rural
 Centro-Oeste  , Distrito Federal  , Brasília  ,5300108,70,8
 Centro-Oeste  , Goiás  , Vila Propício  ,5222302,1,1
 Centro-Oeste  , Goiás  , Vila Boa  ,5222203,1,0
 Centro-Oeste  , Goiás  , Vicentinópolis  ,5222054,1,0
 Centro-Oeste  , Goiás  , Vianópolis  ,5222005,1,0
 Centro-Oeste  , Goiás  , Varjão  ,5221908,1,0
 Centro-Oeste  , Goiás  , Valparaíso de Goiás  ,5221858,12,0
 Centro-Oeste  , Goiás  , Urutaí  ,5221809,1,1
 Centro-Oeste  , Goiás  , Uruana  ,5221700,2,0
 Centro-Oeste  , Goiás  , Uruaçu  ,5221601,2,0
 Centro-Oeste  , Goiás  , Uirapuru  ,5221577,2,0
 Centro-Oeste  , Goiás  , Turvelândia  ,5221551,1,0
 Centro-Oeste  , Goiás  , Turvânia  ,5221502,1,0
 Centro-Oeste  , Goiás  , Trombas  ,5221452,1,0
 Centro-Oeste  , Goiás  , Trindade  ,5221403,6,0
 Centro-Oeste  , Goiás  , Três Ranchos  ,5221304,1,0
 Centro-Oeste  , Goiás  , Terezópolis de Goiás  ,5221197,1,0
 Centro-Oeste  , Goiás  , Teresina de Goiás  ,5221080,1,0
 Centro-Oeste  , Goiás  , Taquaral de Goiás  ,5221007,1,0
 Centro-Oeste  , Goiás  , Sítio d'Abadia  ,5220702,1,0
 Centro-Oeste  , Goiás  , Simolândia  ,5220686,1,0
 Centro-Oeste  , Goiás  , Silvânia  ,5220603,1,0
 Centro-Oeste  , Goiás  , Serranópolis  ,5220504,1,0
 Centro-Oeste  , Goiás  , Senador Canedo  ,5220454,5,0
 Centro-Oeste  , Goiás  , São Simão  ,5220405,3,0
 Centro-Oeste  , Goiás  , São Patrício  ,5220280,1,0
 Centro-Oeste  , Goiás  , São Miguel do Passa Quatro  ,5220264,1,0
 Centro-Oeste  , Goiás  , São Miguel do Araguaia  ,5220207,1,0
 Centro-Oeste  , Goiás  , São Luiz do Norte  ,5220157,1,0
 Centro-Oeste  , Goiás  , São Luís de Montes Belos  ,5220108,2,0
 Centro-Oeste  , Goiás  , São João da Paraúna  ,5220058,1,0
 Centro-Oeste  , Goiás  , São João d'Aliança  ,5220009,1,0
 Centro-Oeste  , Goiás  , São Francisco de Goiás  ,5219902,1,0
 Centro-Oeste  , Goiás  , São Domingos  ,5219803,1,1
 Centro-Oeste  , Goiás  , Santo Antônio do Descoberto  ,5219753,3,0
 Centro-Oeste  , Goiás  , Santo Antônio de Goiás  ,5219738,1,0
 Centro-Oeste  , Goiás  , Santo Antônio da Barra  ,5219712,1,0
 Centro-Oeste  , Goiás  , Santa Terezinha de Goiás  ,5219704,2,0
 Centro-Oeste  , Goiás  , Santa Tereza de Goiás  ,5219605,1,0
 Centro-Oeste  , Goiás  , Santa Rosa de Goiás  ,5219506,1,0
 Centro-Oeste  , Goiás  , Santa Rita do Novo Destino  ,5219456,1,0
 Centro-Oeste  , Goiás  , Santa Rita do Araguaia  ,5219407,1,0
 Centro-Oeste  , Goiás  , Santa Isabel  ,5219357,1,0
 Centro-Oeste  , Goiás  , Santa Helena de Goiás  ,5219308,1,0
 Centro-Oeste  , Goiás  , Santa Fé de Goiás  ,5219258,1,0
 Centro-Oeste  , Goiás  , Santa Cruz de Goiás  ,5219209,1,0
