Região Geográfica,Unidade da Federação,Município,Código do Município,Urbana,Rural
 Norte  , Rondônia  , Alta Floresta D'Oeste  ,1100015,732,31
 Norte  , Rondônia  , Alto Alegre dos Parecis  ,1100379,382,0
 Norte  , Rondônia  , Alto Paraíso  ,1100403,519,0
 Norte  , Rondônia  , Alvorada D'Oeste  ,1100346,447,0
 Norte  , Rondônia  , Ariquemes  ,1100023,"2,978",780
 Norte  , Rondônia  , Buritis  ,1100452,"1,185",0
 Norte  , Rondônia  , Cabixi  ,1100031,162,19
 Norte  , Rondônia  , Cacaulândia  ,1100601,149,0
 Norte  , Rondônia  , Cacoal  ,1100049,"2,902",86
 Norte  , Rondônia  , Campo Novo de Rondônia  ,1100700,266,99
 Norte  , Rondônia  , Candeias do Jamari  ,1100809,555,8
 Norte  , Rondônia  , Castanheiras  ,1100908,107,0
 Norte  , Rondônia  , Cerejeiras  ,1100056,429,0
 Norte  , Rondônia  , Chupinguaia  ,1100924,362,57
 Norte  , Rondônia  , Colorado do Oeste  ,1100064,445,531
 Norte  , Rondônia  , Corumbiara  ,1100072,138,81
 Norte  , Rondônia  , Costa Marques  ,1100080,322,93
 Norte  , Rondônia  , Cujubim  ,1100940,486,0
 Norte  , Rondônia  , Espigão D'Oeste  ,1100098,972,38
 Norte  , Rondônia  , Governador Jorge Teixeira  ,1101005,211,94
 Norte  , Rondônia  , Guajará-Mirim  ,1100106,"1,546",44
 Norte  , Rondônia  , Itapuã do Oeste  ,1101104,249,0
 Norte  , Rondônia  , Jaru  ,1100114,"1,453",361
 Norte  , Rondônia  , Ji-Paraná  ,1100122,"4,551",37
 Norte  , Rondônia  , Machadinho D'Oeste  ,1100130,829,176
 Norte  , Rondônia  , Ministro Andreazza  ,1101203,331,0
 Norte  , Rondônia  , Mirante da Serra  ,1101302,391,0
 Norte  , Rondônia  , Monte Negro  ,1101401,528,0
 Norte  , Rondônia  , Nova Brasilândia D'Oeste  ,1100148,597,0
 Norte  , Rondônia  , Nova Mamoré  ,1100338,510,407
 Norte  , Rondônia  , Nova União  ,1101435,228,0
 Norte  , Rondônia  , Novo Horizonte do Oeste  ,1100502,142,142
 Norte  , Rondônia  , Ouro Preto do Oeste  ,1100155,"1,062",0
 Norte  , Rondônia  , Parecis  ,1101450,133,4
 Norte  , Rondônia  , Pimenta Bueno  ,1100189,"1,118",272
 Norte  , Rondônia  , Pimenteiras do Oeste  ,1101468,80,0
 Norte  , Rondônia  , Porto Velho  ,1100205,"14,500",682
 Norte  , Rondônia  , Presidente Médici  ,1100254,575,62
 Norte  , Rondônia  , Primavera de Rondônia  ,1101476,98,49
 Norte  , Rondônia  , Rio Crespo  ,1100262,109,0
 Norte  , Rondônia  , Rolim de Moura  ,1100288,"1,955",0
 Norte  , Rondônia  , Santa Luzia D'Oeste  ,1100296,235,0
 Norte  , Rondônia  , São Felipe D'Oeste  ,1101484,213,0
 Norte  , Rondônia  , São Francisco do Guaporé  ,1101492,640,19
 Norte  , Rondônia  , São Miguel do Guaporé  ,1100320,838,0
 Norte  , Rondônia  , Seringueiras  ,1101500,424,0
 Norte  , Rondônia  , Teixeirópolis  ,1101559,151,0
 Norte  , Rondônia  , Theobroma  ,1101609,381,0
 Norte  , Rondônia  , Urupá  ,1101708,415,0
 Norte  , Rondônia  , Vale do Anari  ,1101757,253,0
 Norte  , Rondônia  , Vale do Paraíso  ,1101807,233,0
 Norte  , Rondônia  , Vilhena  ,1100304,"3,006",17
 Norte  , Acre  , Acrelândia  ,1200013,481,147
 Norte  , Acre  , Assis Brasil  ,1200054,229,59
 Norte  , Acre  , Brasiléia  ,1200104,848,170
 Norte  , Acre  , Bujari  ,1200138,320,197
 Norte  , Acre  , Capixaba  ,1200179,273,127
 Norte  , Acre  , Cruzeiro do Sul  ,1200203,"3,934","1,380"
 Norte  , Acre  , Epitaciolândia  ,1200252,615,39
 Norte  , Acre  , Feijó  ,1200302,"1,047",684
 Norte  , Acre  , Jordão  ,1200328,242,176
 Norte  , Acre  , Mâncio Lima  ,1200336,634,174
 Norte  , Acre  , Manoel Urbano  ,1200344,403,0
 Norte  , Acre  , Marechal Thaumaturgo  ,1200351,540,456
 Norte  , Acre  , Plácido de Castro  ,1200385,480,245
 Norte  , Acre  , Porto Acre  ,1200807,130,627
 Norte  , Acre  , Porto Walter  ,1200393,361,164
 Norte  , Acre  , Rio Branco  ,1200401,"14,600",709
 Norte  , Acre  , Rodrigues Alves  ,1200427,317,502
 Norte  , Acre  , Santa Rosa do Purus  ,1200435,147,259
 Norte  , Acre  , Sena Madureira  ,1200500,"1,103",421
 Norte  , Acre  , Senador Guiomard  ,1200450,733,237
 Norte  , Acre  , Tarauacá  ,1200609,"1,326",512
 Norte  , Acre  , Xapuri  ,1200708,445,150
 Norte  , Amazonas  , Alvarães  ,1300029,570,144
 Norte  , Amazonas  , Amaturá  ,1300060,365,412
 Norte  , Amazonas  , Anamã  ,1300086,410,312
 Norte  , Amazonas  , Anori  ,1300102,530,145
 Norte  , Amazonas  , Apuí  ,1300144,464,107
 Norte  , Amazonas  , Atalaia do Norte  ,1300201,574,30
 Norte  , Amazonas  , Autazes  ,1300300,"1,454",816
 Norte  , Amazonas  , Barcelos  ,1300409,610,211
 Norte  , Amazonas  , Barreirinha  ,1300508,958,"1,488"
 Norte  , Amazonas  , Benjamin Constant  ,1300607,"1,148","1,035"
 Norte  , Amazonas  , Beruri  ,1300631,935,478
 Norte  , Amazonas  , Boa Vista do Ramos  ,1300680,686,515
 Norte  , Amazonas  , Boca do Acre  ,1300706,"1,372",251
 Norte  , Amazonas  , Borba  ,1300805,965,897
 Norte  , Amazonas  , Caapiranga  ,1300839,293,344
 Norte  , Amazonas  , Canutama  ,1300904,298,87
 Norte  , Amazonas  , Carauari  ,1301001,"1,150",354
 Norte  , Amazonas  , Careiro  ,1301100,760,"1,037"
 Norte  , Amazonas  , Careiro da Várzea  ,1301159,394,761
 Norte  , Amazonas  , Coari  ,1301209,"3,295",805
 Norte  , Amazonas  , Codajás  ,1301308,808,260
