Região Geográfica,Unidade da Federação,Município,Código do Município,Urbana,Rural
 Centro-Oeste  , Distrito Federal  , Brasília  ,5300108,"2,177",57
 Centro-Oeste  , Goiás  , Vila Propício  ,5222302,5,3
 Centro-Oeste  , Goiás  , Vila Boa  ,5222203,10,0
 Centro-Oeste  , Goiás  , Vicentinópolis  ,5222054,12,0
 Centro-Oeste  , Goiás  , Vianópolis  ,5222005,17,0
 Centro-Oeste  , Goiás  , Varjão  ,5221908,6,0
 Centro-Oeste  , Goiás  , Valparaíso de Goiás  ,5221858,140,0
 Centro-Oeste  , Goiás  , Urutaí  ,5221809,6,9
 Centro-Oeste  , Goiás  , Uruana  ,5221700,21,0
 Centro-Oeste  , Goiás  , Uruaçu  ,5221601,54,0
 Centro-Oeste  , Goiás  , Uirapuru  ,5221577,10,0
 Centro-Oeste  , Goiás  , Turvelândia  ,5221551,8,0
 Centro-Oeste  , Goiás  , Turvânia  ,5221502,10,0
 Centro-Oeste  , Goiás  , Trombas  ,5221452,8,0
 Centro-Oeste  , Goiás  , Trindade  ,5221403,125,0
 Centro-Oeste  , Goiás  , Três Ranchos  ,5221304,7,0
 Centro-Oeste  , Goiás  , Terezópolis de Goiás  ,5221197,8,0
 Centro-Oeste  , Goiás  , Teresina de Goiás  ,5221080,6,0
 Centro-Oeste  , Goiás  , Taquaral de Goiás  ,5221007,7,0
 Centro-Oeste  , Goiás  , Sítio d'Abadia  ,5220702,5,0
 Centro-Oeste  , Goiás  , Simolândia  ,5220686,11,0
 Centro-Oeste  , Goiás  , Silvânia  ,5220603,16,0
 Centro-Oeste  , Goiás  , Serranópolis  ,5220504,11,0
 Centro-Oeste  , Goiás  , Senador Canedo  ,5220454,96,0
 Centro-Oeste  , Goiás  , São Simão  ,5220405,27,0
 Centro-Oeste  , Goiás  , São Patrício  ,5220280,5,0
 Centro-Oeste  , Goiás  , São Miguel do Passa Quatro  ,5220264,8,0
 Centro-Oeste  , Goiás  , São Miguel do Araguaia  ,5220207,35,0
 Centro-Oeste  , Goiás  , São Luiz do Norte  ,5220157,7,0
 Centro-Oeste  , Goiás  , São Luís de Montes Belos  ,5220108,37,0
 Centro-Oeste  , Goiás  , São João da Paraúna  ,5220058,4,0
 Centro-Oeste  , Goiás  , São João d'Aliança  ,5220009,23,0
 Centro-Oeste  , Goiás  , São Francisco de Goiás  ,5219902,8,0
 Centro-Oeste  , Goiás  , São Domingos  ,5219803,9,5
 Centro-Oeste  , Goiás  , Santo Antônio do Descoberto  ,5219753,73,0
 Centro-Oeste  , Goiás  , Santo Antônio de Goiás  ,5219738,7,0
 Centro-Oeste  , Goiás  , Santo Antônio da Barra  ,5219712,8,0
 Centro-Oeste  , Goiás  , Santa Terezinha de Goiás  ,5219704,25,0
 Centro-Oeste  , Goiás  , Santa Tereza de Goiás  ,5219605,8,0
 Centro-Oeste  , Goiás  , Santa Rosa de Goiás  ,5219506,6,0
 Centro-Oeste  , Goiás  , Santa Rita do Novo Destino  ,5219456,5,1
 Centro-Oeste  , Goiás  , Santa Rita do Araguaia  ,5219407,13,0
 Centro-Oeste  , Goiás  , Santa Isabel  ,5219357,4,0
 Centro-Oeste  , Goiás  , Santa Helena de Goiás  ,5219308,37,0
 Centro-Oeste  , Goiás  , Santa Fé de Goiás  ,5219258,9,0
 Centro-Oeste  , Goiás  , Santa Cruz de Goiás  ,5219209,4,0
 Centro-Oeste  , Goiás  , Santa Bárbara de Goiás  ,5219100,12,0
 Centro-Oeste  , Goiás  , Sanclerlândia  ,5219001,12,0
 Centro-Oeste  , Goiás  , Rubiataba  ,5218904,30,6
 Centro-Oeste  , Goiás  , Rio Verde  ,5218805,174,0
 Centro-Oeste  , Goiás  , Rio Quente  ,5218789,6,0
 Centro-Oeste  , Goiás  , Rianápolis  ,5218706,8,0
 Centro-Oeste  , Goiás  , Rialma  ,5218607,14,0
 Centro-Oeste  , Goiás  , Quirinópolis  ,5218508,61,0
 Centro-Oeste  , Goiás  , Professor Jamil  ,5218391,9,0
 Centro-Oeste  , Goiás  , Posse  ,5218300,48,3
 Centro-Oeste  , Goiás  , Portelândia  ,5218102,8,0
 Centro-Oeste  , Goiás  , Porteirão  ,5218052,4,0
 Centro-Oeste  , Goiás  , Porangatu  ,5218003,62,0
 Centro-Oeste  , Goiás  , Pontalina  ,5217708,16,0
 Centro-Oeste  , Goiás  , Planaltina  ,5217609,102,6
 Centro-Oeste  , Goiás  , Pires do Rio  ,5217401,34,0
 Centro-Oeste  , Goiás  , Pirenópolis  ,5217302,26,6
 Centro-Oeste  , Goiás  , Piranhas  ,5217203,19,0
 Centro-Oeste  , Goiás  , Piracanjuba  ,5217104,25,3
 Centro-Oeste  , Goiás  , Pilar de Goiás  ,5216908,6,0
 Centro-Oeste  , Goiás  , Petrolina de Goiás  ,5216809,14,0
 Centro-Oeste  , Goiás  , Perolândia  ,5216452,6,0
 Centro-Oeste  , Goiás  , Paraúna  ,5216403,17,0
 Centro-Oeste  , Goiás  , Paranaiguara  ,5216304,13,0
 Centro-Oeste  , Goiás  , Panamá  ,5216007,7,0
 Centro-Oeste  , Goiás  , Palminópolis  ,5215900,7,0
 Centro-Oeste  , Goiás  , Palmelo  ,5215801,4,0
 Centro-Oeste  , Goiás  , Palmeiras de Goiás  ,5215702,25,0
 Centro-Oeste  , Goiás  , Palestina de Goiás  ,5215652,7,0
 Centro-Oeste  , Goiás  , Padre Bernardo  ,5215603,19,21
 Centro-Oeste  , Goiás  , Ouvidor  ,5215504,9,0
 Centro-Oeste  , Goiás  , Ouro Verde de Goiás  ,5215405,10,0
 Centro-Oeste  , Goiás  , Orizona  ,5215306,11,18
 Centro-Oeste  , Goiás  , Novo Planalto  ,5215256,7,0
 Centro-Oeste  , Goiás  , Novo Gama  ,5215231,96,0
 Centro-Oeste  , Goiás  , Novo Brasil  ,5215207,9,0
 Centro-Oeste  , Goiás  , Nova Veneza  ,5215009,10,0
 Centro-Oeste  , Goiás  , Nova Roma  ,5214903,7,0
 Centro-Oeste  , Goiás  , Nova Iguaçu de Goiás  ,5214879,7,0
 Centro-Oeste  , Goiás  , Nova Glória  ,5214861,13,3
 Centro-Oeste  , Goiás  , Nova Crixás  ,5214838,17,0
 Centro-Oeste  , Goiás  , Nova Aurora  ,5214804,3,0
 Centro-Oeste  , Goiás  , Nova América  ,5214705,4,0
 Centro-Oeste  , Goiás  , Niquelândia  ,5214606,69,0
 Centro-Oeste  , Goiás  , Nerópolis  ,5214507,35,0
 Centro-Oeste  , Goiás  , Nazário  ,5214408,13,0
 Centro-Oeste  , Goiás  , Mutunópolis  ,5214101,10,0
 Centro-Oeste  , Goiás  , Mundo Novo  ,5214051,7,5
 Centro-Oeste  , Goiás  , Mozarlândia  ,5214002,22,0
 Centro-Oeste  , Goiás  , Mossâmedes  ,5213905,11,0
 Centro-Oeste  , Goiás  , Morro Agudo de Goiás  ,5213855,6,0
 Centro-Oeste  , Goiás  , Morrinhos  ,5213806,45,9
