Ano,Região,UF,Código do Município,Nome do Município,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2022,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Pública,83.3,16.7,0.0
2022,Norte,RO,1100023,Ariquemes,Rural,Pública,81.4,3.7,14.9
2022,Norte,RO,1100031,Cabixi,Rural,Pública,100.0,0.0,0.0
2022,Norte,RO,1100049,Cacoal,Rural,Pública,93.4,0.0,6.6
2022,Norte,RO,1100064,Colorado do Oeste,Rural,Pública,94.4,5.3,0.3
2022,Norte,RO,1100072,Corumbiara,Rural,Pública,98.6,0.0,1.4
2022,Norte,RO,1100080,Costa Marques,Rural,Pública,90.2,6.3,3.5
2022,Norte,RO,1100098,Espigão D'Oeste,Rural,Pública,100.0,0.0,0.0
2022,Norte,RO,1100106,Guajará-Mirim,Rural,Pública,90.8,0.0,9.2
2022,Norte,RO,1100114,Jaru,Rural,Pública,--,--,--
2022,Norte,RO,1100122,Ji-Paraná,Rural,Pública,70.4,29.6,0.0
2022,Norte,RO,1100130,Machadinho D'Oeste,Rural,Pública,86.4,3.4,10.2
2022,Norte,RO,1100148,Nova Brasilândia D'Oeste,Rural,Pública,--,--,--
2022,Norte,RO,1100155,Ouro Preto do Oeste,Rural,Pública,--,--,--
2022,Norte,RO,1100189,Pimenta Bueno,Rural,Pública,97.9,1.6,0.5
2022,Norte,RO,1100205,Porto Velho,Rural,Pública,75.5,5.6,18.9
2022,Norte,RO,1100254,Presidente Médici,Rural,Pública,100.0,0.0,0.0
2022,Norte,RO,1100288,Rolim de Moura,Rural,Pública,--,--,--
2022,Norte,RO,1100304,Vilhena,Rural,Pública,100.0,0.0,0.0
2022,Norte,RO,1100320,São Miguel do Guaporé,Rural,Pública,--,--,--
2022,Norte,RO,1100338,Nova Mamoré,Rural,Pública,--,--,--
2022,Norte,RO,1100346,Alvorada D'Oeste,Rural,Pública,--,--,--
2022,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Pública,--,--,--
2022,Norte,RO,1100403,Alto Paraíso,Rural,Pública,--,--,--
2022,Norte,RO,1100452,Buritis,Rural,Pública,--,--,--
2022,Norte,RO,1100601,Cacaulândia,Rural,Pública,--,--,--
2022,Norte,RO,1100700,Campo Novo de Rondônia,Rural,Pública,81.5,3.7,14.8
2022,Norte,RO,1100809,Candeias do Jamari,Rural,Pública,100.0,0.0,0.0
2022,Norte,RO,1100908,Castanheiras,Rural,Pública,--,--,--
2022,Norte,RO,1100924,Chupinguaia,Rural,Pública,97.7,2.3,0.0
2022,Norte,RO,1100940,Cujubim,Rural,Pública,--,--,--
2022,Norte,RO,1101005,Governador Jorge Teixeira,Rural,Pública,--,--,--
2022,Norte,RO,1101104,Itapuã do Oeste,Rural,Pública,--,--,--
2022,Norte,RO,1101203,Ministro Andreazza,Rural,Pública,--,--,--
2022,Norte,RO,1101302,Mirante da Serra,Rural,Pública,--,--,--
2022,Norte,RO,1101401,Monte Negro,Rural,Pública,--,--,--
2022,Norte,RO,1101435,Nova União,Rural,Pública,--,--,--
2022,Norte,RO,1101450,Parecis,Rural,Pública,100.0,0.0,0.0
2022,Norte,RO,1101476,Primavera de Rondônia,Rural,Pública,85.7,11.9,2.4
2022,Norte,RO,1101492,São Francisco do Guaporé,Rural,Pública,100.0,0.0,0.0
2022,Norte,RO,1101500,Seringueiras,Rural,Pública,--,--,--
2022,Norte,RO,1101559,Teixeirópolis,Rural,Pública,--,--,--
2022,Norte,RO,1101609,Theobroma,Rural,Pública,--,--,--
2022,Norte,RO,1101708,Urupá,Rural,Pública,--,--,--
2022,Norte,RO,1101757,Vale do Anari,Rural,Pública,--,--,--
2022,Norte,RO,1101807,Vale do Paraíso,Rural,Pública,--,--,--
2022,Norte,AC,1200013,Acrelândia,Rural,Pública,77.2,0.6,22.2
2022,Norte,AC,1200054,Assis Brasil,Rural,Pública,76.2,0.0,23.8
2022,Norte,AC,1200104,Brasiléia,Rural,Pública,75.1,1.0,23.9
2022,Norte,AC,1200138,Bujari,Rural,Pública,85.3,3.6,11.1
2022,Norte,AC,1200179,Capixaba,Rural,Pública,82.9,2.7,14.4
2022,Norte,AC,1200203,Cruzeiro do Sul,Rural,Pública,85.6,3.6,10.8
2022,Norte,AC,1200252,Epitaciolândia,Rural,Pública,81.4,0.0,18.6
2022,Norte,AC,1200302,Feijó,Rural,Pública,85.6,0.7,13.7
2022,Norte,AC,1200328,Jordão,Rural,Pública,77.9,0.0,22.1
2022,Norte,AC,1200336,Mâncio Lima,Rural,Pública,69.5,2.9,27.6
2022,Norte,AC,1200344,Manoel Urbano,Rural,Pública,--,--,--
2022,Norte,AC,1200351,Marechal Thaumaturgo,Rural,Pública,69.9,2.1,28.0
2022,Norte,AC,1200385,Plácido de Castro,Rural,Pública,86.3,1.0,12.7
2022,Norte,AC,1200393,Porto Walter,Rural,Pública,100.0,0.0,0.0
2022,Norte,AC,1200401,Rio Branco,Rural,Pública,77.6,2.9,19.5
2022,Norte,AC,1200427,Rodrigues Alves,Rural,Pública,81.0,5.0,14.0
2022,Norte,AC,1200435,Santa Rosa do Purus,Rural,Pública,62.6,0.0,37.4
2022,Norte,AC,1200450,Senador Guiomard,Rural,Pública,90.0,0.5,9.5
2022,Norte,AC,1200500,Sena Madureira,Rural,Pública,69.0,2.0,29.0
