Código_UF,Estado,UF,Código_IBGE,Município,Região
41,Paraná,PR,4119301,Pinhão,Sul
41,Paraná,PR,4119400,Piraí do Sul,Sul
41,Paraná,PR,4119509,Piraquara,Sul
41,Paraná,PR,4119608,Pitanga,Sul
41,Paraná,PR,4119657,Pitangueiras,Sul
41,Paraná,PR,4119707,Planaltina do Paraná,Sul
41,Paraná,PR,4119806,Planalto,Sul
41,Paraná,PR,4119905,Ponta Grossa,Sul
41,Paraná,PR,4119954,Pontal do Paraná,Sul
41,Paraná,PR,4120002,Porecatu,Sul
41,Paraná,PR,4120101,Porto Amazonas,Sul
41,Paraná,PR,4120150,Porto Barreiro,Sul
41,Paraná,PR,4120200,Porto Rico,Sul
41,Paraná,PR,4120309,Porto Vitória,Sul
41,Paraná,PR,4120333,Prado Ferreira,Sul
41,Paraná,PR,4120358,Pranchita,Sul
41,Paraná,PR,4120408,Presidente Castelo Branco,Sul
41,Paraná,PR,4120507,Primeiro de Maio,Sul
41,Paraná,PR,4120606,Prudentópolis,Sul
41,Paraná,PR,4120655,Quarto Centenário,Sul
41,Paraná,PR,4120705,Quatiguá,Sul
41,Paraná,PR,4120804,Quatro Barras,Sul
41,Paraná,PR,4120853,Quatro Pontes,Sul
41,Paraná,PR,4120903,Quedas do Iguaçu,Sul
41,Paraná,PR,4121000,Querência do Norte,Sul
41,Paraná,PR,4121109,Quinta do Sol,Sul
41,Paraná,PR,4121208,Quitandinha,Sul
41,Paraná,PR,4121257,Ramilândia,Sul
41,Paraná,PR,4121307,Rancho Alegre,Sul
41,Paraná,PR,4121356,Rancho Alegre D'Oeste,Sul
41,Paraná,PR,4121406,Realeza,Sul
41,Paraná,PR,4121505,Rebouças,Sul
41,Paraná,PR,4121604,Renascença,Sul
41,Paraná,PR,4121703,Reserva,Sul
41,Paraná,PR,4121752,Reserva do Iguaçu,Sul
41,Paraná,PR,4121802,Ribeirão Claro,Sul
41,Paraná,PR,4121901,Ribeirão do Pinhal,Sul
41,Paraná,PR,4122008,Rio Azul,Sul
41,Paraná,PR,4122107,Rio Bom,Sul
41,Paraná,PR,4122156,Rio Bonito do Iguaçu,Sul
41,Paraná,PR,4122172,Rio Branco do Ivaí,Sul
41,Paraná,PR,4122206,Rio Branco do Sul,Sul
41,Paraná,PR,4122305,Rio Negro,Sul
41,Paraná,PR,4122404,Rolândia,Sul
41,Paraná,PR,4122503,Roncador,Sul
41,Paraná,PR,4122602,Rondon,Sul
41,Paraná,PR,4122651,Rosário do Ivaí,Sul
41,Paraná,PR,4122701,Sabáudia,Sul
41,Paraná,PR,4122800,Salgado Filho,Sul
41,Paraná,PR,4122909,Salto do Itararé,Sul
41,Paraná,PR,4123006,Salto do Lontra,Sul
41,Paraná,PR,4123105,Santa Amélia,Sul
41,Paraná,PR,4123204,Santa Cecília do Pavão,Sul
41,Paraná,PR,4123303,Santa Cruz de Monte Castelo,Sul
41,Paraná,PR,4123402,Santa Fé,Sul
41,Paraná,PR,4123501,Santa Helena,Sul
41,Paraná,PR,4123600,Santa Inês,Sul
41,Paraná,PR,4123709,Santa Isabel do Ivaí,Sul
41,Paraná,PR,4123808,Santa Izabel do Oeste,Sul
41,Paraná,PR,4123824,Santa Lúcia,Sul
41,Paraná,PR,4123857,Santa Maria do Oeste,Sul
41,Paraná,PR,4123907,Santa Mariana,Sul
41,Paraná,PR,4123956,Santa Mônica,Sul
41,Paraná,PR,4124004,Santana do Itararé,Sul
41,Paraná,PR,4124020,Santa Tereza do Oeste,Sul
41,Paraná,PR,4124053,Santa Terezinha de Itaipu,Sul
41,Paraná,PR,4124103,Santo Antônio da Platina,Sul
41,Paraná,PR,4124202,Santo Antônio do Caiuá,Sul
41,Paraná,PR,4124301,Santo Antônio do Paraíso,Sul
41,Paraná,PR,4124400,Santo Antônio do Sudoeste,Sul
41,Paraná,PR,4124509,Santo Inácio,Sul
41,Paraná,PR,4124608,São Carlos do Ivaí,Sul
41,Paraná,PR,4124707,São Jerônimo da Serra,Sul
41,Paraná,PR,4124806,São João,Sul
41,Paraná,PR,4124905,São João do Caiuá,Sul
41,Paraná,PR,4125001,São João do Ivaí,Sul
41,Paraná,PR,4125100,São João do Triunfo,Sul
41,Paraná,PR,4125209,São Jorge d'Oeste,Sul
41,Paraná,PR,4125308,São Jorge do Ivaí,Sul
41,Paraná,PR,4125357,São Jorge do Patrocínio,Sul
41,Paraná,PR,4125407,São José da Boa Vista,Sul
41,Paraná,PR,4125456,São José das Palmeiras,Sul
