,Regioes / UF,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,Rondonia,4651.54,5433.73,6697.39,7608.7,8395.79,8389.27,9435.52,11976.57,13455.71
1,Acre,4309.39,4887.09,5502.38,6415.31,6693.55,7040.88,8188.96,9896.16,10686.87
2,Amazonas,6223.8,7357.39,8240.36,9778.2,10318.33,11826.14,12399.59,14014.13,14620.99
3,Roraima,6028.53,6667.26,7660.32,7645.01,8124.56,9074.44,10038.02,11844.72,13270.54
4,Para,3519.78,3975.88,4525.42,5311.11,5612.31,6240.06,6829.34,7992.71,7859.17
5,Amapa,5618.06,6372.59,6421.04,6953.76,7335.06,8542.82,9459.06,11032.67,11816.64
6,Tocantins,4087.64,4645.51,5886.21,6605.05,6939.47,7208.33,8164.07,10222.71,11277.6
7,Maranhao,2341.82,2662.07,3146.82,3634.8,4150.94,4627.71,5044.77,6103.52,6259.46
8,Piaui,2252.94,2561.98,3002.04,3328.69,3701.24,4211.9,4611.3,5372.4,6051.41
9,Ceara,3250.37,3775.04,4197.42,4689.13,5055.43,5634.94,6037.94,7111.85,7686.67
10,Rio grande do Norte,3674.12,4275.64,4679.6,5329.77,5950.48,6753.08,7433.45,8202.81,8893.61
11,Paraiba,3127.7,3557.66,4023.7,4241.02,4691.14,5506.55,6082.37,6865.98,7617.76
12,Pernambuco,3776.73,4360.25,4816.13,5341.88,5933.46,6526.63,7246.73,8064.95,8901.87
13,Alagoas,2971.45,3398.2,3841.93,4373.05,4688.27,5162.19,5767.56,6227.5,6728.22
14,Sergipe,4412.5,5121.47,5800.63,6393.6,6823.52,7559.23,8308.96,9778.96,9786.89
15,Bahia,3866.75,4553.87,5070.25,5835.26,6581.08,6918.98,7785.69,8378.31,9364.62
16,Minas Gerais,6140.84,6966.05,8021.35,9451.07,10013.77,11024.75,12236.4,14232.73,14328.33
17,Espirito Santo,7712.61,8356.79,9557.46,12192.48,13854.93,15234.78,17143.4,20230.85,19145.74
18,Rio de Janeiro,10447.39,11638.58,12636.14,14830.06,16057.38,17692.59,18856.12,21621.36,22103.04
19,São Paulo,12316.67,13404.04,14979.51,16399.03,17975.6,19550.35,21668.43,24456.84,26202.18
20,Parana,7881.91,9023.0,11048.85,12224.52,12344.46,13151.95,15371.28,16927.32,17779.14
21,Santa Catarina,8946.76,10082.26,11922.0,13609.94,14542.74,15633.12,17295.19,20368.53,21214.59
22,Rio grande do Sul,8953.43,10134.75,11849.6,12986.65,13298.13,14304.83,15939.53,18377.73,19778.55
23,Mato Grosso do Sul,6229.87,7079.04,8883.09,9599.19,9561.03,10592.38,12062.84,14187.47,15406.62
24,Mato Grosso,6369.74,8039.65,10518.81,13700.89,13365.07,12340.68,14667.83,18049.81,19087.09
25,Goias,5846.72,7181.07,8072.55,8888.92,8992.02,9956.28,11164.88,12877.88,14446.66
26,Distrito Federal,24564.76,26161.33,28817.76,31663.53,34514.72,37599.28,41061.74,45977.56,50438.48
27, ,,,,,,,,,
