Região Geográfica,Unidade da Federação,Município,Código do Município,Urbana,Rural
 Norte  , Rondônia  , Alta Floresta D'Oeste  ,1100015,1161,0
 Norte  , Rondônia  , Ariquemes  ,1100023,3454,0
 Norte  , Rondônia  , Cabixi  ,1100031,265,0
 Norte  , Rondônia  , Cacoal  ,1100049,3731,0
 Norte  , Rondônia  , Cerejeiras  ,1100056,687,0
 Norte  , Rondônia  , Colorado do Oeste  ,1100064,766,353
 Norte  , Rondônia  , Corumbiara  ,1100072,340,0
 Norte  , Rondônia  , Costa Marques  ,1100080,487,0
 Norte  , Rondônia  , Espigão D'Oeste  ,1100098,1049,0
 Norte  , Rondônia  , Guajará-Mirim  ,1100106,1667,0
 Norte  , Rondônia  , Jaru  ,1100114,2212,92
 Norte  , Rondônia  , Ji-Paraná  ,1100122,4038,230
 Norte  , Rondônia  , Machadinho D'Oeste  ,1100130,669,167
 Norte  , Rondônia  , Nova Brasilândia D'Oeste  ,1100148,751,388
 Norte  , Rondônia  , Ouro Preto do Oeste  ,1100155,1163,0
 Norte  , Rondônia  , Pimenta Bueno  ,1100189,1459,0
 Norte  , Rondônia  , Porto Velho  ,1100205,9511,472
 Norte  , Rondônia  , Presidente Médici  ,1100254,658,138
 Norte  , Rondônia  , Rio Crespo  ,1100262,203,0
 Norte  , Rondônia  , Rolim de Moura  ,1100288,2482,0
 Norte  , Rondônia  , Santa Luzia D'Oeste  ,1100296,396,0
 Norte  , Rondônia  , Vilhena  ,1100304,2457,0
 Norte  , Rondônia  , São Miguel do Guaporé  ,1100320,893,0
 Norte  , Rondônia  , Nova Mamoré  ,1100338,345,165
 Norte  , Rondônia  , Alvorada D'Oeste  ,1100346,769,0
 Norte  , Rondônia  , Alto Alegre dos Parecis  ,1100379,427,0
 Norte  , Rondônia  , Alto Paraíso  ,1100403,779,0
 Norte  , Rondônia  , Buritis  ,1100452,894,0
 Norte  , Rondônia  , Novo Horizonte do Oeste  ,1100502,411,0
 Norte  , Rondônia  , Cacaulândia  ,1100601,238,0
 Norte  , Rondônia  , Campo Novo de Rondônia  ,1100700,170,0
 Norte  , Rondônia  , Candeias do Jamari  ,1100809,413,0
 Norte  , Rondônia  , Castanheiras  ,1100908,222,0
 Norte  , Rondônia  , Chupinguaia  ,1100924,339,0
 Norte  , Rondônia  , Cujubim  ,1100940,442,0
 Norte  , Rondônia  , Governador Jorge Teixeira  ,1101005,160,184
 Norte  , Rondônia  , Itapuã do Oeste  ,1101104,275,0
 Norte  , Rondônia  , Ministro Andreazza  ,1101203,279,0
 Norte  , Rondônia  , Mirante da Serra  ,1101302,591,0
 Norte  , Rondônia  , Monte Negro  ,1101401,624,0
 Norte  , Rondônia  , Nova União  ,1101435,325,0
 Norte  , Rondônia  , Parecis  ,1101450,192,0
 Norte  , Rondônia  , Pimenteiras do Oeste  ,1101468,78,0
 Norte  , Rondônia  , Primavera de Rondônia  ,1101476,123,85
 Norte  , Rondônia  , São Felipe D'Oeste  ,1101484,337,0
 Norte  , Rondônia  , São Francisco do Guaporé  ,1101492,350,244
 Norte  , Rondônia  , Seringueiras  ,1101500,425,0
 Norte  , Rondônia  , Teixeirópolis  ,1101559,269,0
 Norte  , Rondônia  , Theobroma  ,1101609,219,0
 Norte  , Rondônia  , Urupá  ,1101708,464,0
 Norte  , Rondônia  , Vale do Anari  ,1101757,247,68
 Norte  , Rondônia  , Vale do Paraíso  ,1101807,247,0
 Norte  , Acre  , Acrelândia  ,1200013,425,81
 Norte  , Acre  , Assis Brasil  ,1200054,184,0
 Norte  , Acre  , Brasiléia  ,1200104,858,0
 Norte  , Acre  , Bujari  ,1200138,192,0
 Norte  , Acre  , Capixaba  ,1200179,167,0
 Norte  , Acre  , Cruzeiro do Sul  ,1200203,3600,277
 Norte  , Acre  , Epitaciolândia  ,1200252,453,0
 Norte  , Acre  , Feijó  ,1200302,752,0
 Norte  , Acre  , Jordão  ,1200328,113,0
 Norte  , Acre  , Mâncio Lima  ,1200336,581,50
 Norte  , Acre  , Manoel Urbano  ,1200344,198,0
 Norte  , Acre  , Marechal Thaumaturgo  ,1200351,322,0
 Norte  , Acre  , Plácido de Castro  ,1200385,482,193
 Norte  , Acre  , Porto Walter  ,1200393,357,0
 Norte  , Acre  , Rio Branco  ,1200401,14657,278
 Norte  , Acre  , Rodrigues Alves  ,1200427,389,0
 Norte  , Acre  , Santa Rosa do Purus  ,1200435,94,0
 Norte  , Acre  , Senador Guiomard  ,1200450,598,85
 Norte  , Acre  , Sena Madureira  ,1200500,1111,0
 Norte  , Acre  , Tarauacá  ,1200609,1116,0
 Norte  , Acre  , Xapuri  ,1200708,361,0
 Norte  , Acre  , Porto Acre  ,1200807,92,310
 Norte  , Amazonas  , Alvarães  ,1300029,619,0
 Norte  , Amazonas  , Amaturá  ,1300060,282,0
 Norte  , Amazonas  , Anamã  ,1300086,458,39
 Norte  , Amazonas  , Anori  ,1300102,549,0
 Norte  , Amazonas  , Apuí  ,1300144,577,0
 Norte  , Amazonas  , Atalaia do Norte  ,1300201,287,0
 Norte  , Amazonas  , Autazes  ,1300300,1158,0
 Norte  , Amazonas  , Barcelos  ,1300409,402,0
 Norte  , Amazonas  , Barreirinha  ,1300508,888,353
 Norte  , Amazonas  , Benjamin Constant  ,1300607,1307,277
 Norte  , Amazonas  , Beruri  ,1300631,425,0
 Norte  , Amazonas  , Boa Vista do Ramos  ,1300680,647,0
 Norte  , Amazonas  , Boca do Acre  ,1300706,1148,0
 Norte  , Amazonas  , Borba  ,1300805,711,103
 Norte  , Amazonas  , Caapiranga  ,1300839,207,0
 Norte  , Amazonas  , Canutama  ,1300904,367,0
 Norte  , Amazonas  , Carauari  ,1301001,912,0
 Norte  , Amazonas  , Careiro  ,1301100,770,253
 Norte  , Amazonas  , Careiro da Várzea  ,1301159,705,386
 Norte  , Amazonas  , Coari  ,1301209,3343,84
 Norte  , Amazonas  , Codajás  ,1301308,580,0
 Norte  , Amazonas  , Eirunepé  ,1301407,948,0
 Norte  , Amazonas  , Envira  ,1301506,314,0
 Norte  , Amazonas  , Fonte Boa  ,1301605,660,0
 Norte  , Amazonas  , Guajará  ,1301654,295,0
 Norte  , Amazonas  , Humaitá  ,1301704,1871,0
 Norte  , Amazonas  , Ipixuna  ,1301803,425,0
 Norte  , Amazonas  , Iranduba  ,1301852,778,849
 Norte  , Amazonas  , Itacoatiara  ,1301902,3594,270
 Norte  , Amazonas  , Itamarati  ,1301951,234,0
 Norte  , Amazonas  , Itapiranga  ,1302009,447,0
 Norte  , Amazonas  , Japurá  ,1302108,137,0
 Norte  , Amazonas  , Juruá  ,1302207,370,0
 Norte  , Amazonas  , Jutaí  ,1302306,557,0
 Norte  , Amazonas  , Lábrea  ,1302405,1347,0
 Norte  , Amazonas  , Manacapuru  ,1302504,4481,119
 Norte  , Amazonas  , Manaquiri  ,1302553,560,0
 Norte  , Amazonas  , Manaus  ,1302603,80156,8
 Norte  , Amazonas  , Manicoré  ,1302702,1322,0
 Norte  , Amazonas  , Maraã  ,1302801,261,0
 Norte  , Amazonas  , Maués  ,1302900,1944,0
 Norte  , Amazonas  , Nhamundá  ,1303007,836,242
 Norte  , Amazonas  , Nova Olinda do Norte  ,1303106,820,0
 Norte  , Amazonas  , Novo Airão  ,1303205,582,0
 Norte  , Amazonas  , Novo Aripuanã  ,1303304,652,0
 Norte  , Amazonas  , Parintins  ,1303403,5731,102
 Norte  , Amazonas  , Pauini  ,1303502,318,0
 Norte  , Amazonas  , Presidente Figueiredo  ,1303536,969,0
 Norte  , Amazonas  , Rio Preto da Eva  ,1303569,857,0
 Norte  , Amazonas  , Santa Isabel do Rio Negro  ,1303601,390,0
 Norte  , Amazonas  , Santo Antônio do Içá  ,1303700,635,281
 Norte  , Amazonas  , São Gabriel da Cachoeira  ,1303809,1046,669
 Norte  , Amazonas  , São Paulo de Olivença  ,1303908,657,0
 Norte  , Amazonas  , São Sebastião do Uatumã  ,1303957,327,72
 Norte  , Amazonas  , Silves  ,1304005,483,0
 Norte  , Amazonas  , Tabatinga  ,1304062,1845,473
 Norte  , Amazonas  , Tapauá  ,1304104,561,0
 Norte  , Amazonas  , Tefé  ,1304203,2504,0
 Norte  , Amazonas  , Tonantins  ,1304237,451,69
 Norte  , Amazonas  , Uarini  ,1304260,179,0
 Norte  , Amazonas  , Urucará  ,1304302,901,0
 Norte  , Amazonas  , Urucurituba  ,1304401,462,191
 Norte  , Roraima  , Amajari  ,1400027,66,136
 Norte  , Roraima  , Alto Alegre  ,1400050,346,163
 Norte  , Roraima  , Boa Vista  ,1400100,9499,224
 Norte  , Roraima  , Bonfim  ,1400159,107,277
 Norte  , Roraima  , Cantá  ,1400175,97,507
 Norte  , Roraima  , Caracaraí  ,1400209,429,196
 Norte  , Roraima  , Caroebe  ,1400233,148,169
 Norte  , Roraima  , Iracema  ,1400282,165,68
 Norte  , Roraima  , Mucajaí  ,1400308,341,169
 Norte  , Roraima  , Normandia  ,1400407,79,251
 Norte  , Roraima  , Pacaraima  ,1400456,159,304
 Norte  , Roraima  , Rorainópolis  ,1400472,561,308
 Norte  , Roraima  , São João da Baliza  ,1400506,300,0
 Norte  , Roraima  , São Luiz  ,1400605,244,60
 Norte  , Roraima  , Uiramutã  ,1400704,79,201
 Norte  , Pará  , Abaetetuba  ,1500107,6508,201
 Norte  , Pará  , Abel Figueiredo  ,1500131,302,0
 Norte  , Pará  , Acará  ,1500206,1385,0
 Norte  , Pará  , Afuá  ,1500305,1124,0
 Norte  , Pará  , Água Azul do Norte  ,1500347,311,0
 Norte  , Pará  , Alenquer  ,1500404,2430,0
 Norte  , Pará  , Almeirim  ,1500503,2074,0
 Norte  , Pará  , Altamira  ,1500602,5400,0
 Norte  , Pará  , Anajás  ,1500701,445,0
 Norte  , Pará  , Ananindeua  ,1500800,23754,472
 Norte  , Pará  , Anapu  ,1500859,530,0
