Região Geográfica,Unidade da Federação,Município,Código do Município,Urbana,Rural
 Centro-Oeste  , Distrito Federal  , Brasília  ,5300108,14,0
 Centro-Oeste  , Goiás  , Vila Propício  ,5222302,16,13
 Centro-Oeste  , Goiás  , Vila Boa  ,5222203,76,0
 Centro-Oeste  , Goiás  , Vicentinópolis  ,5222054,11,3
 Centro-Oeste  , Goiás  , Vianópolis  ,5222005,68,11
 Centro-Oeste  , Goiás  , Varjão  ,5221908,10,0
 Centro-Oeste  , Goiás  , Valparaíso de Goiás  ,5221858,793,105
 Centro-Oeste  , Goiás  , Urutaí  ,5221809,57,8
 Centro-Oeste  , Goiás  , Uruana  ,5221700,9,8
 Centro-Oeste  , Goiás  , Uruaçu  ,5221601,11,0
 Centro-Oeste  , Goiás  , Uirapuru  ,5221577,131,0
 Centro-Oeste  , Goiás  , Turvelândia  ,5221551,23,0
 Centro-Oeste  , Goiás  , Turvânia  ,5221502,19,0
 Centro-Oeste  , Goiás  , Trombas  ,5221452,34,0
 Centro-Oeste  , Goiás  , Trindade  ,5221403,29,0
 Centro-Oeste  , Goiás  , Três Ranchos  ,5221304,23,0
 Centro-Oeste  , Goiás  , Terezópolis de Goiás  ,5221197,10,0
 Centro-Oeste  , Goiás  , Teresina de Goiás  ,5221080,30,0
 Centro-Oeste  , Goiás  , Taquaral de Goiás  ,5221007,22,0
 Centro-Oeste  , Goiás  , Sítio d'Abadia  ,5220702,12,0
 Centro-Oeste  , Goiás  , Simolândia  ,5220686,16,0
 Centro-Oeste  , Goiás  , Silvânia  ,5220603,175,7
 Centro-Oeste  , Goiás  , Serranópolis  ,5220504,"1,548",549
 Centro-Oeste  , Goiás  , Senador Canedo  ,5220454,19,9
 Centro-Oeste  , Goiás  , São Simão  ,5220405,13,5
 Centro-Oeste  , Goiás  , São Patrício  ,5220280,34,18
 Centro-Oeste  , Goiás  , São Miguel do Passa Quatro  ,5220264,25,17
 Centro-Oeste  , Goiás  , São Miguel do Araguaia  ,5220207,17,19
 Centro-Oeste  , Goiás  , São Luiz do Norte  ,5220157,189,72
 Centro-Oeste  , Goiás  , São Luís de Montes Belos  ,5220108,36,2
 Centro-Oeste  , Goiás  , São João da Paraúna  ,5220058,39,39
 Centro-Oeste  , Goiás  , São João d'Aliança  ,5220009,16,12
 Centro-Oeste  , Goiás  , São Francisco de Goiás  ,5219902,59,22
 Centro-Oeste  , Goiás  , São Domingos  ,5219803,16,0
 Centro-Oeste  , Goiás  , Santo Antônio do Descoberto  ,5219753,40,0
 Centro-Oeste  , Goiás  , Santo Antônio de Goiás  ,5219738,17,23
 Centro-Oeste  , Goiás  , Santo Antônio da Barra  ,5219712,11,47
 Centro-Oeste  , Goiás  , Santa Terezinha de Goiás  ,5219704,20,0
 Centro-Oeste  , Goiás  , Santa Tereza de Goiás  ,5219605,738,84
 Centro-Oeste  , Goiás  , Santa Rosa de Goiás  ,5219506,22,43
 Centro-Oeste  , Goiás  , Santa Rita do Novo Destino  ,5219456,11,7
 Centro-Oeste  , Goiás  , Santa Rita do Araguaia  ,5219407,87,22
 Centro-Oeste  , Goiás  , Santa Isabel  ,5219357,39,42
 Centro-Oeste  , Goiás  , Santa Helena de Goiás  ,5219308,61,43
 Centro-Oeste  , Goiás  , Santa Fé de Goiás  ,5219258,42,23
 Centro-Oeste  , Goiás  , Santa Cruz de Goiás  ,5219209,"6,394",719
 Centro-Oeste  , Goiás  , Santa Bárbara de Goiás  ,5219100,28,26
 Centro-Oeste  , Goiás  , Sanclerlândia  ,5219001,25,31
 Centro-Oeste  , Goiás  , Rubiataba  ,5218904,24,34
 Centro-Oeste  , Goiás  , Rio Verde  ,5218805,30,26
 Centro-Oeste  , Goiás  , Rio Quente  ,5218789,26,26
 Centro-Oeste  , Goiás  , Rianápolis  ,5218706,45,30
 Centro-Oeste  , Goiás  , Rialma  ,5218607,75,26
 Centro-Oeste  , Goiás  , Quirinópolis  ,5218508,37,26
 Centro-Oeste  , Goiás  , Professor Jamil  ,5218391,37,58
 Centro-Oeste  , Goiás  , Posse  ,5218300,53,40
 Centro-Oeste  , Goiás  , Portelândia  ,5218102,29,34
 Centro-Oeste  , Goiás  , Porteirão  ,5218052,59,26
 Centro-Oeste  , Goiás  , Porangatu  ,5218003,106,26
 Centro-Oeste  , Goiás  , Pontalina  ,5217708,61,58
 Centro-Oeste  , Goiás  , Planaltina  ,5217609,18,26
 Centro-Oeste  , Goiás  , Pires do Rio  ,5217401,16,27
 Centro-Oeste  , Goiás  , Pirenópolis  ,5217302,57,26
 Centro-Oeste  , Goiás  , Piranhas  ,5217203,23,58
 Centro-Oeste  , Goiás  , Piracanjuba  ,5217104,42,64
 Centro-Oeste  , Goiás  , Pilar de Goiás  ,5216908,199,26
 Centro-Oeste  , Goiás  , Petrolina de Goiás  ,5216809,56,26
 Centro-Oeste  , Goiás  , Perolândia  ,5216452,58,0
 Centro-Oeste  , Goiás  , Paraúna  ,5216403,19,0
 Centro-Oeste  , Goiás  , Paranaiguara  ,5216304,55,26
 Centro-Oeste  , Goiás  , Panamá  ,5216007,25,26
 Centro-Oeste  , Goiás  , Palminópolis  ,5215900,118,30
 Centro-Oeste  , Goiás  , Palmelo  ,5215801,39,24
 Centro-Oeste  , Goiás  , Palmeiras de Goiás  ,5215702,40,77
 Centro-Oeste  , Goiás  , Palestina de Goiás  ,5215652,137,51
 Centro-Oeste  , Goiás  , Padre Bernardo  ,5215603,25,0
 Centro-Oeste  , Goiás  , Ouvidor  ,5215504,25,26
 Centro-Oeste  , Goiás  , Ouro Verde de Goiás  ,5215405,35,41
 Centro-Oeste  , Goiás  , Orizona  ,5215306,24,29
 Centro-Oeste  , Goiás  , Novo Planalto  ,5215256,31,28
 Centro-Oeste  , Goiás  , Novo Gama  ,5215231,81,26
 Centro-Oeste  , Goiás  , Novo Brasil  ,5215207,126,56
 Centro-Oeste  , Goiás  , Nova Veneza  ,5215009,21,26
 Centro-Oeste  , Goiás  , Nova Roma  ,5214903,"3,287",29
