Ano,Região,UF,Código do Município,Nome do Município,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2016,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Pública,71.4,0.0,28.6
2016,Norte,RO,1100023,Ariquemes,Rural,Pública,91.4,8.6,0.0
2016,Norte,RO,1100031,Cabixi,Rural,Pública,76.5,0.0,23.5
2016,Norte,RO,1100049,Cacoal,Rural,Pública,83.2,5.3,11.5
2016,Norte,RO,1100056,Cerejeiras,Rural,Pública,--,--,--
2016,Norte,RO,1100064,Colorado do Oeste,Rural,Pública,97.3,1.1,1.6
2016,Norte,RO,1100072,Corumbiara,Rural,Pública,96.2,0.0,3.8
2016,Norte,RO,1100080,Costa Marques,Rural,Pública,82.7,2.7,14.6
2016,Norte,RO,1100098,Espigão D'Oeste,Rural,Pública,84.2,0.0,15.8
2016,Norte,RO,1100106,Guajará-Mirim,Rural,Pública,--,--,--
2016,Norte,RO,1100114,Jaru,Rural,Pública,86.0,1.5,12.5
2016,Norte,RO,1100122,Ji-Paraná,Rural,Pública,87.4,1.1,11.5
2016,Norte,RO,1100130,Machadinho D'Oeste,Rural,Pública,79.1,12.9,8.0
2016,Norte,RO,1100148,Nova Brasilândia D'Oeste,Rural,Pública,--,--,--
2016,Norte,RO,1100155,Ouro Preto do Oeste,Rural,Pública,--,--,--
2016,Norte,RO,1100189,Pimenta Bueno,Rural,Pública,99.0,1.0,0.0
2016,Norte,RO,1100205,Porto Velho,Rural,Pública,78.1,8.7,13.2
2016,Norte,RO,1100254,Presidente Médici,Rural,Pública,95.8,0.0,4.2
2016,Norte,RO,1100288,Rolim de Moura,Rural,Pública,--,--,--
2016,Norte,RO,1100296,Santa Luzia D'Oeste,Rural,Pública,--,--,--
2016,Norte,RO,1100304,Vilhena,Rural,Pública,93.3,0.0,6.7
2016,Norte,RO,1100320,São Miguel do Guaporé,Rural,Pública,--,--,--
2016,Norte,RO,1100338,Nova Mamoré,Rural,Pública,86.4,0.0,13.6
2016,Norte,RO,1100346,Alvorada D'Oeste,Rural,Pública,--,--,--
2016,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Pública,--,--,--
2016,Norte,RO,1100403,Alto Paraíso,Rural,Pública,--,--,--
2016,Norte,RO,1100452,Buritis,Rural,Pública,--,--,--
2016,Norte,RO,1100502,Novo Horizonte do Oeste,Rural,Pública,97.3,2.7,0.0
2016,Norte,RO,1100601,Cacaulândia,Rural,Pública,--,--,--
2016,Norte,RO,1100700,Campo Novo de Rondônia,Rural,Pública,82.3,8.8,8.9
2016,Norte,RO,1100809,Candeias do Jamari,Rural,Pública,--,--,--
2016,Norte,RO,1100908,Castanheiras,Rural,Pública,--,--,--
2016,Norte,RO,1100924,Chupinguaia,Rural,Pública,89.7,0.0,10.3
2016,Norte,RO,1100940,Cujubim,Rural,Pública,--,--,--
2016,Norte,RO,1101005,Governador Jorge Teixeira,Rural,Pública,77.4,0.8,21.8
2016,Norte,RO,1101104,Itapuã do Oeste,Rural,Pública,--,--,--
2016,Norte,RO,1101203,Ministro Andreazza,Rural,Pública,--,--,--
2016,Norte,RO,1101302,Mirante da Serra,Rural,Pública,--,--,--
2016,Norte,RO,1101401,Monte Negro,Rural,Pública,--,--,--
2016,Norte,RO,1101435,Nova União,Rural,Pública,--,--,--
2016,Norte,RO,1101450,Parecis,Rural,Pública,100.0,0.0,0.0
2016,Norte,RO,1101476,Primavera de Rondônia,Rural,Pública,84.4,0.0,15.6
2016,Norte,RO,1101492,São Francisco do Guaporé,Rural,Pública,100.0,0.0,0.0
2016,Norte,RO,1101500,Seringueiras,Rural,Pública,--,--,--
2016,Norte,RO,1101559,Teixeirópolis,Rural,Pública,--,--,--
2016,Norte,RO,1101609,Theobroma,Rural,Pública,--,--,--
2016,Norte,RO,1101708,Urupá,Rural,Pública,--,--,--
2016,Norte,RO,1101757,Vale do Anari,Rural,Pública,--,--,--
2016,Norte,RO,1101807,Vale do Paraíso,Rural,Pública,--,--,--
