Região Geográfica,Unidade da Federação,Município,Código do Município,Urbana,Rural,,,,,,,,,,,,
 Norte  , Rondônia  , Alta Floresta D'Oeste  ,1100015,45,0,,,,,,,,,,,,
 Norte  , Rondônia  , Ariquemes  ,1100023,116,0,,,,,,,,,,,,
 Norte  , Rondônia  , Cabixi  ,1100031,12,0,,,,,,,,,,,,
 Norte  , Rondônia  , Cacoal  ,1100049,95,0,,,,,,,,,,,,
 Norte  , Rondônia  , Cerejeiras  ,1100056,27,0,,,,,,,,,,,,
 Norte  , Rondônia  , Colorado do Oeste  ,1100064,22,12,,,,,,,,,,,,
 Norte  , Rondônia  , Corumbiara  ,1100072,11,0,,,,,,,,,,,,
 Norte  , Rondônia  , Costa Marques  ,1100080,18,0,,,,,,,,,,,,
 Norte  , Rondônia  , Espigão D'Oeste  ,1100098,40,0,,,,,,,,,,,,
 Norte  , Rondônia  , Guajará-Mirim  ,1100106,58,0,,,,,,,,,,,,
 Norte  , Rondônia  , Jaru  ,1100114,76,3,,,,,,,,,,,,
 Norte  , Rondônia  , Ji-Paraná  ,1100122,135,9,,,,,,,,,,,,
 Norte  , Rondônia  , Machadinho D'Oeste  ,1100130,25,14,,,,,,,,,,,,
 Norte  , Rondônia  , Nova Brasilândia D'Oeste  ,1100148,23,12,,,,,,,,,,,,
 Norte  , Rondônia  , Ouro Preto do Oeste  ,1100155,43,0,,,,,,,,,,,,
 Norte  , Rondônia  , Pimenta Bueno  ,1100189,48,0,,,,,,,,,,,,
 Norte  , Rondônia  , Porto Velho  ,1100205,341,22,,,,,,,,,,,,
 Norte  , Rondônia  , Presidente Médici  ,1100254,23,6,,,,,,,,,,,,
 Norte  , Rondônia  , Rio Crespo  ,1100262,9,0,,,,,,,,,,,,
 Norte  , Rondônia  , Rolim de Moura  ,1100288,77,0,,,,,,,,,,,,
 Norte  , Rondônia  , Santa Luzia D'Oeste  ,1100296,14,0,,,,,,,,,,,,
 Norte  , Rondônia  , Vilhena  ,1100304,83,0,,,,,,,,,,,,
 Norte  , Rondônia  , São Miguel do Guaporé  ,1100320,22,0,,,,,,,,,,,,
 Norte  , Rondônia  , Nova Mamoré  ,1100338,11,7,,,,,,,,,,,,
 Norte  , Rondônia  , Alvorada D'Oeste  ,1100346,25,0,,,,,,,,,,,,
 Norte  , Rondônia  , Alto Alegre dos Parecis  ,1100379,19,0,,,,,,,,,,,,
 Norte  , Rondônia  , Alto Paraíso  ,1100403,21,0,,,,,,,,,,,,
 Norte  , Rondônia  , Buritis  ,1100452,25,0,,,,,,,,,,,,
 Norte  , Rondônia  , Novo Horizonte do Oeste  ,1100502,18,0,,,,,,,,,,,,
 Norte  , Rondônia  , Cacaulândia  ,1100601,9,0,,,,,,,,,,,,
 Norte  , Rondônia  , Campo Novo de Rondônia  ,1100700,7,0,,,,,,,,,,,,
 Norte  , Rondônia  , Candeias do Jamari  ,1100809,13,0,,,,,,,,,,,,
 Norte  , Rondônia  , Castanheiras  ,1100908,8,0,,,,,,,,,,,,
 Norte  , Rondônia  , Chupinguaia  ,1100924,16,0,,,,,,,,,,,,
 Norte  , Rondônia  , Cujubim  ,1100940,13,0,,,,,,,,,,,,
 Norte  , Rondônia  , Governador Jorge Teixeira  ,1101005,7,4,,,,,,,,,,,,
 Norte  , Rondônia  , Itapuã do Oeste  ,1101104,9,0,,,,,,,,,,,,
 Norte  , Rondônia  , Ministro Andreazza  ,1101203,9,0,,,,,,,,,,,,
 Norte  , Rondônia  , Mirante da Serra  ,1101302,17,0,,,,,,,,,,,,
 Norte  , Rondônia  , Monte Negro  ,1101401,20,0,,,,,,,,,,,,
 Norte  , Rondônia  , Nova União  ,1101435,9,0,,,,,,,,,,,,
 Norte  , Rondônia  , Parecis  ,1101450,8,0,,,,,,,,,,,,
 Norte  , Rondônia  , Pimenteiras do Oeste  ,1101468,3,0,,,,,,,,,,,,
 Norte  , Rondônia  , Primavera de Rondônia  ,1101476,5,5,,,,,,,,,,,,
 Norte  , Rondônia  , São Felipe D'Oeste  ,1101484,13,0,,,,,,,,,,,,
 Norte  , Rondônia  , São Francisco do Guaporé  ,1101492,10,9,,,,,,,,,,,,
 Norte  , Rondônia  , Seringueiras  ,1101500,12,0,,,,,,,,,,,,
 Norte  , Rondônia  , Teixeirópolis  ,1101559,9,0,,,,,,,,,,,,
 Norte  , Rondônia  , Theobroma  ,1101609,12,0,,,,,,,,,,,,
 Norte  , Rondônia  , Urupá  ,1101708,12,0,,,,,,,,,,,,
 Norte  , Rondônia  , Vale do Anari  ,1101757,8,3,,,,,,,,,,,,
 Norte  , Rondônia  , Vale do Paraíso  ,1101807,8,0,,,,,,,,,,,,
 Norte  , Acre  , Acrelândia  ,1200013,13,5,,,,,,,,,,,,
 Norte  , Acre  , Assis Brasil  ,1200054,7,0,,,,,,,,,,,,
 Norte  , Acre  , Brasiléia  ,1200104,24,0,,,,,,,,,,,,
 Norte  , Acre  , Bujari  ,1200138,6,0,,,,,,,,,,,,
 Norte  , Acre  , Capixaba  ,1200179,5,0,,,,,,,,,,,,
 Norte  , Acre  , Cruzeiro do Sul  ,1200203,97,10,,,,,,,,,,,,
 Norte  , Acre  , Epitaciolândia  ,1200252,15,0,,,,,,,,,,,,
 Norte  , Acre  , Feijó  ,1200302,23,0,,,,,,,,,,,,
 Norte  , Acre  , Jordão  ,1200328,4,0,,,,,,,,,,,,
 Norte  , Acre  , Mâncio Lima  ,1200336,18,2,,,,,,,,,,,,
 Norte  , Acre  , Manoel Urbano  ,1200344,7,0,,,,,,,,,,,,
 Norte  , Acre  , Marechal Thaumaturgo  ,1200351,10,0,,,,,,,,,,,,
 Norte  , Acre  , Plácido de Castro  ,1200385,15,10,,,,,,,,,,,,
 Norte  , Acre  , Porto Walter  ,1200393,12,0,,,,,,,,,,,,
 Norte  , Acre  , Rio Branco  ,1200401,425,16,,,,,,,,,,,,
 Norte  , Acre  , Rodrigues Alves  ,1200427,17,0,,,,,,,,,,,,
 Norte  , Acre  , Santa Rosa do Purus  ,1200435,3,0,,,,,,,,,,,,
 Norte  , Acre  , Senador Guiomard  ,1200450,15,8,,,,,,,,,,,,
 Norte  , Acre  , Sena Madureira  ,1200500,36,0,,,,,,,,,,,,
 Norte  , Acre  , Tarauacá  ,1200609,37,0,,,,,,,,,,,,
 Norte  , Acre  , Xapuri  ,1200708,11,0,,,,,,,,,,,,
 Norte  , Acre  , Porto Acre  ,1200807,4,9,,,,,,,,,,,,
 Norte  , Amazonas  , Alvarães  ,1300029,16,0,,,,,,,,,,,,
 Norte  , Amazonas  , Amaturá  ,1300060,8,0,,,,,,,,,,,,
 Norte  , Amazonas  , Anamã  ,1300086,21,3,,,,,,,,,,,,
 Norte  , Amazonas  , Anori  ,1300102,22,0,,,,,,,,,,,,
 Norte  , Amazonas  , Apuí  ,1300144,15,0,,,,,,,,,,,,
 Norte  , Amazonas  , Atalaia do Norte  ,1300201,12,0,,,,,,,,,,,,
 Norte  , Amazonas  , Autazes  ,1300300,44,0,,,,,,,,,,,,
 Norte  , Amazonas  , Barcelos  ,1300409,14,0,,,,,,,,,,,,
 Norte  , Amazonas  , Barreirinha  ,1300508,28,15,,,,,,,,,,,,
 Norte  , Amazonas  , Benjamin Constant  ,1300607,34,10,,,,,,,,,,,,
 Norte  , Amazonas  , Beruri  ,1300631,14,0,,,,,,,,,,,,
 Norte  , Amazonas  , Boa Vista do Ramos  ,1300680,22,0,,,,,,,,,,,,
 Norte  , Amazonas  , Boca do Acre  ,1300706,37,0,,,,,,,,,,,,
 Norte  , Amazonas  , Borba  ,1300805,25,4,,,,,,,,,,,,
 Norte  , Amazonas  , Caapiranga  ,1300839,13,0,,,,,,,,,,,,
 Norte  , Amazonas  , Canutama  ,1300904,10,0,,,,,,,,,,,,
 Norte  , Amazonas  , Carauari  ,1301001,27,0,,,,,,,,,,,,
 Norte  , Amazonas  , Careiro  ,1301100,34,9,,,,,,,,,,,,
 Norte  , Amazonas  , Careiro da Várzea  ,1301159,27,12,,,,,,,,,,,,
 Norte  , Amazonas  , Coari  ,1301209,91,7,,,,,,,,,,,,
 Norte  , Amazonas  , Codajás  ,1301308,22,0,,,,,,,,,,,,
 Norte  , Amazonas  , Eirunepé  ,1301407,29,0,,,,,,,,,,,,
 Norte  , Amazonas  , Envira  ,1301506,9,0,,,,,,,,,,,,
 Norte  , Amazonas  , Fonte Boa  ,1301605,25,0,,,,,,,,,,,,
 Norte  , Amazonas  , Guajará  ,1301654,8,0,,,,,,,,,,,,
 Norte  , Amazonas  , Humaitá  ,1301704,59,0,,,,,,,,,,,,
 Norte  , Amazonas  , Ipixuna  ,1301803,16,0,,,,,,,,,,,,
 Norte  , Amazonas  , Iranduba  ,1301852,25,26,,,,,,,,,,,,
 Norte  , Amazonas  , Itacoatiara  ,1301902,98,10,,,,,,,,,,,,
 Norte  , Amazonas  , Itamarati  ,1301951,7,0,,,,,,,,,,,,
 Norte  , Amazonas  , Itapiranga  ,1302009,16,0,,,,,,,,,,,,
