Ano;Região;Código UF;UF;Código_IBGE;Municipio;Magreza Acentuada;Magreza Acentuada %;Magreza;Magreza %;Eutrofia;Eutofia %;Sobrepeso;Soprepeso %;Obesidade;Obesidade %;Obesidade Grave;Obesidade Grave %;Total
2008;CENTRO-OESTE;53;DF;530010;BRASILIA;107;1.69%;229;3.62%;4.900;77.56%;818;12.95%;210;3.32%;54;0.85%;6.318
2008;CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;2;2.33%;5;5.81%;60;69.77%;13;15.12%;6;6.98%;0;-;86
2008;CENTRO-OESTE;52;GO;520010;ABADIANIA;4;1.15%;10;2.87%;268;76.79%;47;13.47%;19;5.44%;1;0.29%;349
2008;CENTRO-OESTE;52;GO;520013;ACREUNA;0;-;1;0.97%;81;78.64%;15;14.56%;6;5.83%;0;-;103
2008;CENTRO-OESTE;52;GO;520015;ADELANDIA;0;-;1;1.23%;70;86.42%;7;8.64%;3;3.7%;0;-;81
2008;CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;2;1.06%;6;3.17%;148;78.31%;26;13.76%;7;3.7%;0;-;189
2008;CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;0.95%;3;2.86%;80;76.19%;15;14.29%;4;3.81%;2;1.9%;105
2008;CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;3;4.17%;3;4.17%;48;66.67%;16;22.22%;2;2.78%;0;-;72
2008;CENTRO-OESTE;52;GO;520030;ALEXANIA;3;0.72%;21;5.02%;338;80.86%;47;11.24%;8;1.91%;1;0.24%;418
2008;CENTRO-OESTE;52;GO;520050;ALOANDIA;0;-;1;3.85%;17;65.38%;3;11.54%;5;19.23%;0;-;26
2008;CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;0;-;3;3.85%;57;73.08%;15;19.23%;3;3.85%;0;-;78
2008;CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;2;1.4%;3;2.1%;111;77.62%;21;14.69%;5;3.5%;1;0.7%;143
2008;CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;4;1.57%;16;6.3%;196;77.17%;29;11.42%;8;3.15%;1;0.39%;254
2008;CENTRO-OESTE;52;GO;520082;AMARALINA;0;-;0;-;1;50%;0;-;1;50%;0;-;2
2008;CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;0;-;0;-;98;87.5%;13;11.61%;1;0.89%;0;-;112
2008;CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;2;2.11%;0;-;77;81.05%;14;14.74%;2;2.11%;0;-;95
2008;CENTRO-OESTE;52;GO;520110;ANAPOLIS;31;2.59%;50;4.17%;902;75.29%;142;11.85%;55;4.59%;18;1.5%;1.198
2008;CENTRO-OESTE;52;GO;520120;ANHANGUERA;6;15.79%;1;2.63%;17;44.74%;10;26.32%;3;7.89%;1;2.63%;38
2008;CENTRO-OESTE;52;GO;520130;ANICUNS;6;1.17%;25;4.85%;373;72.43%;77;14.95%;27;5.24%;7;1.36%;515
2008;CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;0;-;0;-;23;74.19%;6;19.35%;2;6.45%;0;-;31
2008;CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0;-;1;1.64%;48;78.69%;5;8.2%;6;9.84%;1;1.64%;61
2008;CENTRO-OESTE;52;GO;520150;APORE;1;1.19%;2;2.38%;59;70.24%;16;19.05%;5;5.95%;1;1.19%;84
2008;CENTRO-OESTE;52;GO;520160;ARACU;2;1.29%;4;2.58%;116;74.84%;25;16.13%;6;3.87%;2;1.29%;155
2008;CENTRO-OESTE;52;GO;520170;ARAGARCAS;0;-;0;-;2;50%;1;25%;1;25%;0;-;4
