Ano;Regiao;Código UF;UF;Estado;Código_IBGE;Município;"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2010;Norte;11;RO;Rondônia;1100015;Alta Floresta D'Oeste; 10.731,18 
2010;Norte;11;RO;Rondônia;1100023;Ariquemes; 15.103,86 
2010;Norte;11;RO;Rondônia;1100031;Cabixi; 11.033,62 
2010;Norte;11;RO;Rondônia;1100049;Cacoal; 15.095,15 
2010;Norte;11;RO;Rondônia;1100056;Cerejeiras; 13.037,06 
2010;Norte;11;RO;Rondônia;1100064;Colorado do Oeste; 10.380,21 
2010;Norte;11;RO;Rondônia;1100072;Corumbiara; 13.038,89 
2010;Norte;11;RO;Rondônia;1100080;Costa Marques; 7.852,78 
2010;Norte;11;RO;Rondônia;1100098;Espigão D'Oeste; 10.848,19 
2010;Norte;11;RO;Rondônia;1100106;Guajará-Mirim; 14.363,13 
2010;Norte;11;RO;Rondônia;1100114;Jaru; 15.319,96 
2010;Norte;11;RO;Rondônia;1100122;Ji-Paraná; 15.913,94 
2010;Norte;11;RO;Rondônia;1100130;Machadinho D'Oeste; 8.750,47 
2010;Norte;11;RO;Rondônia;1100148;Nova Brasilândia D'Oeste; 8.750,38 
2010;Norte;11;RO;Rondônia;1100155;Ouro Preto do Oeste; 12.585,36 
2010;Norte;11;RO;Rondônia;1100189;Pimenta Bueno; 16.023,63 
2010;Norte;11;RO;Rondônia;1100205;Porto Velho; 21.319,08 
2010;Norte;11;RO;Rondônia;1100254;Presidente Médici; 10.555,53 
2010;Norte;11;RO;Rondônia;1100262;Rio Crespo; 12.645,97 
2010;Norte;11;RO;Rondônia;1100288;Rolim de Moura; 12.390,44 
2010;Norte;11;RO;Rondônia;1100296;Santa Luzia D'Oeste; 11.120,68 
2010;Norte;11;RO;Rondônia;1100304;Vilhena; 18.995,20 
2010;Norte;11;RO;Rondônia;1100320;São Miguel do Guaporé; 14.867,85 
2010;Norte;11;RO;Rondônia;1100338;Nova Mamoré; 9.685,67 
2010;Norte;11;RO;Rondônia;1100346;Alvorada D'Oeste; 9.528,51 
2010;Norte;11;RO;Rondônia;1100379;Alto Alegre dos Parecis; 9.353,97 
2010;Norte;11;RO;Rondônia;1100403;Alto Paraíso; 8.879,79 
2010;Norte;11;RO;Rondônia;1100452;Buritis; 10.383,35 
2010;Norte;11;RO;Rondônia;1100502;Novo Horizonte do Oeste; 9.321,10 
2010;Norte;11;RO;Rondônia;1100601;Cacaulândia; 13.392,84 
2010;Norte;11;RO;Rondônia;1100700;Campo Novo de Rondônia; 9.506,68 
2010;Norte;11;RO;Rondônia;1100809;Candeias do Jamari; 11.541,88 
2010;Norte;11;RO;Rondônia;1100908;Castanheiras; 11.152,28 
2010;Norte;11;RO;Rondônia;1100924;Chupinguaia; 19.956,21 
2010;Norte;11;RO;Rondônia;1100940;Cujubim; 13.243,73 
2010;Norte;11;RO;Rondônia;1101005;Governador Jorge Teixeira; 10.570,72 
2010;Norte;11;RO;Rondônia;1101104;Itapuã do Oeste; 10.593,45 
2010;Norte;11;RO;Rondônia;1101203;Ministro Andreazza; 9.628,40 
2010;Norte;11;RO;Rondônia;1101302;Mirante da Serra; 9.678,04 
2010;Norte;11;RO;Rondônia;1101401;Monte Negro; 10.178,62 
2010;Norte;11;RO;Rondônia;1101435;Nova União; 9.434,33 
2010;Norte;11;RO;Rondônia;1101450;Parecis; 10.392,15 
2010;Norte;11;RO;Rondônia;1101468;Pimenteiras do Oeste; 18.868,24 
2010;Norte;11;RO;Rondônia;1101476;Primavera de Rondônia; 9.964,65 
2010;Norte;11;RO;Rondônia;1101484;São Felipe D'Oeste; 9.758,55 
2010;Norte;11;RO;Rondônia;1101492;São Francisco do Guaporé; 10.837,73 
2010;Norte;11;RO;Rondônia;1101500;Seringueiras; 10.067,89 
2010;Norte;11;RO;Rondônia;1101559;Teixeirópolis; 10.218,91 
2010;Norte;11;RO;Rondônia;1101609;Theobroma; 9.915,02 
2010;Norte;11;RO;Rondônia;1101708;Urupá; 9.357,65 
2010;Norte;11;RO;Rondônia;1101757;Vale do Anari; 9.772,49 
2010;Norte;11;RO;Rondônia;1101807;Vale do Paraíso; 10.861,88 
2010;Norte;12;AC;Acre;1200013;Acrelândia; 9.723,62 
