Região Geográfica,Unidade da Federação,Município,Código do Município,Urbana,Rural
 Centro-Oeste  , Distrito Federal  , Brasília  ,5300108,77980,1827
 Centro-Oeste  , Goiás  , Vila Propício  ,5222302,105,108
 Centro-Oeste  , Goiás  , Vila Boa  ,5222203,190,0
 Centro-Oeste  , Goiás  , Vicentinópolis  ,5222054,286,0
 Centro-Oeste  , Goiás  , Vianópolis  ,5222005,551,0
 Centro-Oeste  , Goiás  , Varjão  ,5221908,177,0
 Centro-Oeste  , Goiás  , Valparaíso de Goiás  ,5221858,4502,0
 Centro-Oeste  , Goiás  , Urutaí  ,5221809,83,230
 Centro-Oeste  , Goiás  , Uruana  ,5221700,548,0
 Centro-Oeste  , Goiás  , Uruaçu  ,5221601,1429,0
 Centro-Oeste  , Goiás  , Uirapuru  ,5221577,164,0
 Centro-Oeste  , Goiás  , Turvelândia  ,5221551,197,0
 Centro-Oeste  , Goiás  , Turvânia  ,5221502,208,0
 Centro-Oeste  , Goiás  , Trombas  ,5221452,171,0
 Centro-Oeste  , Goiás  , Trindade  ,5221403,3593,0
 Centro-Oeste  , Goiás  , Três Ranchos  ,5221304,155,0
 Centro-Oeste  , Goiás  , Terezópolis de Goiás  ,5221197,325,0
 Centro-Oeste  , Goiás  , Teresina de Goiás  ,5221080,177,0
 Centro-Oeste  , Goiás  , Taquaral de Goiás  ,5221007,165,0
 Centro-Oeste  , Goiás  , Sítio d'Abadia  ,5220702,120,0
 Centro-Oeste  , Goiás  , Simolândia  ,5220686,334,0
 Centro-Oeste  , Goiás  , Silvânia  ,5220603,389,0
 Centro-Oeste  , Goiás  , Serranópolis  ,5220504,285,0
 Centro-Oeste  , Goiás  , Senador Canedo  ,5220454,3548,0
 Centro-Oeste  , Goiás  , São Simão  ,5220405,541,0
 Centro-Oeste  , Goiás  , São Patrício  ,5220280,121,0
 Centro-Oeste  , Goiás  , São Miguel do Passa Quatro  ,5220264,203,0
 Centro-Oeste  , Goiás  , São Miguel do Araguaia  ,5220207,1027,0
 Centro-Oeste  , Goiás  , São Luiz do Norte  ,5220157,173,0
 Centro-Oeste  , Goiás  , São Luís de Montes Belos  ,5220108,1212,0
 Centro-Oeste  , Goiás  , São João da Paraúna  ,5220058,88,0
 Centro-Oeste  , Goiás  , São João d'Aliança  ,5220009,394,0
 Centro-Oeste  , Goiás  , São Francisco de Goiás  ,5219902,262,0
 Centro-Oeste  , Goiás  , São Domingos  ,5219803,193,80
 Centro-Oeste  , Goiás  , Santo Antônio do Descoberto  ,5219753,2268,0
 Centro-Oeste  , Goiás  , Santo Antônio de Goiás  ,5219738,167,0
 Centro-Oeste  , Goiás  , Santo Antônio da Barra  ,5219712,244,0
 Centro-Oeste  , Goiás  , Santa Terezinha de Goiás  ,5219704,557,0
 Centro-Oeste  , Goiás  , Santa Tereza de Goiás  ,5219605,154,0
 Centro-Oeste  , Goiás  , Santa Rosa de Goiás  ,5219506,153,0
 Centro-Oeste  , Goiás  , Santa Rita do Novo Destino  ,5219456,122,0
 Centro-Oeste  , Goiás  , Santa Rita do Araguaia  ,5219407,291,0
 Centro-Oeste  , Goiás  , Santa Isabel  ,5219357,159,0
 Centro-Oeste  , Goiás  , Santa Helena de Goiás  ,5219308,1174,0
 Centro-Oeste  , Goiás  , Santa Fé de Goiás  ,5219258,318,0
 Centro-Oeste  , Goiás  , Santa Cruz de Goiás  ,5219209,110,0
 Centro-Oeste  , Goiás  , Santa Bárbara de Goiás  ,5219100,287,0
 Centro-Oeste  , Goiás  , Sanclerlândia  ,5219001,341,0
 Centro-Oeste  , Goiás  , Rubiataba  ,5218904,875,54
 Centro-Oeste  , Goiás  , Rio Verde  ,5218805,6113,0
 Centro-Oeste  , Goiás  , Rio Quente  ,5218789,126,0
 Centro-Oeste  , Goiás  , Rianápolis  ,5218706,177,0
 Centro-Oeste  , Goiás  , Rialma  ,5218607,362,0
 Centro-Oeste  , Goiás  , Quirinópolis  ,5218508,1462,0
 Centro-Oeste  , Goiás  , Professor Jamil  ,5218391,161,0
 Centro-Oeste  , Goiás  , Posse  ,5218300,1249,49
 Centro-Oeste  , Goiás  , Portelândia  ,5218102,154,0
 Centro-Oeste  , Goiás  , Porteirão  ,5218052,108,0
 Centro-Oeste  , Goiás  , Porangatu  ,5218003,1915,0
 Centro-Oeste  , Goiás  , Pontalina  ,5217708,571,0
 Centro-Oeste  , Goiás  , Planaltina  ,5217609,3441,92
 Centro-Oeste  , Goiás  , Pires do Rio  ,5217401,1018,0
 Centro-Oeste  , Goiás  , Pirenópolis  ,5217302,944,0
 Centro-Oeste  , Goiás  , Piranhas  ,5217203,576,0
 Centro-Oeste  , Goiás  , Piracanjuba  ,5217104,715,45
 Centro-Oeste  , Goiás  , Pilar de Goiás  ,5216908,124,0
 Centro-Oeste  , Goiás  , Petrolina de Goiás  ,5216809,315,0
 Centro-Oeste  , Goiás  , Perolândia  ,5216452,110,0
 Centro-Oeste  , Goiás  , Paraúna  ,5216403,410,0
 Centro-Oeste  , Goiás  , Paranaiguara  ,5216304,318,0
 Centro-Oeste  , Goiás  , Panamá  ,5216007,126,0
 Centro-Oeste  , Goiás  , Palminópolis  ,5215900,233,0
 Centro-Oeste  , Goiás  , Palmelo  ,5215801,94,0
 Centro-Oeste  , Goiás  , Palmeiras de Goiás  ,5215702,770,0
 Centro-Oeste  , Goiás  , Palestina de Goiás  ,5215652,171,0
 Centro-Oeste  , Goiás  , Padre Bernardo  ,5215603,689,371
 Centro-Oeste  , Goiás  , Ouvidor  ,5215504,257,0
 Centro-Oeste  , Goiás  , Ouro Verde de Goiás  ,5215405,232,0
 Centro-Oeste  , Goiás  , Orizona  ,5215306,373,188
 Centro-Oeste  , Goiás  , Novo Planalto  ,5215256,165,0
 Centro-Oeste  , Goiás  , Novo Gama  ,5215231,3644,0
 Centro-Oeste  , Goiás  , Novo Brasil  ,5215207,167,0
 Centro-Oeste  , Goiás  , Nova Veneza  ,5215009,290,0
 Centro-Oeste  , Goiás  , Nova Roma  ,5214903,164,0
 Centro-Oeste  , Goiás  , Nova Iguaçu de Goiás  ,5214879,150,0
 Centro-Oeste  , Goiás  , Nova Glória  ,5214861,335,77
 Centro-Oeste  , Goiás  , Nova Crixás  ,5214838,471,0
 Centro-Oeste  , Goiás  , Nova Aurora  ,5214804,71,0
 Centro-Oeste  , Goiás  , Nova América  ,5214705,96,0
 Centro-Oeste  , Goiás  , Niquelândia  ,5214606,1950,0
 Centro-Oeste  , Goiás  , Nerópolis  ,5214507,1052,0
 Centro-Oeste  , Goiás  , Nazário  ,5214408,376,0
 Centro-Oeste  , Goiás  , Mutunópolis  ,5214101,169,0
 Centro-Oeste  , Goiás  , Mundo Novo  ,5214051,211,89
 Centro-Oeste  , Goiás  , Mozarlândia  ,5214002,540,0
 Centro-Oeste  , Goiás  , Mossâmedes  ,5213905,232,0
 Centro-Oeste  , Goiás  , Morro Agudo de Goiás  ,5213855,88,0
 Centro-Oeste  , Goiás  , Morrinhos  ,5213806,1491,198
 Centro-Oeste  , Goiás  , Montividiu do Norte  ,5213772,201,0
 Centro-Oeste  , Goiás  , Montividiu  ,5213756,631,0
 Centro-Oeste  , Goiás  , Montes Claros de Goiás  ,5213707,335,0
 Centro-Oeste  , Goiás  , Monte Alegre de Goiás  ,5213509,211,55
 Centro-Oeste  , Goiás  , Moiporá  ,5213400,71,0
 Centro-Oeste  , Goiás  , Mineiros  ,5213103,1487,0
 Centro-Oeste  , Goiás  , Minaçu  ,5213087,1517,127
 Centro-Oeste  , Goiás  , Mimoso de Goiás  ,5213053,143,0
 Centro-Oeste  , Goiás  , Maurilândia  ,5213004,453,0
 Centro-Oeste  , Goiás  , Matrinchã  ,5212956,221,0
 Centro-Oeste  , Goiás  , Marzagão  ,5212907,102,0
 Centro-Oeste  , Goiás  , Mara Rosa  ,5212808,544,0
 Centro-Oeste  , Goiás  , Mambaí  ,5212709,361,0
 Centro-Oeste  , Goiás  , Mairipotaba  ,5212600,104,0
 Centro-Oeste  , Goiás  , Luziânia  ,5212501,7874,236
 Centro-Oeste  , Goiás  , Leopoldo de Bulhões  ,5212303,199,66
 Centro-Oeste  , Goiás  , Lagoa Santa  ,5212253,89,0
 Centro-Oeste  , Goiás  , Jussara  ,5212204,832,0
 Centro-Oeste  , Goiás  , Joviânia  ,5212105,270,0
 Centro-Oeste  , Goiás  , Jesúpolis  ,5212055,126,0
 Centro-Oeste  , Goiás  , Jaupaci  ,5212006,135,0
 Centro-Oeste  , Goiás  , Jataí  ,5211909,3128,0
 Centro-Oeste  , Goiás  , Jaraguá  ,5211800,1597,0
 Centro-Oeste  , Goiás  , Jandaia  ,5211701,337,0
 Centro-Oeste  , Goiás  , Ivolândia  ,5211602,126,0
 Centro-Oeste  , Goiás  , Itumbiara  ,5211503,2922,0
 Centro-Oeste  , Goiás  , Itauçu  ,5211404,310,0
 Centro-Oeste  , Goiás  , Itarumã  ,5211305,195,0
 Centro-Oeste  , Goiás  , Itapuranga  ,5211206,1148,0
 Centro-Oeste  , Goiás  , Itapirapuã  ,5211008,390,0
 Centro-Oeste  , Goiás  , Itapaci  ,5210901,543,0
 Centro-Oeste  , Goiás  , Itajá  ,5210802,193,23
 Centro-Oeste  , Goiás  , Itaguaru  ,5210604,252,0
 Centro-Oeste  , Goiás  , Itaguari  ,5210562,221,0
 Centro-Oeste  , Goiás  , Itaberaí  ,5210406,1246,0
 Centro-Oeste  , Goiás  , Israelândia  ,5210307,148,0
 Centro-Oeste  , Goiás  , Iporá  ,5210208,1349,0
 Centro-Oeste  , Goiás  , Ipiranga de Goiás  ,5210158,132,0
 Centro-Oeste  , Goiás  , Ipameri  ,5210109,770,0
 Centro-Oeste  , Goiás  , Inhumas  ,5210000,1847,0
 Centro-Oeste  , Goiás  , Indiara  ,5209952,608,0
 Centro-Oeste  , Goiás  , Inaciolândia  ,5209937,295,0
 Centro-Oeste  , Goiás  , Iaciara  ,5209903,599,0
 Centro-Oeste  , Goiás  , Hidrolina  ,5209804,232,0
 Centro-Oeste  , Goiás  , Hidrolândia  ,5209705,610,0
 Centro-Oeste  , Goiás  , Heitoraí  ,5209606,192,0
 Centro-Oeste  , Goiás  , Guarinos  ,5209457,99,0
 Centro-Oeste  , Goiás  , Guarani de Goiás  ,5209408,205,0
 Centro-Oeste  , Goiás  , Guaraíta  ,5209291,192,0
 Centro-Oeste  , Goiás  , Guapó  ,5209200,413,0
 Centro-Oeste  , Goiás  , Gouvelândia  ,5209150,172,0
 Centro-Oeste  , Goiás  , Goiatuba  ,5209101,1164,0
 Centro-Oeste  , Goiás  , Goiás  ,5208905,907,58
 Centro-Oeste  , Goiás  , Goianira  ,5208806,893,0
 Centro-Oeste  , Goiás  , Goiânia  ,5208707,45690,0
 Centro-Oeste  , Goiás  , Goianésia  ,5208608,2933,0
 Centro-Oeste  , Goiás  , Goiandira  ,5208509,202,0
 Centro-Oeste  , Goiás  , Goianápolis  ,5208400,492,0
 Centro-Oeste  , Goiás  , Divinópolis de Goiás  ,5208301,264,0
 Centro-Oeste  , Goiás  , Gameleira de Goiás  ,5208152,152,0
 Centro-Oeste  , Goiás  , Formoso  ,5208103,222,0
 Centro-Oeste  , Goiás  , Formosa  ,5208004,3569,477
 Centro-Oeste  , Goiás  , Flores de Goiás  ,5207907,426,0
 Centro-Oeste  , Goiás  , Firminópolis  ,5207808,387,0
 Centro-Oeste  , Goiás  , Fazenda Nova  ,5207600,282,0
 Centro-Oeste  , Goiás  , Faina  ,5207535,257,0
 Centro-Oeste  , Goiás  , Estrela do Norte  ,5207501,134,0
 Centro-Oeste  , Goiás  , Edéia  ,5207402,426,0
 Centro-Oeste  , Goiás  , Edealina  ,5207352,138,0
