;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Região Geográfica;Unidade da Federação;Município;Código do Município;Urbana;Rural;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
 Norte  ; Rondônia  ; Alta Floresta D'Oeste  ;1100015; 66 ; 20 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Alto Alegre dos Parecis  ;1100379; 39 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Alto Paraíso  ;1100403; 26 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Alvorada D'Oeste  ;1100346; 27 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Ariquemes  ;1100023; 180 ; 88 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Buritis  ;1100452; 74 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cabixi  ;1100031; 13 ; 6 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cacaulândia  ;1100601; 36 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cacoal  ;1100049; 177 ; 23 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Campo Novo de Rondônia  ;1100700; 34 ; 7 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Candeias do Jamari  ;1100809; 38 ; 5 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Castanheiras  ;1100908; 9 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cerejeiras  ;1100056; 21 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Chupinguaia  ;1100924; 38 ; 25 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Colorado do Oeste  ;1100064; 39 ; 59 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Corumbiara  ;1100072; 26 ; 32 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Costa Marques  ;1100080; 33 ; 29 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cujubim  ;1100940; 25 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Espigão D'Oeste  ;1100098; 66 ; 25 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Governador Jorge Teixeira  ;1101005; 33 ; 9 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Guajará-Mirim  ;1100106; 88 ; 14 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Itapuã do Oeste  ;1101104; 17 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Jaru  ;1100114; 134 ; 45 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Ji-Paraná  ;1100122; 306 ; 13 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Machadinho D'Oeste  ;1100130; 36 ; 10 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Ministro Andreazza  ;1101203; 37 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Mirante da Serra  ;1101302; 20 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Monte Negro  ;1101401; 50 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Nova Brasilândia D'Oeste  ;1100148; 34 ; -   ;;;;;;;;;;;
