;;;;;;;;;;;;;;;;
Região Geográfica;Unidade da Federação;Município;Código do Município;Urbana;Rural;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
 Norte  ; Rondônia  ; Alta Floresta D'Oeste  ;1100015; 71 ; 29 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Alto Alegre dos Parecis  ;1100379; 43 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Alto Paraíso  ;1100403; 26 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Alvorada D'Oeste  ;1100346; 21 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Ariquemes  ;1100023; 179 ; 76 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Buritis  ;1100452; 89 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cabixi  ;1100031; 14 ; 7 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cacaulândia  ;1100601; 39 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cacoal  ;1100049; 199 ; 25 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Campo Novo de Rondônia  ;1100700; 46 ; 26 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Candeias do Jamari  ;1100809; 46 ; 4 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Castanheiras  ;1100908; 8 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cerejeiras  ;1100056; 23 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Chupinguaia  ;1100924; 35 ; 29 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Colorado do Oeste  ;1100064; 36 ; 53 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Corumbiara  ;1100072; 33 ; 27 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Costa Marques  ;1100080; 40 ; 34 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Cujubim  ;1100940; 55 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Espigão D'Oeste  ;1100098; 60 ; 27 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Governador Jorge Teixeira  ;1101005; 49 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Guajará-Mirim  ;1100106; 102 ; 28 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Itapuã do Oeste  ;1101104; 43 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Jaru  ;1100114; 173 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Ji-Paraná  ;1100122; 287 ; 10 ;;;;;;;;;;;
 Norte  ; Rondônia  ; Machadinho D'Oeste  ;1100130; 77 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Ministro Andreazza  ;1101203; 20 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Mirante da Serra  ;1101302; 16 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Monte Negro  ;1101401; 46 ; -   ;;;;;;;;;;;
 Norte  ; Rondônia  ; Nova Brasilândia D'Oeste  ;1100148; 21 ; -   ;;;;;;;;;;;
