Região Geográfica,Unidade da Federação,Município,Código do Município,Urbana,Rural
 Norte  , Rondônia  , Alta Floresta D'Oeste  ,1100015,70,28
 Norte  , Rondônia  , Alto Alegre dos Parecis  ,1100379,51, -   
 Norte  , Rondônia  , Alto Paraíso  ,1100403,21, -   
 Norte  , Rondônia  , Alvorada D'Oeste  ,1100346,20, -   
 Norte  , Rondônia  , Ariquemes  ,1100023,191,75
 Norte  , Rondônia  , Buritis  ,1100452,100, -   
 Norte  , Rondônia  , Cabixi  ,1100031,14,7
 Norte  , Rondônia  , Cacaulândia  ,1100601,42, -   
 Norte  , Rondônia  , Cacoal  ,1100049,226,25
 Norte  , Rondônia  , Campo Novo de Rondônia  ,1100700,44,29
 Norte  , Rondônia  , Candeias do Jamari  ,1100809,42,4
 Norte  , Rondônia  , Castanheiras  ,1100908,8, -   
 Norte  , Rondônia  , Cerejeiras  ,1100056,25, -   
 Norte  , Rondônia  , Chupinguaia  ,1100924,37,36
 Norte  , Rondônia  , Colorado do Oeste  ,1100064,36,55
 Norte  , Rondônia  , Corumbiara  ,1100072,9,29
 Norte  , Rondônia  , Costa Marques  ,1100080,33,38
 Norte  , Rondônia  , Cujubim  ,1100940,54, -   
 Norte  , Rondônia  , Espigão D'Oeste  ,1100098,72,28
 Norte  , Rondônia  , Governador Jorge Teixeira  ,1101005,48, -   
 Norte  , Rondônia  , Guajará-Mirim  ,1100106,122,28
 Norte  , Rondônia  , Itapuã do Oeste  ,1101104,17, -   
 Norte  , Rondônia  , Jaru  ,1100114,173, -   
 Norte  , Rondônia  , Ji-Paraná  ,1100122,318,10
 Norte  , Rondônia  , Machadinho D'Oeste  ,1100130,71,40
 Norte  , Rondônia  , Ministro Andreazza  ,1101203,18, -   
 Norte  , Rondônia  , Mirante da Serra  ,1101302,17, -   
 Norte  , Rondônia  , Monte Negro  ,1101401,46, -   
 Norte  , Rondônia  , Nova Brasilândia D'Oeste  ,1100148,23, -   
 Norte  , Rondônia  , Nova Mamoré  ,1100338,71, -   
 Norte  , Rondônia  , Nova União  ,1101435,14, -   
 Norte  , Rondônia  , Novo Horizonte do Oeste  ,1100502,58, -   
 Norte  , Rondônia  , Ouro Preto do Oeste  ,1100155,81, -   
 Norte  , Rondônia  , Parecis  ,1101450,10,30
 Norte  , Rondônia  , Pimenta Bueno  ,1100189,103,15
 Norte  , Rondônia  , Pimenteiras do Oeste  ,1101468,36, -   
 Norte  , Rondônia  , Porto Velho  ,1100205,894,68
 Norte  , Rondônia  , Presidente Médici  ,1100254,69,30
 Norte  , Rondônia  , Primavera de Rondônia  ,1101476,9,28
 Norte  , Rondônia  , Rio Crespo  ,1100262,8, -   
 Norte  , Rondônia  , Rolim de Moura  ,1100288,137, -   
 Norte  , Rondônia  , Santa Luzia D'Oeste  ,1100296,20, -   
 Norte  , Rondônia  , São Felipe D'Oeste  ,1101484,24, -   
 Norte  , Rondônia  , São Francisco do Guaporé  ,1101492,49, -   
 Norte  , Rondônia  , São Miguel do Guaporé  ,1100320,40, -   
 Norte  , Rondônia  , Seringueiras  ,1101500,20, -   
 Norte  , Rondônia  , Teixeirópolis  ,1101559,9, -   
 Norte  , Rondônia  , Theobroma  ,1101609,40, -   
 Norte  , Rondônia  , Urupá  ,1101708,19, -   
 Norte  , Rondônia  , Vale do Anari  ,1101757,18, -   
 Norte  , Rondônia  , Vale do Paraíso  ,1101807,25, -   
 Norte  , Rondônia  , Vilhena  ,1100304,197,9
 Norte  , Acre  , Acrelândia  ,1200013,18,10
 Norte  , Acre  , Assis Brasil  ,1200054,13,5
 Norte  , Acre  , Brasiléia  ,1200104,38,14
 Norte  , Acre  , Bujari  ,1200138,22,25
 Norte  , Acre  , Capixaba  ,1200179,15,16
 Norte  , Acre  , Cruzeiro do Sul  ,1200203,169,88
 Norte  , Acre  , Epitaciolândia  ,1200252,17,10
 Norte  , Acre  , Feijó  ,1200302,33,64
 Norte  , Acre  , Jordão  ,1200328,10,5
 Norte  , Acre  , Mâncio Lima  ,1200336,40,52
 Norte  , Acre  , Manoel Urbano  ,1200344,11, -   
 Norte  , Acre  , Marechal Thaumaturgo  ,1200351,20,39
 Norte  , Acre  , Plácido de Castro  ,1200385,18,19
 Norte  , Acre  , Porto Acre  ,1200807,9,41
 Norte  , Acre  , Porto Walter  ,1200393,12,6
 Norte  , Acre  , Rio Branco  ,1200401,690,90
 Norte  , Acre  , Rodrigues Alves  ,1200427,21,64
 Norte  , Acre  , Santa Rosa do Purus  ,1200435,8,11
 Norte  , Acre  , Sena Madureira  ,1200500,92,32
 Norte  , Acre  , Senador Guiomard  ,1200450,26,40
 Norte  , Acre  , Tarauacá  ,1200609,65,63
 Norte  , Acre  , Xapuri  ,1200708,39,22
 Norte  , Amazonas  , Alvarães  ,1300029,27,32
 Norte  , Amazonas  , Amaturá  ,1300060,39,77
 Norte  , Amazonas  , Anamã  ,1300086,19,17
 Norte  , Amazonas  , Anori  ,1300102,40,10
 Norte  , Amazonas  , Apuí  ,1300144,19,9
 Norte  , Amazonas  , Atalaia do Norte  ,1300201,27,6
 Norte  , Amazonas  , Autazes  ,1300300,74,66
 Norte  , Amazonas  , Barcelos  ,1300409,42,24
 Norte  , Amazonas  , Barreirinha  ,1300508,55,148
 Norte  , Amazonas  , Benjamin Constant  ,1300607,59,69
 Norte  , Amazonas  , Beruri  ,1300631,41,22
 Norte  , Amazonas  , Boa Vista do Ramos  ,1300680,25,39
 Norte  , Amazonas  , Boca do Acre  ,1300706,69,27
 Norte  , Amazonas  , Borba  ,1300805,41,67
 Norte  , Amazonas  , Caapiranga  ,1300839,16,24
 Norte  , Amazonas  , Canutama  ,1300904,17,8
 Norte  , Amazonas  , Carauari  ,1301001,60,20
 Norte  , Amazonas  , Careiro  ,1301100,44,73
 Norte  , Amazonas  , Careiro da Várzea  ,1301159,71,94
 Norte  , Amazonas  , Coari  ,1301209,147,85
 Norte  , Amazonas  , Codajás  ,1301308,43,37
 Norte  , Amazonas  , Eirunepé  ,1301407,73, -   
 Norte  , Amazonas  , Envira  ,1301506,22, -   
 Norte  , Amazonas  , Fonte Boa  ,1301605,48,18
 Norte  , Amazonas  , Guajará  ,1301654,26,9
 Norte  , Amazonas  , Humaitá  ,1301704,81,56
 Norte  , Amazonas  , Ipixuna  ,1301803,40,8
 Norte  , Amazonas  , Iranduba  ,1301852,43,145
 Norte  , Amazonas  , Itacoatiara  ,1301902,128,139
 Norte  , Amazonas  , Itamarati  ,1301951,19, -   
 Norte  , Amazonas  , Itapiranga  ,1302009,19,8
 Norte  , Amazonas  , Japurá  ,1302108,25,14
 Norte  , Amazonas  , Juruá  ,1302207,20,28
 Norte  , Amazonas  , Jutaí  ,1302306,40,57
 Norte  , Amazonas  , Lábrea  ,1302405,100,28
 Norte  , Amazonas  , Manacapuru  ,1302504,159,88
 Norte  , Amazonas  , Manaquiri  ,1302553,22,75
 Norte  , Amazonas  , Manaus  ,1302603,3.593,62
 Norte  , Amazonas  , Manicoré  ,1302702,63,102
 Norte  , Amazonas  , Maraã  ,1302801,23,35
 Norte  , Amazonas  , Maués  ,1302900,108,83
 Norte  , Amazonas  , Nhamundá  ,1303007,32,48
 Norte  , Amazonas  , Nova Olinda do Norte  ,1303106,55,42
 Norte  , Amazonas  , Novo Airão  ,1303205,50,27
 Norte  , Amazonas  , Novo Aripuanã  ,1303304,45,20
 Norte  , Amazonas  , Parintins  ,1303403,249,145
 Norte  , Amazonas  , Pauini  ,1303502,27,8
 Norte  , Amazonas  , Presidente Figueiredo  ,1303536,94,16
 Norte  , Amazonas  , Rio Preto da Eva  ,1303569,33,10
 Norte  , Amazonas  , Santa Isabel do Rio Negro  ,1303601,36,46
 Norte  , Amazonas  , Santo Antônio do Içá  ,1303700,34,38
 Norte  , Amazonas  , São Gabriel da Cachoeira  ,1303809,86,194
 Norte  , Amazonas  , São Paulo de Olivença  ,1303908,53,84
 Norte  , Amazonas  , São Sebastião do Uatumã  ,1303957,18,15
 Norte  , Amazonas  , Silves  ,1304005,17,26
 Norte  , Amazonas  , Tabatinga  ,1304062,136,86
 Norte  , Amazonas  , Tapauá  ,1304104,29,3
 Norte  , Amazonas  , Tefé  ,1304203,168,62
 Norte  , Amazonas  , Tonantins  ,1304237,40,65
 Norte  , Amazonas  , Uarini  ,1304260,17,9
 Norte  , Amazonas  , Urucará  ,1304302,44,18
 Norte  , Amazonas  , Urucurituba  ,1304401,27,33
 Norte  , Roraima  , Alto Alegre  ,1400050,29,78
 Norte  , Roraima  , Amajari  ,1400027,49,56
 Norte  , Roraima  , Boa Vista  ,1400100,832,124
 Norte  , Roraima  , Bonfim  ,1400159,24,83
 Norte  , Roraima  , Cantá  ,1400175,11,107
 Norte  , Roraima  , Caracaraí  ,1400209,33,74
 Norte  , Roraima  , Caroebe  ,1400233,15,26
 Norte  , Roraima  , Iracema  ,1400282,21,16
 Norte  , Roraima  , Mucajaí  ,1400308,36,39
 Norte  , Roraima  , Normandia  ,1400407,15,125
 Norte  , Roraima  , Pacaraima  ,1400456,20,110
 Norte  , Roraima  , Rorainópolis  ,1400472,45,68
 Norte  , Roraima  , São João da Baliza  ,1400506,21,7
 Norte  , Roraima  , São Luiz  ,1400605,11,9
 Norte  , Roraima  , Uiramutã  ,1400704,15,111
 Norte  , Pará  , Abaetetuba  ,1500107,358,207
 Norte  , Pará  , Abel Figueiredo  ,1500131,10, -   
 Norte  , Pará  , Acará  ,1500206,70, -   
 Norte  , Pará  , Afuá  ,1500305,27, -   
 Norte  , Pará  , Água Azul do Norte  ,1500347,19,10
 Norte  , Pará  , Alenquer  ,1500404,104, -   
 Norte  , Pará  , Almeirim  ,1500503,50, -   
 Norte  , Pará  , Altamira  ,1500602,171, -   
 Norte  , Pará  , Anajás  ,1500701,37, -   
 Norte  , Pará  , Ananindeua  ,1500800,925, -   
 Norte  , Pará  , Anapu  ,1500859,23, -   
 Norte  , Pará  , Augusto Corrêa  ,1500909,33,49
 Norte  , Pará  , Aurora do Pará  ,1500958,27,26
 Norte  , Pará  , Aveiro  ,1501006,27, -   
 Norte  , Pará  , Bagre  ,1501105,18, -   
 Norte  , Pará  , Baião  ,1501204,26,33
 Norte  , Pará  , Bannach  ,1501253,13, -   
 Norte  , Pará  , Barcarena  ,1501303,133,59
 Norte  , Pará  , Belém  ,1501402,2.646, -   
 Norte  , Pará  , Belterra  ,1501451,31, -   
 Norte  , Pará  , Benevides  ,1501501,122, -   
 Norte  , Pará  , Bom Jesus do Tocantins  ,1501576,16,93
 Norte  , Pará  , Bonito  ,1501600,39, -   
 Norte  , Pará  , Bragança  ,1501709,278,100
 Norte  , Pará  , Brasil Novo  ,1501725,39, -   
 Norte  , Pará  , Brejo Grande do Araguaia  ,1501758,16, -   
 Norte  , Pará  , Breu Branco  ,1501782,47,25
 Norte  , Pará  , Breves  ,1501808,134, -   
 Norte  , Pará  , Bujaru  ,1501907,23,37
 Norte  , Pará  , Cachoeira do Arari  ,1502004,16,33
 Norte  , Pará  , Cachoeira do Piriá  ,1501956,24,21
 Norte  , Pará  , Cametá  ,1502103,123,109
 Norte  , Pará  , Canaã dos Carajás  ,1502152,63, -   
 Norte  , Pará  , Capanema  ,1502202,137,29
 Norte  , Pará  , Capitão Poço  ,1502301,91,82
 Norte  , Pará  , Castanhal  ,1502400,432,15
 Norte  , Pará  , Chaves  ,1502509,27, -   
 Norte  , Pará  , Colares  ,1502608,21,32
 Norte  , Pará  , Conceição do Araguaia  ,1502707,134, -   
 Norte  , Pará  , Concórdia do Pará  ,1502756,51, -   
 Norte  , Pará  , Cumaru do Norte  ,1502764,10,15
 Norte  , Pará  , Curionópolis  ,1502772,25, -   
 Norte  , Pará  , Curralinho  ,1502806,61, -   
 Norte  , Pará  , Curuá  ,1502855,28, -   
 Norte  , Pará  , Curuçá  ,1502905,48,42
 Norte  , Pará  , Dom Eliseu  ,1502939,42,16
 Norte  , Pará  , Eldorado do Carajás  ,1502954,35, -   
 Norte  , Pará  , Faro  ,1503002,19, -   
 Norte  , Pará  , Floresta do Araguaia  ,1503044,16,15
 Norte  , Pará  , Garrafão do Norte  ,1503077,24,27
 Norte  , Pará  , Goianésia do Pará  ,1503093,35, -   
 Norte  , Pará  , Gurupá  ,1503101,25, -   
 Norte  , Pará  , Igarapé-Açu  ,1503200,88,29
 Norte  , Pará  , Igarapé-Miri  ,1503309,45,48
 Norte  , Pará  , Inhangapi  ,1503408,19,11
 Norte  , Pará  , Ipixuna do Pará  ,1503457,31,37
 Norte  , Pará  , Irituia  ,1503507,57,63
 Norte  , Pará  , Itaituba  ,1503606,143,50
 Norte  , Pará  , Itupiranga  ,1503705,38,30
 Norte  , Pará  , Jacareacanga  ,1503754,29, -   
 Norte  , Pará  , Jacundá  ,1503804,51, -   
 Norte  , Pará  , Juruti  ,1503903,57,21
 Norte  , Pará  , Limoeiro do Ajuru  ,1504000,49, -   
 Norte  , Pará  , Mãe do Rio  ,1504059,47, -   
 Norte  , Pará  , Magalhães Barata  ,1504109,25, -   
 Norte  , Pará  , Marabá  ,1504208,360,86
 Norte  , Pará  , Maracanã  ,1504307,55, -   
 Norte  , Pará  , Marapanim  ,1504406,22,29
 Norte  , Pará  , Marituba  ,1504422,178, -   
 Norte  , Pará  , Medicilândia  ,1504455,31, -   
 Norte  , Pará  , Melgaço  ,1504505,36, -   
 Norte  , Pará  , Mocajuba  ,1504604,49, -   
 Norte  , Pará  , Moju  ,1504703,116, -   
 Norte  , Pará  , Mojuí dos Campos  ,1504752,38, -   
 Norte  , Pará  , Monte Alegre  ,1504802,89,80
 Norte  , Pará  , Muaná  ,1504901,44, -   
 Norte  , Pará  , Nova Esperança do Piriá  ,1504950,31, -   
 Norte  , Pará  , Nova Ipixuna  ,1504976,21, -   
 Norte  , Pará  , Nova Timboteua  ,1505007,19,16
 Norte  , Pará  , Novo Progresso  ,1505031,20, -   
 Norte  , Pará  , Novo Repartimento  ,1505064,37,31
 Norte  , Pará  , Óbidos  ,1505106,103, -   
 Norte  , Pará  , Oeiras do Pará  ,1505205,33, -   
 Norte  , Pará  , Oriximiná  ,1505304,90, -   
 Norte  , Pará  , Ourém  ,1505403,26,18
 Norte  , Pará  , Ourilândia do Norte  ,1505437,25, -   
 Norte  , Pará  , Pacajá  ,1505486,16,27
 Norte  , Pará  , Palestina do Pará  ,1505494,20, -   
 Norte  , Pará  , Paragominas  ,1505502,176, -   
 Norte  , Pará  , Parauapebas  ,1505536,259,33
 Norte  , Pará  , Pau D'Arco  ,1505551,13, -   
 Norte  , Pará  , Peixe-Boi  ,1505601,13,9
 Norte  , Pará  , Piçarra  ,1505635,16, -   
 Norte  , Pará  , Placas  ,1505650,21, -   
 Norte  , Pará  , Ponta de Pedras  ,1505700,51, -   
 Norte  , Pará  , Portel  ,1505809,56, -   
 Norte  , Pará  , Porto de Moz  ,1505908,49, -   
 Norte  , Pará  , Prainha  ,1506005,33,24
 Norte  , Pará  , Primavera  ,1506104,26, -   
 Norte  , Pará  , Quatipuru  ,1506112,14,14
 Norte  , Pará  , Redenção  ,1506138,99, -   
 Norte  , Pará  , Rio Maria  ,1506161,21, -   
 Norte  , Pará  , Rondon do Pará  ,1506187,32, -   
 Norte  , Pará  , Rurópolis  ,1506195,22,9
 Norte  , Pará  , Salinópolis  ,1506203,76, -   
 Norte  , Pará  , Salvaterra  ,1506302,50, -   
 Norte  , Pará  , Santa Bárbara do Pará  ,1506351,30,10
 Norte  , Pará  , Santa Cruz do Arari  ,1506401,13,9
 Norte  , Pará  , Santa Izabel do Pará  ,1506500,83,20
 Norte  , Pará  , Santa Luzia do Pará  ,1506559,23, -   
 Norte  , Pará  , Santa Maria das Barreiras  ,1506583,40, -   
 Norte  , Pará  , Santa Maria do Pará  ,1506609,54,11
 Norte  , Pará  , Santana do Araguaia  ,1506708,26,4
 Norte  , Pará  , Santarém  ,1506807,569,217
 Norte  , Pará  , Santarém Novo  ,1506906,11, -   
 Norte  , Pará  , Santo Antônio do Tauá  ,1507003,42, -   
 Norte  , Pará  , São Caetano de Odivelas  ,1507102,25, -   
 Norte  , Pará  , São Domingos do Araguaia  ,1507151,26, -   
 Norte  , Pará  , São Domingos do Capim  ,1507201,35,22
 Norte  , Pará  , São Félix do Xingu  ,1507300,24,24
 Norte  , Pará  , São Francisco do Pará  ,1507409,26, -   
 Norte  , Pará  , São Geraldo do Araguaia  ,1507458,29,20
 Norte  , Pará  , São João da Ponta  ,1507466,9, -   
 Norte  , Pará  , São João de Pirabas  ,1507474,23, -   
 Norte  , Pará  , São João do Araguaia  ,1507508,22, -   
 Norte  , Pará  , São Miguel do Guamá  ,1507607,52, -   
 Norte  , Pará  , São Sebastião da Boa Vista  ,1507706,31, -   
 Norte  , Pará  , Sapucaia  ,1507755,11, -   
 Norte  , Pará  , Senador José Porfírio  ,1507805,31, -   
 Norte  , Pará  , Soure  ,1507904,51, -   
 Norte  , Pará  , Tailândia  ,1507953,99,15
 Norte  , Pará  , Terra Alta  ,1507961,24,22
 Norte  , Pará  , Terra Santa  ,1507979,20, -   
 Norte  , Pará  , Tomé-Açu  ,1508001,80, -   
 Norte  , Pará  , Tracuateua  ,1508035,26,19
 Norte  , Pará  , Trairão  ,1508050,11,8
 Norte  , Pará  , Tucumã  ,1508084,38, -   
 Norte  , Pará  , Tucuruí  ,1508100,218, -   
 Norte  , Pará  , Ulianópolis  ,1508126,39, -   
 Norte  , Pará  , Uruará  ,1508159,48, -   
 Norte  , Pará  , Vigia  ,1508209,78,51
 Norte  , Pará  , Viseu  ,1508308,32,44
 Norte  , Pará  , Vitória do Xingu  ,1508357,44, -   
 Norte  , Pará  , Xinguara  ,1508407,43,5
 Norte  , Amapá  , Amapá  ,1600105,18, -   
 Norte  , Amapá  , Calçoene  ,1600204,17,12
 Norte  , Amapá  , Cutias  ,1600212,14,10
 Norte  , Amapá  , Ferreira Gomes  ,1600238,23, -   
 Norte  , Amapá  , Itaubal  ,1600253,19,12
 Norte  , Amapá  , Laranjal do Jari  ,1600279,124,4
 Norte  , Amapá  , Macapá  ,1600303,949,158
 Norte  , Amapá  , Mazagão  ,1600402,31,45
 Norte  , Amapá  , Oiapoque  ,1600501,40,55
 Norte  , Amapá  , Pedra Branca do Amapari  ,1600154,26,16
 Norte  , Amapá  , Porto Grande  ,1600535,79,17
 Norte  , Amapá  , Pracuúba  ,1600550,7,5
 Norte  , Amapá  , Santana  ,1600600,294,66
 Norte  , Amapá  , Serra do Navio  ,1600055,14,21
 Norte  , Amapá  , Tartarugalzinho  ,1600709,16,22
 Norte  , Amapá  , Vitória do Jari  ,1600808,27,8
 Norte  , Tocantins  , Abreulândia  ,1700251,19, -   
 Norte  , Tocantins  , Aguiarnópolis  ,1700301,21, -   
 Norte  , Tocantins  , Aliança do Tocantins  ,1700350,9, -   
 Norte  , Tocantins  , Almas  ,1700400,31,9
 Norte  , Tocantins  , Alvorada  ,1700707,12, -   
 Norte  , Tocantins  , Ananás  ,1701002,17,6
 Norte  , Tocantins  , Angico  ,1701051,15, -   
 Norte  , Tocantins  , Aparecida do Rio Negro  ,1701101,14, -   
 Norte  , Tocantins  , Aragominas  ,1701309,38, -   
 Norte  , Tocantins  , Araguacema  ,1701903,16, -   
 Norte  , Tocantins  , Araguaçu  ,1702000,21, -   
 Norte  , Tocantins  , Araguaína  ,1702109,378, -   
 Norte  , Tocantins  , Araguanã  ,1702158,23, -   
 Norte  , Tocantins  , Araguatins  ,1702208,38,94
 Norte  , Tocantins  , Arapoema  ,1702307,13, -   
 Norte  , Tocantins  , Arraias  ,1702406,29,28
 Norte  , Tocantins  , Augustinópolis  ,1702554,50,10
 Norte  , Tocantins  , Aurora do Tocantins  ,1702703,13, -   
 Norte  , Tocantins  , Axixá do Tocantins  ,1702901,22, -   
 Norte  , Tocantins  , Babaçulândia  ,1703008,25, -   
 Norte  , Tocantins  , Bandeirantes do Tocantins  ,1703057,10, -   
 Norte  , Tocantins  , Barra do Ouro  ,1703073,15,11
 Norte  , Tocantins  , Barrolândia  ,1703107,20, -   
 Norte  , Tocantins  , Bernardo Sayão  ,1703206,13, -   
 Norte  , Tocantins  , Bom Jesus do Tocantins  ,1703305,14, -   
 Norte  , Tocantins  , Brasilândia do Tocantins  ,1703602,8, -   
 Norte  , Tocantins  , Brejinho de Nazaré  ,1703701,14, -   
 Norte  , Tocantins  , Buriti do Tocantins  ,1703800,23,13
 Norte  , Tocantins  , Cachoeirinha  ,1703826,11, -   
 Norte  , Tocantins  , Campos Lindos  ,1703842,29, -   
 Norte  , Tocantins  , Cariri do Tocantins  ,1703867,13, -   
 Norte  , Tocantins  , Carmolândia  ,1703883,9, -   
 Norte  , Tocantins  , Carrasco Bonito  ,1703891,11,7
 Norte  , Tocantins  , Caseara  ,1703909,9, -   
 Norte  , Tocantins  , Centenário  ,1704105,7, -   
