Região Geográfica,Unidade da Federação,Município,Código do Município,Urbana,Rural
 Centro-Oeste  , Distrito Federal  , Brasília  ,5300108,"2,316",72
 Centro-Oeste  , Goiás  , Vila Propício  ,5222302,5,5
 Centro-Oeste  , Goiás  , Vila Boa  ,5222203,11,0
 Centro-Oeste  , Goiás  , Vicentinópolis  ,5222054,11,0
 Centro-Oeste  , Goiás  , Vianópolis  ,5222005,20,0
 Centro-Oeste  , Goiás  , Varjão  ,5221908,7,0
 Centro-Oeste  , Goiás  , Valparaíso de Goiás  ,5221858,147,0
 Centro-Oeste  , Goiás  , Urutaí  ,5221809,6,16
 Centro-Oeste  , Goiás  , Uruana  ,5221700,19,0
 Centro-Oeste  , Goiás  , Uruaçu  ,5221601,61,0
 Centro-Oeste  , Goiás  , Uirapuru  ,5221577,4,3
 Centro-Oeste  , Goiás  , Turvelândia  ,5221551,9,0
 Centro-Oeste  , Goiás  , Turvânia  ,5221502,11,0
 Centro-Oeste  , Goiás  , Trombas  ,5221452,6,0
 Centro-Oeste  , Goiás  , Trindade  ,5221403,142,0
 Centro-Oeste  , Goiás  , Três Ranchos  ,5221304,6,0
 Centro-Oeste  , Goiás  , Terezópolis de Goiás  ,5221197,8,0
 Centro-Oeste  , Goiás  , Teresina de Goiás  ,5221080,7,0
 Centro-Oeste  , Goiás  , Taquaral de Goiás  ,5221007,7,0
 Centro-Oeste  , Goiás  , Sítio d'Abadia  ,5220702,5,0
 Centro-Oeste  , Goiás  , Simolândia  ,5220686,12,0
 Centro-Oeste  , Goiás  , Silvânia  ,5220603,15,0
 Centro-Oeste  , Goiás  , Serranópolis  ,5220504,11,0
 Centro-Oeste  , Goiás  , Senador Canedo  ,5220454,116,0
 Centro-Oeste  , Goiás  , São Simão  ,5220405,29,0
 Centro-Oeste  , Goiás  , São Patrício  ,5220280,4,0
 Centro-Oeste  , Goiás  , São Miguel do Passa Quatro  ,5220264,6,0
 Centro-Oeste  , Goiás  , São Miguel do Araguaia  ,5220207,29,0
 Centro-Oeste  , Goiás  , São Luíz do Norte  ,5220157,7,0
 Centro-Oeste  , Goiás  , São Luís de Montes Belos  ,5220108,34,0
 Centro-Oeste  , Goiás  , São João da Paraúna  ,5220058,3,0
 Centro-Oeste  , Goiás  , São João d'Aliança  ,5220009,23,0
 Centro-Oeste  , Goiás  , São Francisco de Goiás  ,5219902,9,0
 Centro-Oeste  , Goiás  , São Domingos  ,5219803,15,5
 Centro-Oeste  , Goiás  , Santo Antônio do Descoberto  ,5219753,65,0
 Centro-Oeste  , Goiás  , Santo Antônio de Goiás  ,5219738,8,0
 Centro-Oeste  , Goiás  , Santo Antônio da Barra  ,5219712,9,0
 Centro-Oeste  , Goiás  , Santa Terezinha de Goiás  ,5219704,19,0
