UF,Município,Código IBGE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AC,Acrelândia,1200013,3773651.0999999996,5089382.67,5259220.39,5682387.1,6687641.83,6535497.109999999,6880002.100000001,7481952.53,7602625.99,8385945.55,8485707.1,8667956.89,9197075.83,9162398.180000002,12173445.45,17163312.5,10458344.200000001
AC,Assis Brasil,1200054,1888119.92,2435724.91,2310083.25,2723655.65,3364890.08,3823522.34,3945825.52,4611002.39,4413934.58,5139664.03,4937016.73,5800664.74,6156020.2,6262285.54,8388981.67,9669922.56,6441684.2299999995
AC,Brasiléia,1200104,4649662.87,5880081.04,6196906.53,6250004.47,6564104.58,8270699.069999999,8003615.4,10017396.34,11042349.469999999,12903816.709999999,12360092.86,13089764.209999999,12368416.389999999,12854851.620000001,18675019.0,24704864.990000002,16796421.53
AC,Bujari,1200138,1897486.02,2681025.09,2709691.09,3033984.5,3561430.82,3808546.66,4046222.43,4816792.81,5070803.27,5450480.87,6093299.11,6162442.9,6838251.76,7273835.3,9545297.77,11733450.780000001,6818994.760000001
AC,Capixaba,1200179,2735347.21,3940395.59,3574857.9899999998,3828762.24,4512005.2299999995,5318983.86,5464772.350000001,6104366.35,6828040.78,7872186.36,8291574.649999999,8845974.459999999,8498777.29,8269874.43,12020663.16,18578988.94,12152677.67
AC,Cruzeiro do Sul,1200203,11698865.11,14240467.25,13515003.9,16969368.3,20845278.64,23705546.43,25788009.63,32457412.049999997,34609198.379999995,39870048.74,39470576.51,43950211.51,49673658.85,51479478.089999996,80633498.14999999,102761832.95,59956189.55
AC,Epitaciolândia,1200252,2953113.37,3514296.67,3551817.41,4766895.33,5738217.91,6067082.44,6191120.17,6587201.180000001,6750426.96,7871706.01,7723275.09,8141742.369999999,10057076.19,10402023.26,16234575.1,19080584.41,11736544.75
AC,Feijó,1200302,6100613.55,7715397.5200000005,7883434.63,11070378.2,12987270.92,14323781.799999999,13563286.16,14175391.860000001,14889774.799999999,16789495.66,17130323.86,17466244.74,18707733.11,17907654.32,26269950.7,35522363.94,21929351.64
AC,Jordão,1200328,4133791.0599999996,4870161.47,4985250.33,5628076.79,6916993.619999999,8092443.75,7989991.85,8562583.11,9137469.9,9747006.04,12018750.46,11094317.85,11169257.32,10988300.03,15799407.66,23026632.07,13623688.040000001
AC,Manoel Urbano,1200344,2405406.32,3517070.6399999997,3193529.41,3452694.44,4006437.09,4867860.86,5236822.33,5372086.01,5927153.87,6129090.67,6013211.81,6755080.74,8081113.17,7990784.73,11337744.45,19361737.8,12869905.709999999
AC,Marechal Thaumaturgo,1200351,8881030.59,11031676.32,10821714.639999999,13155753.96,15573256.47,16091747.959999999,16720074.82,18054124.330000002,18495474.16,23234997.240000002,22249729.58,23599267.369999997,24326384.01,23277603.22,34959825.9,37317426.66,24316293.540000003
AC,Mâncio Lima,1200336,3152046.5500000003,4553991.85,4933359.01,7261022.61,7382158.48,8458456.3,9492554.4,10562894.95,11947245.37,13603073.13,12924039.08,13396296.34,14715451.07,13773460.16,20599401.65,26186554.5,17036521.03
AC,Plácido de Castro,1200385,3908228.8,4941553.59,5364920.71,5383956.68,6435950.9,7013526.0,6869757.46,8203429.100000001,8405992.25,8535113.3,8335999.19,8406249.91,9497019.71,9293627.6,12126657.91,15767724.26,10862952.709999999
AC,Porto Acre,1200807,2668970.16,3050610.5700000003,2797920.1799999997,4228094.2,4724320.140000001,4956748.55,5289858.42,5854499.15,6110024.65,6575627.79,6827154.75,6632122.64,10604731.14,9101981.97,12332077.61,22990150.06,14030023.17
AC,Porto Walter,1200393,4149942.37,5013957.319999999,5205753.14,5558510.59,6177815.75,6633268.39,7362268.4799999995,8263140.949999999,10077590.67,10597348.59,10057159.29,11229332.98,13758699.219999999,14102247.21,20597252.28,31731947.68,18741283.46
AC,Rio Branco,1200401,21079917.77,30253655.41,33721037.74,37039193.96,45365167.93,49191361.09,52637517.41,64079624.18,69491766.56,78160735.04,82666937.78,93575248.92,102498925.95,105055457.14,139758024.67,155112219.03,101496167.27999999
AC,Rodrigues Alves,1200427,5316209.38,6624060.2299999995,7064427.82,7748638.79,8472045.94,8212627.1,8296991.88,13455701.770000001,15162858.829999998,16514852.34,14879787.93,14597773.5,16342008.249999998,16238477.0,26362677.099999998,38365436.83,24349674.75
AC,Santa Rosa do Purus,1200435,1927327.98,3349990.32,3078775.48,3932675.2800000003,5082738.34,5714949.76,6282921.38,6958473.100000001,7222279.290000001,7902436.569999999,7841983.65,8920207.47,9717901.02,10733776.4,16398985.26,18454239.27,10868006.200000001
AC,Sena Madureira,1200500,7629828.0200000005,10378747.13,10593149.44,11402331.75,13099761.98,16295808.01,16931048.27,17034217.8,19481989.98,20524570.47,19539854.759999998,20779397.88,22686593.94,22783545.44,33469805.400000002,36998203.62,27256771.0
AC,Senador Guiomard,1200450,4219507.97,6168631.85,5943118.430000001,6276169.03,7470115.08,7929896.29,8262056.010000001,9998569.85,9891290.77,10671770.88,9885345.87,10321384.42,10876086.16,10726955.07,15794608.209999999,18516112.669999998,10538460.379999999
AC,Tarauacá,1200609,10067944.86,11770473.47,12831115.02,13963767.63,17492590.95,17653328.150000002,19790885.31,22559746.669999998,25006173.77,27129645.619999997,26195163.180000003,29470255.82,30482667.540000003,29434354.57,42498229.45,59345980.97,38656870.58
AC,Xapuri,1200708,2319628.83,2721657.93,2755031.5500000003,2934272.11,3223503.84,3715520.6500000004,3435155.8,4164917.1799999997,3911580.05,4305487.54,5012612.34,5226434.0200000005,5596641.899999999,5958612.14,8673644.34,9972347.889999999,7145530.140000001
AL,Anadia,2700201,3835640.0100000002,4502944.850000001,5284309.7299999995,6179114.36,7890616.76,8206174.56,8360416.2299999995,9934767.14,10971217.27,11030490.68,9751231.2,11913606.11,12808047.76,11945522.01,14498545.53,20586226.04,12433918.84
AL,Arapiraca,2700300,32098740.65,39692067.57,46053707.85,50504906.949999996,66012671.4,70210650.49,78678090.97,88312902.08,98247864.67,107187239.75,103827154.32000001,117267191.58,121803835.74000001,120759567.89,160823191.85,206002144.26000002,124091143.67
AL,Atalaia,2700409,10035628.81,13492492.84,14610224.940000001,16580913.71,22594014.44,23111493.080000002,24608397.88,27896900.65,29555197.009999998,31151625.52,29351646.759999998,36133085.1,39873050.77,37799318.18,45455784.92,67393012.7,46418241.0
AL,Barra de Santo Antônio,2700508,3602577.8099999996,4572862.51,5597971.33,5818544.95,7899996.08,7455010.01,8376772.43,10061819.68,11553723.8,12566255.1,10663798.56,12798892.56,13630584.360000001,13229548.13,17948552.77,25020991.07,16556018.58
AL,Barra de São Miguel,2700607,1816718.7100000002,2464341.73,2911753.08,3078373.2600000002,4207985.56,4154812.4400000004,4259503.72,5402848.27,6249940.5,6542549.14,6092270.32,7326669.83,7521972.24,7183237.25,9464186.64,11384432.98,7746045.09
AL,Batalha,2700706,2727466.78,3917874.38,5116464.6,6086873.11,7642782.09,8337840.630000001,9566762.87,10757157.84,13308783.74,13148685.41,11728361.67,14917227.929999998,16523258.16,17640380.14,25208290.15,31706916.41,19136206.3
AL,Belo Monte,2700904,2223328.76,2675351.06,2939224.99,3713805.03,4811887.32,5075154.73,5451139.81,5241393.37,5764604.33,6418511.7,5868013.9,6414667.54,7030496.56,6467666.7,9686709.11,12848368.39,9847208.92
AL,Belém,2700805,1798741.91,1988039.87,2526901.6999999997,3160803.95,3704430.5799999996,3595654.34,3523694.7199999997,4000095.33,4807516.600000001,5702222.19,3472180.8299999996,5914694.59,6931927.04,6670489.0,8344442.55,12676845.92,8105427.53
AL,Boca da Mata,2701001,7018081.38,7865334.0200000005,9119336.3,10069142.96,13649290.639999999,13785522.27,14252532.64,15992307.68,16920938.69,17931809.93,16180496.84,17582736.97,18744795.68,18085016.64,21758548.04,47811311.21,34352059.46
AL,Branquinha,2701100,2716440.3400000003,3481693.66,2718304.07,4813117.08,6942987.100000001,7216775.66,7690856.6,8705978.57,9681714.02,10365135.91,9717878.37,10964348.52,11804855.32,11410823.73,14698566.68,21193680.77,15014024.53
AL,Cacimbinhas,2701209,2579567.56,3150634.92,3277946.29,3973061.41,5100396.01,5593256.22,6208609.93,7282235.5200000005,8003543.3,8653491.34,7940577.31,9434586.93,10923869.89,11471692.379999999,17000042.830000002,25760195.81,17967263.76
AL,Cajueiro,2701308,5101260.9,6634737.89,8144658.18,8981230.32,11946300.69,12249709.08,13386394.23,16816082.580000002,18494851.11,19968801.060000002,16434218.38,20538255.73,21968572.88,20011072.74,24265988.64,32314616.849999998,20482963.99
AL,Campestre,2701357,1570497.95,2045223.68,2516368.18,2591867.6100000003,3458028.61,4286464.7,4878071.65,5478427.2,5994789.87,5938738.96,4607329.71,6106216.7,6329768.45,6038451.29,8075173.89,9845547.040000001,6818008.09
AL,Campo Alegre,2701407,8729783.27,10865003.17,12301831.96,14323234.31,19264165.89,20143534.58,20351605.58,25002882.2,28688445.13,32342050.84,31061300.43,36767412.37,38386422.4,40127598.4,58187428.46,78258683.75,52489336.35
AL,Campo Grande,2701506,3791808.5300000003,4939419.34,4585721.26,5425781.07,7330055.17,7612502.94,8256545.38,9392209.58,9858610.73,9818022.59,8807956.93,10679854.0,11573317.7,11323533.32,9845228.94,12130002.61,17395319.51
AL,Canapi,2701605,5149788.93,6329499.78,7419231.95,8751723.84,11576903.57,11925115.36,12794785.799999999,15763723.69,16735389.26,16649492.16,15763135.44,20042367.240000002,21504938.43,21253863.34,29619373.77,55700862.47,31724841.209999997
AL,Capela,2701704,4406889.95,5664951.93,7007765.23,7795621.71,10511415.26,11261822.91,12537020.91,13578373.41,15954450.82,18009040.11,15111131.48,18352515.87,18526042.330000002,17760894.44,22420521.16,24986277.41,13246024.55
AL,Carneiros,2701803,2910553.25,3345775.88,3685000.75,4081054.24,5685339.06,5548156.01,6085363.58,7092944.73,7643116.78,8031705.5,7800428.62,9191511.52,10520358.38,10001067.26,14036791.81,19527578.669999998,11120050.76
AL,Chã Preta,2701902,1880395.13,2359924.81,2601360.1,3060628.17,4007899.6799999997,4343534.62,4287284.8,4670568.850000001,5041693.97,5623593.89,5391898.16,6463826.53,6727911.95,6284361.82,7538597.79,9604636.21,5765312.02
