Ano,Código_IBGE,Aprovação_Rural,Aprovação_Urbana,Reprovação_Rural,Reprovação_Urbana,Abandono_Rural,Abandono_Urbana,Matrículas_Rural,Matrículas_Urbana,Docentes_Rural,Docentes_Urbana,Estabelecimentos_Rural,Estabelecimentos_Urbana,Turmas_Rural,Turmas_Urbana
2008,1100064,77.7,85,22,11.4,0.3,3.6,328,781, 30 , 40 ,1,2,11,24
2008,1100114,72.2,71.3,12.8,15.4,15,13.3,506,1884, 32 , 107 ,3,4,16,68
2008,1100122,93.3,70,2.1,16.4,4.6,13.6,245,4087, 19 , 219 ,2,11,10,145
2008,1100148,85.8,64.5,0.9,9.9,13.3,25.6,237,789, 13 , 26 ,8,1,9,23
2008,1100205,72.1,70.8,7.2,19.8,20.7,9.4,598,9974, 45 , 539 ,4,29,24,336
2008,1100254,66.7,78,14.4,13.1,18.9,8.9,155,711, 13 , 37 ,2,3,6,23
2008,1100338,63,78.9,10.4,6.3,26.6,14.8,204,390, 12 , 29 ,1,2,7,13
2008,1101476,79.5,89.9,6.4,0,14.1,10.1,80,114, 8 , 9 ,1,1,4,4
2008,1101492,82.4,77.7,11.3,6.9,6.3,15.4,247,373, 15 , 17 ,3,1,9,11
2008,1200013,86.3,72.7,1.3,6.5,12.4,20.8,91,456, 9 , 15 ,1,1,4,14
2008,1200138,75.3,71.3,0,13.3,24.7,15.4,73,186, 6 , 14 ,6,1,6,7
2008,1200179,72,77,0,4.4,28,18.6,25,203, 1 , 10 ,1,1,1,5
2008,1200203,89.5,77.5,4,8.7,6.5,13.8,474,3361, 30 , 129 ,8,4,20,100
2008,1200336,96.4,78.4,0,4.2,3.6,17.4,56,588, 5 , 24 ,1,1,2,19
2008,1200385,85.7,78.7,3.3,1.3,11,20,237,476, 22 , 13 ,5,1,14,14
2008,1200401,86.7,72.1,0.2,11.2,13.1,16.7,512,16018, 44 , 652 ,14,20,27,461
2008,1200427,80.2,91,3.4,3.6,16.4,5.4,181,335, 10 , 18 ,6,1,8,12
2008,1200450,78.5,74.1,1.1,1.8,20.4,24.1,100,554, 23 , 29 ,3,1,9,18
2008,1200708,84.2,81,1.8,5.1,14,13.9,56,341, 4 , 18 ,4,1,4,10
2008,1300086,97.4,95.4,0,1.2,2.6,3.4,39,473, 5 , 25 ,1,1,3,23
2008,1300508,78.4,83.4,1.7,0.8,19.9,15.8,359,1101, 20 , 33 ,2,1,15,33
2008,1300607,67.3,84,13.8,1.4,18.9,14.6,358,1369, 17 , 44 ,1,1,12,35
2008,1300631,69.2,79.1,0,3.5,30.8,17.4,26,464, 6 , 18 ,2,1,2,17
2008,1300805,88.7,84.4,3.2,1.4,8.1,14.2,125,830, 10 , 49 ,1,3,5,29
2008,1301100,90.6,79.4,1.3,1.6,8.1,19,255,848, 21 , 56 ,2,2,7,39
2008,1301159,92.4,81.5,0.3,1.4,7.3,17.1,375,660, 31 , 42 ,4,1,12,33
2008,1301308,89.5,77.6,0,5.2,10.5,17.2,38,610, 6 , 29 ,2,2,2,19
2008,1301852,79.1,81.4,5.3,4.7,15.6,13.9,1117,785, 55 , 32 ,1,1,38,24
2008,1301902,91.7,72.9,3.2,9.8,5.1,17.3,233,3756, 20 , 129 ,2,4,11,109
2008,1302108,0,87.9,0,1.5,100,10.6,7,132, 1 , 9 ,1,1,1,5
2008,1302306,100,78.8,0,4.4,0,16.8,66,650, 1 , 27 ,1,1,1,19
2008,1302504,100,87.8,0,3.5,0,8.7,21,4622, 5 , 152 ,1,4,1,134
2008,1302603,100,68.1,0,16.9,0,15,20,85712, 1 ," 2,998 ",1,119,1,"2,257"
2008,1302702,89,92.4,0,1.7,11,5.9,107,1411, 4 , 73 ,1,3,3,52
2008,1303007,80.8,82.5,5.8,6,13.4,11.5,52,803, 2 , 29 ,1,1,2,30
2008,1303403,100,88.5,0,3.6,0,7.9,160,5406, 8 , 231 ,1,9,7,179
2008,1303700,85.2,70.9,5.7,7.9,9.1,21.2,229,673, 13 , 25 ,1,1,9,21
2008,1303809,87.2,85,0.3,4.9,12.5,10.1,585,1142, 59 , 83 ,7,4,31,38
2008,1303957,82.1,79.2,0,3.8,17.9,17,69,354, 5 , 13 ,1,1,3,11
2008,1304062,82.9,73.1,1.5,5.7,15.6,21.2,550,1687, 25 , 72 ,1,4,14,47
2008,1304237,79.5,86.7,0,5.8,20.5,7.5,48,532, 5 , 26 ,1,2,3,16
2008,1304401,81.1,85.1,0.5,1.6,18.4,13.3,208,504, 14 , 20 ,2,1,7,15
2008,1400027,83.9,39.4,2.1,37.9,14,22.7,151,70, 20 , 6 ,3,1,10,3
2008,1400050,86,83.5,1.3,9.5,12.7,7,158,333, 18 , 26 ,4,1,12,20
2008,1400100,82.6,76.6,2.2,14.5,15.2,8.9,184,9816, 27 , 503 ,5,20,15,340
2008,1400159,84.7,80,3.1,11.7,12.2,8.3,292,127, 33 , 10 ,5,1,17,7
2008,1400175,85.6,83.7,4.3,8.1,10.1,8.2,394,88, 74 , 10 ,10,1,30,4
2008,1400209,73.7,84.5,16,15.3,10.3,0.2,308,510, 39 , 25 ,5,1,17,16
2008,1400233,70.7,63.4,13.6,18,15.7,18.6,153,167, 19 , 18 ,2,1,8,7
2008,1400282,90.9,79.5,0,11.6,9.1,8.9,37,148, 7 , 11 ,1,1,3,6
2008,1400308,84.9,80.3,7.9,10,7.2,9.7,171,382, 16 , 21 ,3,1,10,12
2008,1400407,86.2,89.9,6.7,8.1,7.1,2,230,100, 34 , 11 ,6,1,18,4
2008,1400456,79.7,89.4,8.1,0.6,12.2,10,297,168, 36 , 9 ,7,1,20,7
2008,1400472,86,71.1,3.1,14.4,10.9,14.5,232,583, 20 , 33 ,4,1,15,22
2008,1400605,87.8,95.9,4.1,1,8.1,3.1,50,201, 4 , 13 ,1,1,3,9
2008,1400704,86.9,48.1,3,22.2,10.1,29.7,200,81, 49 , 8 ,8,1,23,3
2008,1500107,57.8,82.4,19.3,3.7,22.9,13.9,166,6729, 8 , 357 ,1,11,6,205
2008,1500800,84.1,62.1,8.3,11.4,7.6,26.5,331,20465, 19 , 855 ,1,33,8,545
2008,1500909,60.5,70.4,9.1,7.6,30.4,22,618,942, 20 , 24 ,3,1,20,28
2008,1500958,63.9,61.1,9.7,7.4,26.4,31.5,74,576, 11 , 31 ,1,1,5,25
2008,1501402,67.7,57.5,12.2,17.2,20.1,25.3,196,64784, 9 ," 2,946 ",1,92,5,"1,820"
2008,1501576,75.7,77.8,0,0.5,24.3,21.7,38,435, 8 , 20 ,1,1,3,16
2008,1501709,65.6,73,4.5,14.1,29.9,12.9,362,3520, 39 , 168 ,4,5,12,92
2008,1501782,64.7,76.9,6.4,2.8,28.9,20.3,416,1055, 19 , 33 ,2,2,14,28
2008,1502004,64.5,71.8,3.3,3.6,32.2,24.6,279,439, 14 , 16 ,2,1,8,11
2008,1502103,72.4,67.7,3.9,10.1,23.7,22.2,138,5469, 6 , 133 ,1,4,6,177
2008,1502202,71.3,72.7,4.3,10.1,24.4,17.2,431,3529, 26 , 128 ,2,7,14,109
2008,1502301,79,77.4,1.6,6.6,19.4,16,64,1358, 7 , 71 ,1,4,2,39
2008,1502400,73.2,63.3,3.8,12.4,23,24.3,273,9588, 18 , 333 ,1,14,8,240
2008,1503077,77.4,73,6.7,10.4,15.9,16.6,195,587, 6 , 11 ,1,1,9,17
2008,1503200,73.1,62,4.3,13.7,22.6,24.3,332,1279, 25 , 55 ,3,2,12,46
2008,1503309,72.5,76.3,1.1,7.8,26.4,15.9,268,2336, 15 , 54 ,1,2,10,83
2008,1503507,73.5,72.8,7.6,5.3,18.9,21.9,342,607, 39 , 37 ,3,1,15,19
2008,1503606,64.9,58.1,0,12,35.1,29.9,82,4202, 7 , 104 ,1,6,2,126
2008,1503705,83.1,80.5,0.7,2.5,16.2,17,314,1099, 9 , 21 ,1,1,13,31
2008,1504406,77.2,73.9,3.1,5.3,19.7,20.8,356,1001, 22 , 32 ,1,1,16,30
2008,1505403,71.1,69.8,5,8.1,23.9,22.1,122,815, 12 , 27 ,1,2,4,21
2008,1506112,98.8,77.9,0,1.8,1.2,20.3,163,229, 9 , 12 ,1,1,4,7
2008,1506138,91.4,66.9,3.7,15.9,4.9,17.2,87,3607, 11 , 92 ,1,3,3,100
2008,1506351,84.5,62.8,3.9,17.8,11.6,19.4,104,618, 13 , 28 ,1,1,3,16
2008,1506401,82,78.8,0,2.5,18,18.7,56,168, 1 , 11 ,1,1,3,6
2008,1506500,71.6,60.5,3.7,10.2,24.7,29.3,387,2638, 14 , 68 ,1,3,14,72
2008,1506609,74.5,57.5,0,17.9,25.5,24.6,55,1044, 9 , 30 ,1,2,3,26
2008,1506807,89.4,70.7,2.6,7,8,22.3,830,15957, 32 , 670 ,2,25,28,469
2008,1507201,80,83.4,5.5,14.3,14.5,2.3,57,974, 9 , 29 ,1,1,3,29
2008,1507961,71.9,73.2,5.2,4.6,22.9,22.2,195,424, 18 , 21 ,1,1,8,11
2008,1508035,48,53.3,25.5,21.1,26.5,25.6,300,669, 11 , 21 ,1,1,10,21
2008,1508209,75.3,72.4,2.3,8.7,22.4,18.9,585,1778, 40 , 59 ,4,2,20,50
2008,1600055,59.7,61.3,6.7,10,33.6,28.7,161,87, 7 , 1 ,2,1,7,4
2008,1600253,66.7,60.8,0,14.2,33.3,25,12,213, 2 , 14 ,1,1,1,7
