Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,1100064,77.7,22,0.3,328, 30 ,1,11
2008,1100114,72.2,12.8,15,506, 32 ,3,16
2008,1100122,93.3,2.1,4.6,245, 19 ,2,10
2008,1100148,85.8,0.9,13.3,237, 13 ,8,9
2008,1100205,72.1,7.2,20.7,598, 45 ,4,24
2008,1100254,66.7,14.4,18.9,155, 13 ,2,6
2008,1100338,63,10.4,26.6,204, 12 ,1,7
2008,1101476,79.5,6.4,14.1,80, 8 ,1,4
2008,1101492,82.4,11.3,6.3,247, 15 ,3,9
2008,1200013,86.3,1.3,12.4,91, 9 ,1,4
2008,1200138,75.3,0,24.7,73, 6 ,6,6
2008,1200179,72,0,28,25, 1 ,1,1
2008,1200203,89.5,4,6.5,474, 30 ,8,20
2008,1200336,96.4,0,3.6,56, 5 ,1,2
2008,1200385,85.7,3.3,11,237, 22 ,5,14
2008,1200401,86.7,0.2,13.1,512, 44 ,14,27
2008,1200427,80.2,3.4,16.4,181, 10 ,6,8
2008,1200450,78.5,1.1,20.4,100, 23 ,3,9
2008,1200708,84.2,1.8,14,56, 4 ,4,4
2008,1200807,90.3,2.7,7,475, 28 ,5,16
2008,1300086,97.4,0,2.6,39, 5 ,1,3
2008,1300508,78.4,1.7,19.9,359, 20 ,2,15
2008,1300607,67.3,13.8,18.9,358, 17 ,1,12
2008,1300631,69.2,0,30.8,26, 6 ,2,2
2008,1300805,88.7,3.2,8.1,125, 10 ,1,5
2008,1301100,90.6,1.3,8.1,255, 21 ,2,7
2008,1301159,92.4,0.3,7.3,375, 31 ,4,12
2008,1301308,89.5,0,10.5,38, 6 ,2,2
2008,1301852,79.1,5.3,15.6,1117, 55 ,1,38
2008,1301902,91.7,3.2,5.1,233, 20 ,2,11
2008,1302108,0,0,100,7, 1 ,1,1
2008,1302306,100,0,0,66, 1 ,1,1
2008,1302504,100,0,0,21, 5 ,1,1
2008,1302603,100,0,0,20, 1 ,1,1
2008,1302702,89,0,11,107, 4 ,1,3
2008,1303007,80.8,5.8,13.4,52, 2 ,1,2
2008,1303403,100,0,0,160, 8 ,1,7
2008,1303700,85.2,5.7,9.1,229, 13 ,1,9
2008,1303809,87.2,0.3,12.5,585, 59 ,7,31
2008,1303957,82.1,0,17.9,69, 5 ,1,3
2008,1304062,82.9,1.5,15.6,550, 25 ,1,14
2008,1304237,79.5,0,20.5,48, 5 ,1,3
2008,1304401,81.1,0.5,18.4,208, 14 ,2,7
2008,1400027,83.9,2.1,14,151, 20 ,3,10
2008,1400050,86,1.3,12.7,158, 18 ,4,12
2008,1400100,82.6,2.2,15.2,184, 27 ,5,15
2008,1400159,84.7,3.1,12.2,292, 33 ,5,17
2008,1400175,85.6,4.3,10.1,394, 74 ,10,30
2008,1400209,73.7,16,10.3,308, 39 ,5,17
2008,1400233,70.7,13.6,15.7,153, 19 ,2,8
2008,1400282,90.9,0,9.1,37, 7 ,1,3
2008,1400308,84.9,7.9,7.2,171, 16 ,3,10
2008,1400407,86.2,6.7,7.1,230, 34 ,6,18
2008,1400456,79.7,8.1,12.2,297, 36 ,7,20
2008,1400472,86,3.1,10.9,232, 20 ,4,15
2008,1400605,87.8,4.1,8.1,50, 4 ,1,3
2008,1400704,86.9,3,10.1,200, 49 ,8,23
2008,1500107,57.8,19.3,22.9,166, 8 ,1,6
2008,1500800,84.1,8.3,7.6,331, 19 ,1,8
2008,1500909,60.5,9.1,30.4,618, 20 ,3,20
2008,1500958,63.9,9.7,26.4,74, 11 ,1,5
2008,1501402,67.7,12.2,20.1,196, 9 ,1,5
2008,1501576,75.7,0,24.3,38, 8 ,1,3
2008,1501709,65.6,4.5,29.9,362, 39 ,4,12
2008,1501782,64.7,6.4,28.9,416, 19 ,2,14
2008,1502004,64.5,3.3,32.2,279, 14 ,2,8
2008,1502103,72.4,3.9,23.7,138, 6 ,1,6
