Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,1100015,78.6,7.2,14.2,1088, 80 ,2,45
2008,1100023,70.3,12.7,17,3671, 118 ,5,118
2008,1100031,83.6,5.6,10.8,261, 22 ,2,12
2008,1100049,75.8,10.5,13.7,3833, 187 ,9,111
2008,1100056,83.5,6.3,10.2,709, 36 ,2,27
2008,1100064,85,11.4,3.6,781, 40 ,2,24
2008,1100072,79.2,4.4,16.4,315, 17 ,1,11
2008,1100080,71.2,7.9,20.9,557, 29 ,2,18
2008,1100098,73.1,10.8,16.1,1166, 53 ,2,38
2008,1100106,73.9,12,14.1,1694, 83 ,5,56
2008,1100114,71.3,15.4,13.3,1884, 107 ,4,68
2008,1100122,70,16.4,13.6,4087, 219 ,11,145
2008,1100130,77.3,15.6,7.1,927, 69 ,2,44
2008,1100148,64.5,9.9,25.6,789, 26 ,1,23
2008,1100155,77.5,12.1,10.4,1132, 79 ,6,39
2008,1100189,74,3.8,22.2,1521, 66 ,3,50
2008,1100205,70.8,19.8,9.4,9974, 539 ,29,336
2008,1100254,78,13.1,8.9,711, 37 ,3,23
2008,1100262,76.9,3.8,19.3,243, 12 ,1,9
2008,1100288,72,15.2,12.8,2552, 133 ,8,77
2008,1100296,74.5,16.8,8.7,355, 19 ,1,13
2008,1100304,67.9,15.9,16.2,2551, 132 ,6,91
2008,1100320,81.6,4.3,14.1,982, 32 ,1,25
2008,1100338,78.9,6.3,14.8,390, 29 ,2,13
2008,1100346,80.4,8,11.6,831, 35 ,2,25
2008,1100379,91.3,1.8,6.9,458, 26 ,1,21
2008,1100403,78,2.9,19.1,883, 27 ,1,23
2008,1100452,66.3,15.5,18.2,1036, 67 ,4,32
2008,1100502,71.8,7.1,21.1,475, 32 ,2,17
2008,1100601,87.1,2,10.9,300, 19 ,1,12
2008,1100700,72,7.1,20.9,190, 15 ,1,5
2008,1100809,55.8,25.8,18.4,369, 32 ,2,13
2008,1100908,84.3,1.7,14,269, 13 ,1,10
2008,1100924,73.3,10.6,16.1,364, 29 ,1,18
2008,1100940,87.7,3.2,9.1,375, 22 ,1,10
2008,1101005,78.4,2.8,18.8,331, 22 ,2,9
2008,1101104,57.2,23.5,19.3,249, 16 ,1,8
2008,1101203,67.8,12,20.2,246, 16 ,1,9
2008,1101302,71.7,14.4,13.9,528, 19 ,1,15
2008,1101401,80.1,7.3,12.6,662, 31 ,1,23
2008,1101435,68.8,11.5,19.7,353, 13 ,1,10
2008,1101450,77,3.6,19.4,206, 10 ,1,8
2008,1101468,87.5,2.3,10.2,92, 7 ,1,4
2008,1101476,89.9,0,10.1,114, 9 ,1,4
2008,1101484,88.8,2.5,8.7,343, 22 ,2,12
2008,1101492,77.7,6.9,15.4,373, 17 ,1,11
2008,1101500,76.2,15.5,8.3,433, 17 ,1,13
2008,1101559,78,6.3,15.7,267, 12 ,1,10
2008,1101609,80.3,0.7,19,311, 20 ,1,13
2008,1101708,75.7,7.1,17.2,537, 20 ,1,16
2008,1101757,79.9,3,17.1,270, 16 ,1,8
2008,1101807,80.5,4.3,15.2,314, 15 ,1,10
2008,1200013,72.7,6.5,20.8,456, 15 ,1,14
2008,1200054,76.2,6.5,17.3,261, 13 ,1,9
2008,1200104,85.1,1.8,13.1,972, 44 ,1,33
2008,1200138,71.3,13.3,15.4,186, 14 ,1,7
2008,1200179,77,4.4,18.6,203, 10 ,1,5
2008,1200203,77.5,8.7,13.8,3361, 129 ,4,100
2008,1200252,81.2,5.4,13.4,493, 24 ,1,16
2008,1200302,87.2,1,11.8,869, 31 ,1,27
2008,1200328,88.8,10.5,0.7,154, 8 ,1,5
2008,1200336,78.4,4.2,17.4,588, 24 ,1,19
2008,1200344,83.5,3.7,12.8,189, 9 ,1,7
2008,1200351,70.9,2.2,26.9,412, 16 ,1,14
2008,1200385,78.7,1.3,20,476, 13 ,1,14
2008,1200393,88.1,2.4,9.5,348, 12 ,1,12
2008,1200401,72.1,11.2,16.7,16018, 652 ,20,461
2008,1200427,91,3.6,5.4,335, 18 ,1,12
2008,1200435,67.6,6.5,25.9,108, 6 ,1,3
2008,1200450,74.1,1.8,24.1,554, 29 ,1,18
2008,1200500,83.3,5.7,11,1122, 43 ,1,35
2008,1200609,87.7,1.9,10.4,1197, 41 ,1,39
2008,1200708,81,5.1,13.9,341, 18 ,1,10
2008,1300029,65,5.8,29.2,620, 23 ,1,18
2008,1300060,86.2,3.9,9.9,287, 16 ,1,10
2008,1300086,95.4,1.2,3.4,473, 25 ,1,23
2008,1300102,69.3,5,25.7,576, 38 ,2,23
2008,1300144,69.1,1.4,29.5,685, 27 ,1,22
2008,1300201,77.4,6.9,15.7,313, 18 ,1,11
2008,1300300,85.6,3,11.4,1099, 61 ,1,44
2008,1300409,80.6,3,16.4,454, 31 ,2,16
2008,1300508,83.4,0.8,15.8,1101, 33 ,1,33
2008,1300607,84,1.4,14.6,1369, 44 ,1,35
2008,1300631,79.1,3.5,17.4,464, 18 ,1,17
2008,1300680,77.3,2.9,19.8,772, 31 ,2,27
2008,1300706,82.5,1.8,15.7,1227, 60 ,3,40
2008,1300805,84.4,1.4,14.2,830, 49 ,3,29
2008,1300839,83.3,0.3,16.4,311, 19 ,1,16
2008,1300904,67.3,9.2,23.5,408, 17 ,1,12
2008,1301001,80.2,3.4,16.4,902, 33 ,1,31
2008,1301100,79.4,1.6,19,848, 56 ,2,39
2008,1301159,81.5,1.4,17.1,660, 42 ,1,33
2008,1301209,70.3,9.7,20,3221, 147 ,6,92
2008,1301308,77.6,5.2,17.2,610, 29 ,2,19
2008,1301407,90.5,3.5,6,1095, 43 ,2,34
2008,1301506,94.3,2.1,3.6,337, 18 ,1,10
2008,1301605,83.9,1.6,14.5,838, 42 ,2,29
2008,1301654,82.5,0.4,17.1,288, 27 ,1,9
2008,1301704,77.9,9.1,13,1629, 73 ,4,55
2008,1301803,89.9,3.7,6.4,409, 25 ,2,16
2008,1301852,81.4,4.7,13.9,785, 32 ,1,24
2008,1301902,72.9,9.8,17.3,3756, 129 ,4,109
2008,1301951,88.2,0,11.8,266, 14 ,1,9
2008,1302009,88,1.8,10.2,465, 19 ,1,18
2008,1302108,87.9,1.5,10.6,132, 9 ,1,5
2008,1302207,77.7,1.9,20.4,379, 15 ,1,12
2008,1302306,78.8,4.4,16.8,650, 27 ,1,19
2008,1302405,77.1,5.7,17.2,1451, 50 ,2,43
2008,1302504,87.8,3.5,8.7,4622, 152 ,4,134
2008,1302553,80.3,0.4,19.3,739, 31 ,1,28
2008,1302603,68.1,16.9,15,85712," 2,998 ",119,"2,257"
2008,1302702,92.4,1.7,5.9,1411, 73 ,3,52
2008,1302801,78.7,9,12.3,333, 19 ,1,14
2008,1302900,78.9,4.4,16.7,2163, 80 ,3,69
2008,1303007,82.5,6,11.5,803, 29 ,1,30
2008,1303106,86.6,2.3,11.1,906, 30 ,2,30
2008,1303205,74.9,3.9,21.2,472, 22 ,1,14
2008,1303304,86.9,4,9.1,686, 36 ,2,22
2008,1303403,88.5,3.6,7.9,5406, 231 ,9,179
2008,1303502,77.9,6.2,15.9,317, 15 ,1,11
2008,1303536,78.2,2.5,19.3,1188, 30 ,1,33
2008,1303569,65.5,4.9,29.6,888, 32 ,1,24
2008,1303601,74.7,0.4,24.9,461, 15 ,1,15
2008,1303700,70.9,7.9,21.2,673, 25 ,1,21
2008,1303809,85,4.9,10.1,1142, 83 ,4,38
2008,1303908,81.9,1.4,16.7,881, 40 ,2,30
2008,1303957,79.2,3.8,17,354, 13 ,1,11
2008,1304005,84.9,1.9,13.2,536, 26 ,1,17
2008,1304062,73.1,5.7,21.2,1687, 72 ,4,47
2008,1304104,92.3,2.1,5.6,549, 24 ,1,17
2008,1304203,79.1,5.5,15.4,2633, 105 ,4,79
2008,1304237,86.7,5.8,7.5,532, 26 ,2,16
2008,1304260,77.1,5.7,17.2,249, 16 ,1,7
2008,1304302,86.7,1.8,11.5,997, 41 ,2,34
2008,1304401,85.1,1.6,13.3,504, 20 ,1,15
2008,1400027,39.4,37.9,22.7,70, 6 ,1,3
2008,1400050,83.5,9.5,7,333, 26 ,1,20
2008,1400100,76.6,14.5,8.9,9816, 503 ,20,340
2008,1400159,80,11.7,8.3,127, 10 ,1,7
2008,1400175,83.7,8.1,8.2,88, 10 ,1,4
2008,1400209,84.5,15.3,0.2,510, 25 ,1,16
2008,1400233,63.4,18,18.6,167, 18 ,1,7
2008,1400282,79.5,11.6,8.9,148, 11 ,1,6
2008,1400308,80.3,10,9.7,382, 21 ,1,12
2008,1400407,89.9,8.1,2,100, 11 ,1,4
2008,1400456,89.4,0.6,10,168, 9 ,1,7
2008,1400472,71.1,14.4,14.5,583, 33 ,1,22
2008,1400506,87.8,3.9,8.3,263, 23 ,1,14
2008,1400605,95.9,1,3.1,201, 13 ,1,9
2008,1400704,48.1,22.2,29.7,81, 8 ,1,3
2008,1500107,82.4,3.7,13.9,6729, 357 ,11,205
2008,1500131,65.2,2.3,32.5,269, 11 ,1,9
2008,1500206,70,2.3,27.7,1433, 34 ,2,40
2008,1500305,73,0.3,26.7,932, 26 ,1,30
2008,1500347,67.4,4.5,28.1,527, 16 ,1,18
2008,1500404,73.1,5.3,21.6,1996, 54 ,3,60
2008,1500503,72.4,4.8,22.8,1787, 55 ,2,54
2008,1500602,72.5,6.6,20.9,4613, 135 ,6,151
2008,1500701,77.6,5,17.4,441, 9 ,1,11
2008,1500800,62.1,11.4,26.5,20465, 855 ,33,545
2008,1500859,78.5,3.4,18.1,451, 17 ,2,21
2008,1500909,70.4,7.6,22,942, 24 ,1,28
2008,1500958,61.1,7.4,31.5,576, 31 ,1,25
2008,1501006,66.4,4.4,29.2,444, 19 ,1,20
2008,1501105,70.7,11.7,17.6,299, 11 ,1,9
2008,1501204,84.5,0.6,14.9,903, 23 ,1,35
2008,1501253,100,0,0,75, 5 ,1,4
2008,1501303,61.9,12.4,25.7,5557, 147 ,7,154
2008,1501402,57.5,17.2,25.3,64784," 2,946 ",92,"1,820"
2008,1501451,86.6,2.7,10.7,392, 21 ,1,17
2008,1501501,55.6,15.7,28.7,3060, 84 ,4,70
2008,1501576,77.8,0.5,21.7,435, 20 ,1,16
2008,1501600,86.6,0.5,12.9,196, 20 ,1,9
2008,1501709,73,14.1,12.9,3520, 168 ,5,92
2008,1501725,81.7,2.6,15.7,702, 22 ,1,23
2008,1501758,78.4,2.9,18.7,314, 13 ,1,13
2008,1501782,76.9,2.8,20.3,1055, 33 ,2,28
2008,1501808,76.2,8.1,15.7,2799, 57 ,4,70
2008,1501907,65.4,11.5,23.1,1154, 53 ,1,41
