Município,Ano,UF,Código IBGE,Valor Consolidado
Abadia de Goiás,2007,GO,5200050,1261780.19
Abadia de Goiás,2008,GO,5200050,1755502.19
Abadia de Goiás,2009,GO,5200050,1880883.04
Abadia de Goiás,2010,GO,5200050,2324131.0999999996
Abadia de Goiás,2011,GO,5200050,2850424.86
Abadia de Goiás,2012,GO,5200050,3758558.9099999997
Abadia de Goiás,2013,GO,5200050,4356758.350000001
Abadia de Goiás,2014,GO,5200050,5104522.22
Abadia de Goiás,2015,GO,5200050,5715251.09
Abadia de Goiás,2016,GO,5200050,6519049.279999999
Abadia de Goiás,2017,GO,5200050,7382913.420000001
Abadia de Goiás,2018,GO,5200050,7983245.36
Abadia de Goiás,2019,GO,5200050,9456763.250000002
Abadia de Goiás,2020,GO,5200050,11342540.049999999
Abadia de Goiás,2021,GO,5200050,15049991.07
Abadia de Goiás,2022,GO,5200050,17311317.47
Abadia de Goiás,2023,GO,5200050,10522602.96
Abadia dos Dourados,2007,MG,3100104,740099.98
Abadia dos Dourados,2008,MG,3100104,882164.3799999999
Abadia dos Dourados,2009,MG,3100104,979393.24
Abadia dos Dourados,2010,MG,3100104,1100970.31
Abadia dos Dourados,2011,MG,3100104,1196298.96
Abadia dos Dourados,2012,MG,3100104,1279295.06
Abadia dos Dourados,2013,MG,3100104,1360948.04
Abadia dos Dourados,2014,MG,3100104,1599916.0
Abadia dos Dourados,2015,MG,3100104,1607693.0000000002
Abadia dos Dourados,2016,MG,3100104,1872685.4699999997
Abadia dos Dourados,2017,MG,3100104,1879877.28
Abadia dos Dourados,2018,MG,3100104,1367159.67
Abadia dos Dourados,2019,MG,3100104,1973482.75
Abadia dos Dourados,2020,MG,3100104,2263398.5900000003
Abadia dos Dourados,2021,MG,3100104,2852449.12
Abadia dos Dourados,2022,MG,3100104,2995730.2600000002
Abadia dos Dourados,2023,MG,3100104,1875787.4999999998
Abadiânia,2007,GO,5200100,1367442.59
Abadiânia,2008,GO,5200100,1840409.4899999998
Abadiânia,2009,GO,5200100,2177049.61
Abadiânia,2010,GO,5200100,2664112.62
Abadiânia,2011,GO,5200100,3134557.38
Abadiânia,2012,GO,5200100,3751395.1300000004
Abadiânia,2013,GO,5200100,4236154.680000001
Abadiânia,2014,GO,5200100,4213423.34
Abadiânia,2015,GO,5200100,4213546.12
Abadiânia,2016,GO,5200100,4598066.7299999995
Abadiânia,2017,GO,5200100,4470434.8
Abadiânia,2018,GO,5200100,4841748.27
Abadiânia,2019,GO,5200100,5154789.37
Abadiânia,2020,GO,5200100,5254025.32
Abadiânia,2021,GO,5200100,6531746.709999999
Abadiânia,2022,GO,5200100,8171177.109999999
Abadiânia,2023,GO,5200100,4758591.970000001
Abaetetuba,2007,PA,1500107,21179788.08
Abaetetuba,2008,PA,1500107,29523323.67
Abaetetuba,2009,PA,1500107,33604743.089999996
Abaetetuba,2010,PA,1500107,39172525.25
Abaetetuba,2011,PA,1500107,52425186.55
