Estado,Codigo UF,UF,Código_IBGE,Região,Ano,PIB
Acre,12,AC,1200013,Norte,2000,"3864,01"
Acre,12,AC,1200013,Norte,2001,"4309,39"
Acre,12,AC,1200013,Norte,2002,"4887,09"
Acre,12,AC,1200013,Norte,2003,"5502,38"
Acre,12,AC,1200013,Norte,2004,"6415,31"
Acre,12,AC,1200013,Norte,2005,"6693,55"
Acre,12,AC,1200013,Norte,2006,"7040,88"
Acre,12,AC,1200013,Norte,2007,"8188,96"
Acre,12,AC,1200013,Norte,2008,"9896,16"
Acre,12,AC,1200013,Norte,2009,"10686,87"
Acre,12,AC,1200013,Norte,2010,"11384,32753"
Acre,12,AC,1200013,Norte,2011,"11990,35587"
Acre,12,AC,1200013,Norte,2012,"13360,7166"
Acre,12,AC,1200013,Norte,2013,"14777,17569"
Acre,12,AC,1200013,Norte,2014,"17034,14833"
Acre,12,AC,1200013,Norte,2015,"16954,05276"
Acre,12,AC,1200013,Norte,2016,"16841,50719"
Acre,12,AC,1200013,Norte,2017,"17204,21132"
Acre,12,AC,1200013,Norte,2018,"17636,88011"
Acre,12,AC,1200013,Norte,2019,"17722,41372"
Acre,12,AC,1200013,Norte,2020,"18420,26"
Alagoas,27,AL,2700102,Nordeste,2000,"2752,32"
Alagoas,27,AL,2700102,Nordeste,2001,"2971,45"
Alagoas,27,AL,2700102,Nordeste,2002,"3398,2"
Alagoas,27,AL,2700102,Nordeste,2003,"3841,93"
Alagoas,27,AL,2700102,Nordeste,2004,"4373,05"
Alagoas,27,AL,2700102,Nordeste,2005,"4688,27"
Alagoas,27,AL,2700102,Nordeste,2006,"5162,19"
Alagoas,27,AL,2700102,Nordeste,2007,"5767,56"
Alagoas,27,AL,2700102,Nordeste,2008,"6227,5"
Alagoas,27,AL,2700102,Nordeste,2009,"6728,22"
Alagoas,27,AL,2700102,Nordeste,2010,"8693,917327"
Alagoas,27,AL,2700102,Nordeste,2011,"10071,09559"
Alagoas,27,AL,2700102,Nordeste,2012,"10946,36044"
Alagoas,27,AL,2700102,Nordeste,2013,"11294,53598"
Alagoas,27,AL,2700102,Nordeste,2014,"12335,43786"
Alagoas,27,AL,2700102,Nordeste,2015,"13878,52569"
Alagoas,27,AL,2700102,Nordeste,2016,"14727,38488"
Alagoas,27,AL,2700102,Nordeste,2017,"15655,7577"
Alagoas,27,AL,2700102,Nordeste,2018,"16375,56252"
Alagoas,27,AL,2700102,Nordeste,2019,"17667,79183"
Alagoas,27,AL,2700102,Nordeste,2020,"18857,69"
Amapá,16,AP,1600055,Norte,2000,"4941,04"
Amapá,16,AP,1600055,Norte,2001,"5618,06"
Amapá,16,AP,1600055,Norte,2002,"6372,59"
Amapá,16,AP,1600055,Norte,2003,"6421,04"
Amapá,16,AP,1600055,Norte,2004,"6953,76"
Amapá,16,AP,1600055,Norte,2005,"7335,06"
Amapá,16,AP,1600055,Norte,2006,"8542,82"
Amapá,16,AP,1600055,Norte,2007,"9459,06"
Amapá,16,AP,1600055,Norte,2008,"11032,67"
Amapá,16,AP,1600055,Norte,2009,"11816,64"
Amapá,16,AP,1600055,Norte,2010,"12319,32236"
Amapá,16,AP,1600055,Norte,2011,"13749,96974"
Amapá,16,AP,1600055,Norte,2012,"15933,06032"
Amapá,16,AP,1600055,Norte,2013,"17365,38188"
Amapá,16,AP,1600055,Norte,2014,"17845,34485"
Amapá,16,AP,1600055,Norte,2015,"18079,6569"
Amapá,16,AP,1600055,Norte,2016,"18333,41014"
Amapá,16,AP,1600055,Norte,2017,"19407,64869"
Amapá,16,AP,1600055,Norte,2018,"20247,53243"
Amapá,16,AP,1600055,Norte,2019,"20688,21064"
Amapá,16,AP,1600055,Norte,2020,"21431,53"
Amazonas,13,AM,1300029,Norte,2000,"5955,35"
Amazonas,13,AM,1300029,Norte,2001,"6223,8"
Amazonas,13,AM,1300029,Norte,2002,"7357,39"
Amazonas,13,AM,1300029,Norte,2003,"8240,36"
Amazonas,13,AM,1300029,Norte,2004,"9778,2"
Amazonas,13,AM,1300029,Norte,2005,"10318,33"
Amazonas,13,AM,1300029,Norte,2006,"11826,14"
Amazonas,13,AM,1300029,Norte,2007,"12399,59"
Amazonas,13,AM,1300029,Norte,2008,"14014,13"
