Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
25,Paraíba,PB,2512200,Prata,Nordeste,-7.2199,-35.8945
25,Paraíba,PB,2512309,Princesa Isabel,Nordeste,-7.736898,-37.992134
25,Paraíba,PB,2512408,Puxinanã,Nordeste,-7.147522,-35.961336
25,Paraíba,PB,2512507,Queimadas,Nordeste,-7.36404,-35.901664
25,Paraíba,PB,2512606,Quixaba,Nordeste,-7.031688,-37.147792
25,Paraíba,PB,2512705,Remígio,Nordeste,-6.968674,-35.793213
25,Paraíba,PB,2512721,Pedro Régis,Nordeste,-6.639906,-35.28652
25,Paraíba,PB,2512747,Riachão,Nordeste,-6.540839,-35.660895
25,Paraíba,PB,2512754,Riachão do Bacamarte,Nordeste,-7.253472,-35.669257
25,Paraíba,PB,2512762,Riachão do Poço,Nordeste,-7.147482,-35.264755
25,Paraíba,PB,2512788,Riacho de Santo Antônio,Nordeste,-7.691407,-36.156314
25,Paraíba,PB,2512804,Riacho dos Cavalos,Nordeste,-6.435588,-37.656011
25,Paraíba,PB,2512903,Rio Tinto,Nordeste,-6.803828,-35.077569
25,Paraíba,PB,2513000,Salgadinho,Nordeste,-7.0231,-37.2648
25,Paraíba,PB,2513109,Salgado de São Félix,Nordeste,-7.356071,-35.436151
25,Paraíba,PB,2513158,Santa Cecília,Nordeste,-7.0565,-37.2759
25,Paraíba,PB,2513208,Santa Cruz,Nordeste,-7.2447,-35.91
25,Paraíba,PB,2513307,Santa Helena,Nordeste,-6.719891,-38.639921
25,Paraíba,PB,2513356,Santa Inês,Nordeste,-7.626975,-38.559242
25,Paraíba,PB,2513406,Santa Luzia,Nordeste,-6.867785,-36.918276
25,Paraíba,PB,2513505,Santana de Mangueira,Nordeste,-7.551652,-38.336746
25,Paraíba,PB,2513604,Santana dos Garrotes,Nordeste,-7.385686,-37.987565
25,Paraíba,PB,2513653,Joca Claudino,Nordeste,-6.483215,-38.478874
25,Paraíba,PB,2513703,Santa Rita,Nordeste,-7.128465,-34.984619
25,Paraíba,PB,2513802,Santa Teresinha,Nordeste,-7.084907,-37.443367
25,Paraíba,PB,2513851,Santo André,Nordeste,-7.219859,-36.631977
25,Paraíba,PB,2513901,São Bento,Nordeste,-6.485919,-37.446933
25,Paraíba,PB,2513927,São Bentinho,Nordeste,-6.890094,-37.72597
25,Paraíba,PB,2513943,São Domingos do Cariri,Nordeste,-7.635023,-36.431743
25,Paraíba,PB,2513968,São Domingos,Nordeste,-6.817432,-37.942643
25,Paraíba,PB,2513984,São Francisco,Nordeste,-6.619307,-38.095798
25,Paraíba,PB,2514008,São João do Cariri,Nordeste,-7.386747,-36.528896
25,Paraíba,PB,2514107,São João do Tigre,Nordeste,-8.078237,-36.849141
25,Paraíba,PB,2514206,São José da Lagoa Tapada,Nordeste,-6.942686,-38.163999
25,Paraíba,PB,2514305,São José de Caiana,Nordeste,-7.249591,-38.299942
25,Paraíba,PB,2514404,São José de Espinharas,Nordeste,-6.84652,-37.325023
25,Paraíba,PB,2514453,São José dos Ramos,Nordeste,-7.245887,-35.373119
25,Paraíba,PB,2514503,São José de Piranhas,Nordeste,-7.119851,-38.499135
25,Paraíba,PB,2514552,São José de Princesa,Nordeste,-7.741214,-38.098945
25,Paraíba,PB,2514602,São José do Bonfim,Nordeste,-7.161611,-37.30812
25,Paraíba,PB,2514651,São José do Brejo do Cruz,Nordeste,-6.212327,-37.354454
25,Paraíba,PB,2514701,São José do Sabugi,Nordeste,-6.775826,-36.797916
25,Paraíba,PB,2514800,São José dos Cordeiros,Nordeste,-7.391768,-36.80795
25,Paraíba,PB,2514909,São Mamede,Nordeste,-6.923862,-37.095436
25,Paraíba,PB,2515005,São Miguel de Taipu,Nordeste,-7.250409,-35.209411
25,Paraíba,PB,2515104,São Sebastião de Lagoa de Roça,Nordeste,-7.105167,-35.867966
25,Paraíba,PB,2515203,São Sebastião do Umbuzeiro,Nordeste,-8.152287,-37.009072
25,Paraíba,PB,2515302,Sapé,Nordeste,-7.093591,-35.227975
25,Paraíba,PB,2515401,São Vicente do Seridó,Nordeste,-6.933337,-36.400864
25,Paraíba,PB,2515500,Serra Branca,Nordeste,-7.481527,-36.663458
25,Paraíba,PB,2515609,Serra da Raiz,Nordeste,-6.687433,-35.442067
25,Paraíba,PB,2515708,Serra Grande,Nordeste,-7.21466,-38.371968
25,Paraíba,PB,2515807,Serra Redonda,Nordeste,-7.186711,-35.679795
25,Paraíba,PB,2515906,Serraria,Nordeste,-6.819313,-35.638747
25,Paraíba,PB,2515930,Sertãozinho,Nordeste,-6.752366,-35.440732
25,Paraíba,PB,2515971,Sobrado,Nordeste,-7.144288,-35.23574
25,Paraíba,PB,2516003,Solânea,Nordeste,-6.754035,-35.662194
25,Paraíba,PB,2516102,Soledade,Nordeste,-7.058292,-36.366791
25,Paraíba,PB,2516151,Sossêgo,Nordeste,-6.767694,-36.245508
25,Paraíba,PB,2516201,Sousa,Nordeste,-6.766203,-38.231961
25,Paraíba,PB,2516300,Sumé,Nordeste,-7.671521,-36.878876
25,Paraíba,PB,2516409,Tacima,Nordeste,-6.489538,-35.636485
25,Paraíba,PB,2516508,Taperoá,Nordeste,-7.206294,-36.824499
25,Paraíba,PB,2516607,Tavares,Nordeste,-7.63632,-37.878709
25,Paraíba,PB,2516706,Teixeira,Nordeste,-7.221036,-37.252477
25,Paraíba,PB,2516755,Tenório,Nordeste,-6.940837,-36.627796
25,Paraíba,PB,2516805,Triunfo,Nordeste,-6.579042,-38.596987
25,Paraíba,PB,2516904,Uiraúna,Nordeste,-6.521424,-38.412065
25,Paraíba,PB,2517001,Umbuzeiro,Nordeste,-7.696494,-35.666623
25,Paraíba,PB,2517100,Várzea,Nordeste,-6.771058,-36.99121
25,Paraíba,PB,2517209,Vieirópolis,Nordeste,-6.543364,-38.277819
25,Paraíba,PB,2517407,Zabelê,Nordeste,-8.075514,-37.098513
26,Pernambuco,PE,2600054,Abreu e Lima,Nordeste,-7.900719,-34.898389
26,Pernambuco,PE,2600104,Afogados da Ingazeira,Nordeste,-7.748128,-37.634661
26,Pernambuco,PE,2600203,Afrânio,Nordeste,-8.519892,-41.00702
26,Pernambuco,PE,2600302,Agrestina,Nordeste,-8.455802,-35.944266
26,Pernambuco,PE,2600401,Água Preta,Nordeste,-8.707911,-35.519859
26,Pernambuco,PE,2600500,Águas Belas,Nordeste,-9.111316,-37.122522
26,Pernambuco,PE,2600609,Alagoinha,Nordeste,-8.465355500000001,-36.7753635
26,Pernambuco,PE,2600708,Aliança,Nordeste,-7.602642,-35.226351
26,Pernambuco,PE,2600807,Altinho,Nordeste,-8.490847,-36.062766
26,Pernambuco,PE,2600906,Amaraji,Nordeste,-8.373925,-35.453653
26,Pernambuco,PE,2601003,Angelim,Nordeste,-8.890204,-36.287299
26,Pernambuco,PE,2601052,Araçoiaba,Nordeste,-7.78569,-35.089888
26,Pernambuco,PE,2601102,Araripina,Nordeste,-7.576858,-40.503851
26,Pernambuco,PE,2601201,Arcoverde,Nordeste,-8.415192,-37.057748
26,Pernambuco,PE,2601300,Barra de Guabiraba,Nordeste,-8.418291,-35.663177
26,Pernambuco,PE,2601409,Barreiros,Nordeste,-8.815964,-35.183191
26,Pernambuco,PE,2601508,Belém de Maria,Nordeste,-8.62425,-35.838893
26,Pernambuco,PE,2601607,Belém do São Francisco,Nordeste,-8.751771,-38.962572
26,Pernambuco,PE,2601706,Belo Jardim,Nordeste,-8.333829,-36.417642
26,Pernambuco,PE,2601805,Betânia,Nordeste,-8.274278,-38.035177
26,Pernambuco,PE,2601904,Bezerros,Nordeste,-8.237213,-35.755826
26,Pernambuco,PE,2602001,Bodocó,Nordeste,-7.777592,-39.933797
26,Pernambuco,PE,2602100,Bom Conselho,Nordeste,-8.24,-34.98
26,Pernambuco,PE,2602209,Bom Jardim,Nordeste,-7.79616,-35.587103
26,Pernambuco,PE,2602308,Bonito,Nordeste,-8.472116,-35.731459
26,Pernambuco,PE,2602407,Brejão,Nordeste,-9.029052,-36.567723
26,Pernambuco,PE,2602506,Brejinho,Nordeste,-7.348215,-37.28538
26,Pernambuco,PE,2602605,Brejo da Madre de Deus,Nordeste,-8.140972,-36.371253
26,Pernambuco,PE,2602704,Buenos Aires,Nordeste,-7.721893,-35.326587
26,Pernambuco,PE,2602803,Buíque,Nordeste,-8.623973,-37.157296
26,Pernambuco,PE,2602902,Cabo de Santo Agostinho,Nordeste,-8.283894,-35.032098
