Ano,Região,Código UF,UF,Código_IBGE,Municipio,Magreza_total_%
2008,CENTRO-OESTE,53,DF,5300108,BRASILIA,5.3100000000000005
2008,CENTRO-OESTE,52,GO,5200050,ABADIA DE GOIAS,8.14
2008,CENTRO-OESTE,52,GO,5200100,ABADIANIA,4.02
2008,CENTRO-OESTE,52,GO,5200134,ACREUNA,0.97
2008,CENTRO-OESTE,52,GO,5200159,ADELANDIA,1.23
2008,CENTRO-OESTE,52,GO,5200175,AGUA FRIA DE GOIAS,4.23
2008,CENTRO-OESTE,52,GO,5200209,AGUA LIMPA,3.8099999999999996
2008,CENTRO-OESTE,52,GO,5200258,AGUAS LINDAS DE GOIAS,8.34
2008,CENTRO-OESTE,52,GO,5200308,ALEXANIA,5.739999999999999
2008,CENTRO-OESTE,52,GO,5200506,ALOANDIA,3.85
2008,CENTRO-OESTE,52,GO,5200555,ALTO HORIZONTE,3.85
2008,CENTRO-OESTE,52,GO,5200605,ALTO PARAISO DE GOIAS,3.5
2008,CENTRO-OESTE,52,GO,5200803,ALVORADA DO NORTE,7.87
2008,CENTRO-OESTE,52,GO,5200829,AMARALINA,0.0
2008,CENTRO-OESTE,52,GO,5200852,AMERICANO DO BRASIL,0.0
2008,CENTRO-OESTE,52,GO,5200902,AMORINOPOLIS,2.11
2008,CENTRO-OESTE,52,GO,5201108,ANAPOLIS,6.76
2008,CENTRO-OESTE,52,GO,5201207,ANHANGUERA,18.419999999999998
2008,CENTRO-OESTE,52,GO,5201306,ANICUNS,6.02
2008,CENTRO-OESTE,52,GO,5201405,APARECIDA DE GOIANIA,0.0
2008,CENTRO-OESTE,52,GO,5201454,APARECIDA DO RIO DOCE,1.64
2008,CENTRO-OESTE,52,GO,5201504,APORE,3.57
2008,CENTRO-OESTE,52,GO,5201603,ARACU,3.87
2008,CENTRO-OESTE,52,GO,5201702,ARAGARCAS,0.0
2008,CENTRO-OESTE,52,GO,5201801,ARAGOIANIA,1.89
2008,CENTRO-OESTE,52,GO,5202155,ARAGUAPAZ,7.69
2008,CENTRO-OESTE,52,GO,5202353,ARENOPOLIS,2.86
2008,CENTRO-OESTE,52,GO,5202502,ARUANA,14.29
2008,CENTRO-OESTE,52,GO,5202601,AURILANDIA,13.4
2008,CENTRO-OESTE,52,GO,5202809,AVELINOPOLIS,3.49
2008,CENTRO-OESTE,52,GO,5203104,BALIZA,0.0
2008,CENTRO-OESTE,52,GO,2903235,BARRO ALTO,3.0300000000000002
2008,CENTRO-OESTE,52,GO,5203302,BELA VISTA DE GOIAS,3.1
2008,CENTRO-OESTE,52,GO,5203401,BOM JARDIM DE GOIAS,4.2
2008,CENTRO-OESTE,52,GO,5203500,BOM JESUS DE GOIAS,32.31
2008,CENTRO-OESTE,52,GO,5203559,BONFINOPOLIS,5.07
2008,CENTRO-OESTE,52,GO,5203575,BONOPOLIS,8.57
2008,CENTRO-OESTE,52,GO,5203609,BRAZABRANTES,9.1
2008,CENTRO-OESTE,52,GO,5203807,BRITANIA,3.18
2008,CENTRO-OESTE,52,GO,5203906,BURITI ALEGRE,5.0600000000000005
2008,CENTRO-OESTE,52,GO,5203939,BURITI DE GOIAS,3.23
2008,CENTRO-OESTE,52,GO,5203962,BURITINOPOLIS,10.24
2008,CENTRO-OESTE,52,GO,5204003,CABECEIRAS,0.0
2008,CENTRO-OESTE,52,GO,5204102,CACHOEIRA ALTA,1.96
2008,CENTRO-OESTE,52,GO,5204201,CACHOEIRA DE GOIAS,2.22
2008,CENTRO-OESTE,52,GO,3109808,CACHOEIRA DOURADA,4.84
2008,CENTRO-OESTE,52,GO,5204300,CACU,2.4699999999999998
2008,CENTRO-OESTE,52,GO,5204409,CAIAPONIA,0.0
2008,CENTRO-OESTE,52,GO,5204508,CALDAS NOVAS,5.65
2008,CENTRO-OESTE,52,GO,5204557,CALDAZINHA,0.0
2008,CENTRO-OESTE,52,GO,5204607,CAMPESTRE DE GOIAS,3.36
2008,CENTRO-OESTE,52,GO,5204656,CAMPINACU,0.0
2008,CENTRO-OESTE,52,GO,5204706,CAMPINORTE,6.5
2008,CENTRO-OESTE,52,GO,5204805,CAMPO ALEGRE DE GOIAS,4.19
2008,CENTRO-OESTE,52,GO,5204854,CAMPO LIMPO DE GOIAS,3.88
2008,CENTRO-OESTE,52,GO,5204904,CAMPOS BELOS,3.34
2008,CENTRO-OESTE,52,GO,5204953,CAMPOS VERDES,0.0
2008,CENTRO-OESTE,52,GO,5205000,CARMO DO RIO VERDE,4.26
2008,CENTRO-OESTE,52,GO,5205059,CASTELANDIA,3.0
2008,CENTRO-OESTE,52,GO,5205109,CATALAO,0.0
2008,CENTRO-OESTE,52,GO,5205208,CATURAI,8.93
2008,CENTRO-OESTE,52,GO,5205307,CAVALCANTE,3.1799999999999997
2008,CENTRO-OESTE,52,GO,5205406,CERES,0.0
2008,CENTRO-OESTE,52,GO,5205455,CEZARINA,5.49
2008,CENTRO-OESTE,52,GO,5205471,CHAPADAO DO CEU,4.4
2008,CENTRO-OESTE,52,GO,5205497,CIDADE OCIDENTAL,9.64
2008,CENTRO-OESTE,52,GO,5205513,COCALZINHO DE GOIAS,4.09
2008,CENTRO-OESTE,52,GO,5205521,COLINAS DO SUL,1.67
2008,CENTRO-OESTE,52,GO,5205703,CORREGO DO OURO,2.8
2008,CENTRO-OESTE,52,GO,5205802,CORUMBA DE GOIAS,2.2
2008,CENTRO-OESTE,52,GO,5205901,CORUMBAIBA,2.71
2008,CENTRO-OESTE,52,GO,5206206,CRISTALINA,20.0
2008,CENTRO-OESTE,52,GO,5206305,CRISTIANOPOLIS,0.0
2008,CENTRO-OESTE,52,GO,5206404,CRIXAS,6.25
2008,CENTRO-OESTE,52,GO,5206503,CROMINIA,2.38
2008,CENTRO-OESTE,52,GO,5206602,CUMARI,0.0
2008,CENTRO-OESTE,52,GO,5206701,DAMIANOPOLIS,6.17
2008,CENTRO-OESTE,52,GO,5206800,DAMOLANDIA,5.41
2008,CENTRO-OESTE,52,GO,2103752,DAVINOPOLIS,0.0
2008,CENTRO-OESTE,52,GO,5207105,DIORAMA,0.0
2008,CENTRO-OESTE,52,GO,5208301,DIVINOPOLIS DE GOIAS,71.96000000000001
2008,CENTRO-OESTE,52,GO,5207253,DOVERLANDIA,0.0
2008,CENTRO-OESTE,52,GO,5207352,EDEALINA,4.83
2008,CENTRO-OESTE,52,GO,5207402,EDEIA,0.0
2008,CENTRO-OESTE,52,GO,3515301,ESTRELA DO NORTE,7.4
2008,CENTRO-OESTE,52,GO,5207535,FAINA,2.7
2008,CENTRO-OESTE,52,GO,5207600,FAZENDA NOVA,1.79
2008,CENTRO-OESTE,52,GO,5207808,FIRMINOPOLIS,3.61
2008,CENTRO-OESTE,52,GO,5207907,FLORES DE GOIAS,4.050000000000001
2008,CENTRO-OESTE,52,GO,5208004,FORMOSA,5.17
2008,CENTRO-OESTE,52,GO,3126208,FORMOSO,4.13
2008,CENTRO-OESTE,52,GO,5208152,GAMELEIRA DE GOIAS,0.0
2008,CENTRO-OESTE,52,GO,5208400,GOIANAPOLIS,0.0
2008,CENTRO-OESTE,52,GO,5208509,GOIANDIRA,6.59
2008,CENTRO-OESTE,52,GO,5208608,GOIANESIA,5.1
2008,CENTRO-OESTE,52,GO,5208707,GOIANIA,3.7300000000000004
2008,CENTRO-OESTE,52,GO,5208806,GOIANIRA,3.89
2008,CENTRO-OESTE,52,GO,5208905,GOIAS,2.57
2008,CENTRO-OESTE,52,GO,5209101,GOIATUBA,8.33
2008,CENTRO-OESTE,52,GO,5209150,GOUVELANDIA,1.14
2008,CENTRO-OESTE,52,GO,5209200,GUAPO,7.739999999999999
2008,CENTRO-OESTE,52,GO,5209291,GUARAITA,0.0
2008,CENTRO-OESTE,52,GO,5209408,GUARANI DE GOIAS,9.25
2008,CENTRO-OESTE,52,GO,5209457,GUARINOS,0.0
2008,CENTRO-OESTE,52,GO,5209606,HEITORAI,4.81
2008,CENTRO-OESTE,52,GO,2305209,HIDROLANDIA,2.54
2008,CENTRO-OESTE,52,GO,5209804,HIDROLINA,0.0
2008,CENTRO-OESTE,52,GO,5209903,IACIARA,3.1799999999999997
2008,CENTRO-OESTE,52,GO,5209937,INACIOLANDIA,3.76
2008,CENTRO-OESTE,52,GO,5209952,INDIARA,3.5999999999999996
2008,CENTRO-OESTE,52,GO,5210000,INHUMAS,5.16
2008,CENTRO-OESTE,52,GO,5210109,IPAMERI,2.68
2008,CENTRO-OESTE,52,GO,5210158,IPIRANGA DE GOIAS,5.2700000000000005
2008,CENTRO-OESTE,52,GO,4110607,IPORA,0.0
2008,CENTRO-OESTE,52,GO,5210307,ISRAELANDIA,4.25
2008,CENTRO-OESTE,52,GO,5210406,ITABERAI,0.0
2008,CENTRO-OESTE,52,GO,5210562,ITAGUARI,2.61
2008,CENTRO-OESTE,52,GO,5210604,ITAGUARU,5.78
2008,CENTRO-OESTE,52,GO,2404853,ITAJA,2.8
2008,CENTRO-OESTE,52,GO,5210901,ITAPACI,3.1100000000000003
2008,CENTRO-OESTE,52,GO,5211008,ITAPIRAPUA,6.62
2008,CENTRO-OESTE,52,GO,5211206,ITAPURANGA,1.78
2008,CENTRO-OESTE,52,GO,5211305,ITARUMA,4.21
2008,CENTRO-OESTE,52,GO,5211404,ITAUCU,5.38
2008,CENTRO-OESTE,52,GO,5211503,ITUMBIARA,2.67
2008,CENTRO-OESTE,52,GO,5211602,IVOLANDIA,1.05
2008,CENTRO-OESTE,52,GO,5211701,JANDAIA,6.390000000000001
2008,CENTRO-OESTE,52,GO,5211800,JARAGUA,6.0200000000000005
2008,CENTRO-OESTE,52,GO,5211909,JATAI,2.95
2008,CENTRO-OESTE,52,GO,5212006,JAUPACI,0.0
2008,CENTRO-OESTE,52,GO,5212055,JESUPOLIS,3.77
2008,CENTRO-OESTE,52,GO,5212105,JOVIANIA,0.0
2008,CENTRO-OESTE,52,GO,2918506,JUSSARA,4.22
2008,CENTRO-OESTE,52,GO,3137601,LAGOA SANTA,4.55
2008,CENTRO-OESTE,52,GO,5212303,LEOPOLDO DE BULHOES,3.9499999999999997
2008,CENTRO-OESTE,52,GO,5212501,LUZIANIA,6.07
2008,CENTRO-OESTE,52,GO,5212600,MAIRIPOTABA,10.64
2008,CENTRO-OESTE,52,GO,5212709,MAMBAI,3.29
2008,CENTRO-OESTE,52,GO,5212808,MARA ROSA,4.36
2008,CENTRO-OESTE,52,GO,5212907,MARZAGAO,11.76
2008,CENTRO-OESTE,52,GO,5212956,MATRINCHA,3.45
2008,CENTRO-OESTE,52,GO,5213004,MAURILANDIA,4.74
2008,CENTRO-OESTE,52,GO,5213053,MIMOSO DE GOIAS,1.96
2008,CENTRO-OESTE,52,GO,5213087,MINACU,5.7
2008,CENTRO-OESTE,52,GO,5213103,MINEIROS,11.899999999999999
2008,CENTRO-OESTE,52,GO,5213400,MOIPORA,2.7
2008,CENTRO-OESTE,52,GO,5213509,MONTE ALEGRE DE GOIAS,2.24
2008,CENTRO-OESTE,52,GO,5213707,MONTES CLAROS DE GOIAS,0.0
2008,CENTRO-OESTE,52,GO,5213756,MONTIVIDIU,1.87
2008,CENTRO-OESTE,52,GO,5213772,MONTIVIDIU DO NORTE,8.11
2008,CENTRO-OESTE,52,GO,2308906,MORRINHOS,9.969999999999999
2008,CENTRO-OESTE,52,GO,5213855,MORRO AGUDO DE GOIAS,2.22
2008,CENTRO-OESTE,52,GO,5213905,MOSSAMEDES,0.0
2008,CENTRO-OESTE,52,GO,5214002,MOZARLANDIA,5.18
2008,CENTRO-OESTE,52,GO,2922102,MUNDO NOVO,1.56
2008,CENTRO-OESTE,52,GO,5214101,MUTUNOPOLIS,1.54
2008,CENTRO-OESTE,52,GO,5214408,NAZARIO,0.0
2008,CENTRO-OESTE,52,GO,5214507,NEROPOLIS,7.539999999999999
2008,CENTRO-OESTE,52,GO,5214606,NIQUELANDIA,17.84
2008,CENTRO-OESTE,52,GO,5214705,NOVA AMERICA,1.49
2008,CENTRO-OESTE,52,GO,4116703,NOVA AURORA,4.35
2008,CENTRO-OESTE,52,GO,5214838,NOVA CRIXAS,8.33
2008,CENTRO-OESTE,52,GO,5214861,NOVA GLORIA,0.0
2008,CENTRO-OESTE,52,GO,5214879,NOVA IGUACU DE GOIAS,2.18
2008,CENTRO-OESTE,52,GO,5214903,NOVA ROMA,6.67
2008,CENTRO-OESTE,52,GO,4211603,NOVA VENEZA,3.55
2008,CENTRO-OESTE,52,GO,5215207,NOVO BRASIL,1.09
2008,CENTRO-OESTE,52,GO,5215231,NOVO GAMA,3.66
2008,CENTRO-OESTE,52,GO,5215256,NOVO PLANALTO,5.47
2008,CENTRO-OESTE,52,GO,5215306,ORIZONA,27.66
2008,CENTRO-OESTE,52,GO,5215405,OURO VERDE DE GOIAS,0.0
2008,CENTRO-OESTE,52,GO,5215504,OUVIDOR,0.0
2008,CENTRO-OESTE,52,GO,5215603,PADRE BERNARDO,3.53
2008,CENTRO-OESTE,52,GO,5215652,PALESTINA DE GOIAS,3.92
2008,CENTRO-OESTE,52,GO,5215702,PALMEIRAS DE GOIAS,2.9200000000000004
2008,CENTRO-OESTE,52,GO,5215801,PALMELO,1.56
2008,CENTRO-OESTE,52,GO,5215900,PALMINOPOLIS,1.85
2008,CENTRO-OESTE,52,GO,5216007,PANAMA,0.0
2008,CENTRO-OESTE,52,GO,5216304,PARANAIGUARA,0.0
2008,CENTRO-OESTE,52,GO,5216403,PARAUNA,5.0
2008,CENTRO-OESTE,52,GO,5216452,PEROLANDIA,9.52
2008,CENTRO-OESTE,52,GO,5216809,PETROLINA DE GOIAS,0.49
2008,CENTRO-OESTE,52,GO,5216908,PILAR DE GOIAS,4.88
2008,CENTRO-OESTE,52,GO,5217104,PIRACANJUBA,5.26
