Ano,Código_IBGE,Magreza_total_%
2008,5300108,5.3100000000000005
2008,5200050,8.14
2008,5200100,4.02
2008,5200134,0.97
2008,5200159,1.23
2008,5200175,4.23
2008,5200209,3.8099999999999996
2008,5200258,8.34
2008,5200308,5.739999999999999
2008,5200506,3.85
2008,5200555,3.85
2008,5200605,3.5
2008,5200803,7.87
2008,5200829,0.0
2008,5200852,0.0
2008,5200902,2.11
2008,5201108,6.76
2008,5201207,18.419999999999998
2008,5201306,6.02
2008,5201405,0.0
2008,5201454,1.64
2008,5201504,3.57
2008,5201603,3.87
2008,5201702,0.0
2008,5201801,1.89
2008,5202155,7.69
2008,5202353,2.86
2008,5202502,14.29
2008,5202601,13.4
2008,5202809,3.49
2008,5203104,0.0
2008,2903235,3.0300000000000002
2008,5203302,3.1
2008,5203401,4.2
2008,5203500,32.31
2008,5203559,5.07
2008,5203575,8.57
2008,5203609,9.1
2008,5203807,3.18
2008,5203906,5.0600000000000005
2008,5203939,3.23
2008,5203962,10.24
2008,5204003,0.0
2008,5204102,1.96
2008,5204201,2.22
2008,3109808,4.84
2008,5204300,2.4699999999999998
2008,5204409,0.0
2008,5204508,5.65
2008,5204557,0.0
2008,5204607,3.36
2008,5204656,0.0
2008,5204706,6.5
2008,5204805,4.19
2008,5204854,3.88
2008,5204904,3.34
2008,5204953,0.0
2008,5205000,4.26
2008,5205059,3.0
2008,5205109,0.0
2008,5205208,8.93
2008,5205307,3.1799999999999997
2008,5205406,0.0
2008,5205455,5.49
2008,5205471,4.4
2008,5205497,9.64
2008,5205513,4.09
2008,5205521,1.67
2008,5205703,2.8
2008,5205802,2.2
2008,5205901,2.71
2008,5206206,20.0
2008,5206305,0.0
2008,5206404,6.25
2008,5206503,2.38
2008,5206602,0.0
2008,5206701,6.17
2008,5206800,5.41
2008,2103752,0.0
2008,5207105,0.0
2008,5208301,71.96000000000001
2008,5207253,0.0
2008,5207352,4.83
2008,5207402,0.0
2008,3515301,7.4
2008,5207535,2.7
2008,5207600,1.79
2008,5207808,3.61
2008,5207907,4.050000000000001
2008,5208004,5.17
2008,3126208,4.13
2008,5208152,0.0
2008,5208400,0.0
2008,5208509,6.59
2008,5208608,5.1
2008,5208707,3.7300000000000004
2008,5208806,3.89
2008,5208905,2.57
2008,5209101,8.33
2008,5209150,1.14
2008,5209200,7.739999999999999
2008,5209291,0.0
2008,5209408,9.25
2008,5209457,0.0
2008,5209606,4.81
2008,2305209,2.54
2008,5209804,0.0
2008,5209903,3.1799999999999997
2008,5209937,3.76
2008,5209952,3.5999999999999996
2008,5210000,5.16
2008,5210109,2.68
2008,5210158,5.2700000000000005
2008,4110607,0.0
2008,5210307,4.25
2008,5210406,0.0
2008,5210562,2.61
2008,5210604,5.78
2008,2404853,2.8
2008,5210901,3.1100000000000003
2008,5211008,6.62
2008,5211206,1.78
2008,5211305,4.21
2008,5211404,5.38
2008,5211503,2.67
2008,5211602,1.05
2008,5211701,6.390000000000001
2008,5211800,6.0200000000000005
2008,5211909,2.95
