Código_IBGE,Ano,Populacao
3166600,2021,771
3166600,2020,776
3166600,2019,781
3166600,2018,786
3507209,2011,806
3166600,2012,807
3507209,2012,807
3166600,2011,811
3166600,2017,812
3166600,2016,815
3166600,2015,818
3166600,2014,822
3507209,2010,822
3166600,2013,825
3166600,2022,833
3507209,2008,834
3507209,2013,834
3507209,2014,835
3507209,2015,836
3507209,2018,836
3507209,2009,837
3507209,2019,837
3507209,2016,838
3507209,2020,838
3507209,2017,839
3507209,2021,839
3166600,2010,850
3166600,2008,889
3166600,2009,890
3507209,2022,907
5101209,2021,909
5201207,2022,924
5101209,2017,931
4306924,2021,932
5101209,2019,935
5101209,2020,946
5101209,2016,953
5101209,2018,956
5101209,2015,976
4306924,2020,982
5101209,2014,1000
5201207,2008,1007
5101209,2022,1010
5201207,2009,1018
5201207,2010,1024
5101209,2013,1024
5201207,2011,1030
4306924,2019,1034
5201207,2012,1039
1715507,2011,1044
1715507,2012,1049
5101209,2012,1058
3532868,2022,1062
5101209,2011,1077
3115607,2022,1081
5201207,2013,1082
4322350,2021,1084
1715507,2013,1085
1715507,2010,1086
4306924,2018,1088
1715507,2014,1091
5201207,2014,1093
5101209,2010,1096
1715507,2015,1098
5201207,2015,1104
1715507,2016,1104
1715507,2018,1106
1715507,2017,1110
3532868,2008,1111
1715507,2019,1112
1715507,2008,1114
5201207,2016,1115
5101209,2009,1115
4322350,2020,1118
1715507,2020,1118
3532868,2009,1122
1715507,2021,1124
5201207,2017,1126
3532868,2010,1129
1715507,2009,1129
4300661,2022,1135
3532868,2011,1136
5201207,2018,1137
5101209,2008,1138
3555901,2021,1142
3532868,2012,1146
5201207,2019,1149
3115607,2021,1150
3555901,2020,1153
4322350,2019,1154
3115607,2020,1157
5201207,2020,1160
3115607,2019,1164
1715507,2022,1164
3555901,2019,1165
4322350,2022,1170
5201207,2021,1171
3115607,2018,1171
3555901,2018,1177
4322350,2018,1192
3532868,2013,1195
3115607,2012,1199
3115607,2011,1204
3532868,2014,1206
3555901,2017,1207
3115607,2017,1209
4215695,2021,1211
3115607,2010,1212
2206308,2009,1212
3115607,2016,1213
3532868,2015,1217
3115607,2015,1218
3555901,2016,1218
3115607,2009,1221
3115607,2014,1222
4300661,2011,1224
3115607,2013,1227
3115607,2008,1228
2206308,2008,1228
2206308,2010,1228
2206308,2017,1228
3532868,2016,1228
3555901,2012,1228
3555901,2015,1229
2206308,2016,1231
4300661,2012,1232
2206308,2015,1235
4215695,2020,1235
2206308,2012,1236
2206308,2014,1239
2206308,2021,1239
3532868,2017,1239
3555901,2011,1240
3555901,2014,1240
2206308,2020,1242
2510659,2011,1243
2206308,2013,1244
2206308,2011,1245
2206308,2019,1246
2206308,2018,1250
