Código_IBGE,Ano,Populacao,Magreza_total_%,PIB,Poverty_%,Unemployed_%
3166600,2020,776,3.5,32066.73,17.06,12.475
3115607,2020,1157,7.14,32066.73,17.06,12.475
3127909,2020,1387,4.55,32066.73,17.06,12.475
3165800,2020,1461,2.7,32066.73,17.06,12.475
3164803,2020,1492,0.0,32066.73,17.06,12.475
3146602,2020,1523,6.0,32066.73,17.06,12.475
3123403,2020,1533,1.05,32066.73,17.06,12.475
3103108,2020,1587,2.7,32066.73,17.06,12.475
3147501,2020,1633,3.64,32066.73,17.06,12.475
3145406,2020,1720,0.0,32066.73,17.06,12.475
3160504,2020,1760,0.0,32066.73,17.06,12.475
3118502,2020,1784,2.48,32066.73,17.06,12.475
3149408,2020,1806,5.22,32066.73,17.06,12.475
3166402,2020,1854,10.0,32066.73,17.06,12.475
3168200,2020,1872,2.08,32066.73,17.06,12.475
3168200,2020,1872,1.92,32066.73,17.06,12.475
3123502,2020,1912,7.46,32066.73,17.06,12.475
3153806,2020,1943,11.6,32066.73,17.06,12.475
3167004,2020,1956,2.94,32066.73,17.06,12.475
3100708,2020,1992,4.48,32066.73,17.06,12.475
3165602,2020,2003,2.2,32066.73,17.06,12.475
3147808,2020,2031,1.41,32066.73,17.06,12.475
3132800,2020,2056,11.76,32066.73,17.06,12.475
3103306,2020,2059,2.78,32066.73,17.06,12.475
3145703,2020,2130,5.0,32066.73,17.06,12.475
3170602,2020,2148,6.25,32066.73,17.06,12.475
3170602,2020,2148,4.29,32066.73,17.06,12.475
3142502,2020,2202,5.66,32066.73,17.06,12.475
3164902,2020,2250,6.67,32066.73,17.06,12.475
3114907,2020,2254,2.78,32066.73,17.06,12.475
3167301,2020,2264,3.06,32066.73,17.06,12.475
3156205,2020,2320,5.0,32066.73,17.06,12.475
3124609,2020,2325,3.13,32066.73,17.06,12.475
3103207,2020,2354,7.41,32066.73,17.06,12.475
3125200,2020,2376,11.54,32066.73,17.06,12.475
3143609,2020,2437,4.0,32066.73,17.06,12.475
3158706,2020,2476,2.6,32066.73,17.06,12.475
3107000,2020,2498,4.58,32066.73,17.06,12.475
3149002,2020,2532,5.0,32066.73,17.06,12.475
3172202,2020,2548,0.95,32066.73,17.06,12.475
3172202,2020,2548,1.18,32066.73,17.06,12.475
3170305,2020,2596,3.01,32066.73,17.06,12.475
3165560,2020,2606,6.71,32066.73,17.06,12.475
3167509,2020,2618,5.68,32066.73,17.06,12.475
3155009,2020,2620,4.32,32066.73,17.06,12.475
3113800,2020,2646,2.5,32066.73,17.06,12.475
3101300,2020,2665,2.02,32066.73,17.06,12.475
3116209,2020,2671,0.89,32066.73,17.06,12.475
3104403,2020,2704,3.33,32066.73,17.06,12.475
3109808,2020,2706,5.1,32066.73,17.06,12.475
3109808,2020,2706,4.0,32066.73,17.06,12.475
3120003,2020,2728,5.56,32066.73,17.06,12.475
3140407,2020,2728,4.4,32066.73,17.06,12.475
3150109,2020,2733,4.22,32066.73,17.06,12.475
3162302,2020,2746,2.5,32066.73,17.06,12.475
3130804,2020,2776,0.0,32066.73,17.06,12.475
3103603,2020,2787,2.65,32066.73,17.06,12.475
3163607,2020,2806,1.18,32066.73,17.06,12.475
3145505,2020,2809,0.0,32066.73,17.06,12.475
3117207,2020,2813,2.7,32066.73,17.06,12.475
3103801,2020,2835,1.39,32066.73,17.06,12.475
3103801,2020,2835,1.96,32066.73,17.06,12.475
3110400,2020,2869,0.0,32066.73,17.06,12.475
3121506,2020,2884,6.6,32066.73,17.06,12.475
3126406,2020,2967,5.5,32066.73,17.06,12.475
3140209,2020,2987,0.0,32066.73,17.06,12.475
3130002,2020,2996,5.11,32066.73,17.06,12.475
3122801,2020,2997,5.56,32066.73,17.06,12.475
3153301,2020,3001,6.67,32066.73,17.06,12.475
3148806,2020,3005,1.66,32066.73,17.06,12.475
3101409,2020,3011,0.0,32066.73,17.06,12.475
3164431,2020,3024,3.57,32066.73,17.06,12.475
3160603,2020,3065,2.74,32066.73,17.06,12.475
3119609,2020,3090,7.5,32066.73,17.06,12.475
3115003,2020,3092,1.98,32066.73,17.06,12.475
3168051,2020,3101,0.0,32066.73,17.06,12.475
3116902,2020,3120,3.64,32066.73,17.06,12.475
3144672,2020,3128,1.28,32066.73,17.06,12.475
3135001,2020,3142,6.52,32066.73,17.06,12.475
3145802,2020,3152,1.94,32066.73,17.06,12.475
3143708,2020,3153,7.34,32066.73,17.06,12.475
3127354,2020,3164,4.69,32066.73,17.06,12.475
3113107,2020,3166,5.85,32066.73,17.06,12.475
3125507,2020,3173,7.87,32066.73,17.06,12.475
3171501,2020,3179,4.140000000000001,32066.73,17.06,12.475
3157278,2020,3182,3.17,32066.73,17.06,12.475
3115904,2020,3186,2.63,32066.73,17.06,12.475
3119807,2020,3191,3.1100000000000003,32066.73,17.06,12.475
3144201,2020,3220,5.42,32066.73,17.06,12.475
3125309,2020,3221,11.11,32066.73,17.06,12.475
3138302,2020,3226,1.59,32066.73,17.06,12.475
3170479,2020,3260,3.56,32066.73,17.06,12.475
3144375,2020,3308,2.48,32066.73,17.06,12.475
3106804,2020,3329,1.96,32066.73,17.06,12.475
3149507,2020,3330,5.41,32066.73,17.06,12.475
3159704,2020,3357,3.9,32066.73,17.06,12.475
3161056,2020,3362,4.73,32066.73,17.06,12.475
3127370,2020,3378,3.17,32066.73,17.06,12.475
3137908,2020,3379,3.44,32066.73,17.06,12.475
3159407,2020,3402,6.2,32066.73,17.06,12.475
3121902,2020,3424,3.31,32066.73,17.06,12.475
3106101,2020,3425,9.09,32066.73,17.06,12.475
3119708,2020,3441,25.24,32066.73,17.06,12.475
3125804,2020,3466,3.52,32066.73,17.06,12.475
3126950,2020,3487,4.69,32066.73,17.06,12.475
3124708,2020,3491,1.25,32066.73,17.06,12.475
3129905,2020,3492,0.0,32066.73,17.06,12.475
3166105,2020,3519,3.65,32066.73,17.06,12.475
3156403,2020,3520,1.56,32066.73,17.06,12.475
3119005,2020,3542,1.88,32066.73,17.06,12.475
3144904,2020,3573,3.52,32066.73,17.06,12.475
3153707,2020,3584,7.07,32066.73,17.06,12.475
3171402,2020,3589,2.59,32066.73,17.06,12.475
3109600,2020,3591,3.19,32066.73,17.06,12.475
3114709,2020,3597,3.08,32066.73,17.06,12.475
3160009,2020,3602,1.5,32066.73,17.06,12.475
3102407,2020,3605,2.78,32066.73,17.06,12.475
3153004,2020,3631,2.41,32066.73,17.06,12.475
3120706,2020,3639,3.51,32066.73,17.06,12.475
3149200,2020,3643,7.5,32066.73,17.06,12.475
3115409,2020,3653,5.51,32066.73,17.06,12.475
3122470,2020,3655,2.16,32066.73,17.06,12.475
3119906,2020,3694,2.0,32066.73,17.06,12.475
3167905,2020,3708,0.0,32066.73,17.06,12.475
3110806,2020,3730,2.51,32066.73,17.06,12.475
