UF,Código_UF,Estado,Região,Ano,Unemployed
AC,12,Acre,Norte,2012,"8,4"
AC,12,Acre,Norte,2013,"8,975"
AC,12,Acre,Norte,2014,"7,7"
AC,12,Acre,Norte,2015,"8,475"
AC,12,Acre,Norte,2016,"10,875"
AC,12,Acre,Norte,2017,"14,125"
AC,12,Acre,Norte,2018,"13,525"
AC,12,Acre,Norte,2019,"14,5"
AC,12,Acre,Norte,2020,"15,075"
AC,12,Acre,Norte,2021,"15,325"
AC,12,Acre,Norte,2022,"11,7"
AL,27,Alagoas,Nordeste,2012,"11,35"
AL,27,Alagoas,Nordeste,2013,"10,6"
AL,27,Alagoas,Nordeste,2014,"9,625"
AL,27,Alagoas,Nordeste,2015,"11,2"
AL,27,Alagoas,Nordeste,2016,"14,075"
AL,27,Alagoas,Nordeste,2017,"16,675"
AL,27,Alagoas,Nordeste,2018,17
AL,27,Alagoas,Nordeste,2019,"14,9"
AL,27,Alagoas,Nordeste,2020,"18,575"
AL,27,Alagoas,Nordeste,2021,"17,75"
AL,27,Alagoas,Nordeste,2022,"11,175"
AM,13,Amazonas,Norte,2012,"9,5"
AM,13,Amazonas,Norte,2013,"9,075"
AM,13,Amazonas,Norte,2014,"7,725"
AM,13,Amazonas,Norte,2015,"9,525"
AM,13,Amazonas,Norte,2016,"13,575"
AM,13,Amazonas,Norte,2017,"15,675"
AM,13,Amazonas,Norte,2018,"13,9"
AM,13,Amazonas,Norte,2019,14
AM,13,Amazonas,Norte,2020,"15,775"
AM,13,Amazonas,Norte,2021,"14,975"
AM,13,Amazonas,Norte,2022,"10,7"
AP,16,Amapá,Norte,2012,"13,225"
AP,16,Amapá,Norte,2013,"11,45"
AP,16,Amapá,Norte,2014,"10,325"
AP,16,Amapá,Norte,2015,"11,025"
AP,16,Amapá,Norte,2016,"15,45"
AP,16,Amapá,Norte,2017,"17,725"
AP,16,Amapá,Norte,2018,"20,175"
AP,16,Amapá,Norte,2019,"17,35"
AP,16,Amapá,Norte,2020,"14,9"
AP,16,Amapá,Norte,2021,"16,625"
AP,16,Amapá,Norte,2022,"12,425"
BA,29,Bahia,Nordeste,2012,"11,05"
BA,29,Bahia,Nordeste,2013,"11,15"
BA,29,Bahia,Nordeste,2014,"10,25"
BA,29,Bahia,Nordeste,2015,"12,25"
BA,29,Bahia,Nordeste,2016,"15,85"
BA,29,Bahia,Nordeste,2017,"16,95"
BA,29,Bahia,Nordeste,2018,17
BA,29,Bahia,Nordeste,2019,"17,2"
BA,29,Bahia,Nordeste,2020,"19,825"
BA,29,Bahia,Nordeste,2021,"19,475"
BA,29,Bahia,Nordeste,2022,"15,425"
CE,23,Ceará,Nordeste,2012,"7,7"
CE,23,Ceará,Nordeste,2013,"7,825"
CE,23,Ceará,Nordeste,2014,"7,35"
CE,23,Ceará,Nordeste,2015,"8,825"
CE,23,Ceará,Nordeste,2016,"11,95"
CE,23,Ceará,Nordeste,2017,"12,575"
CE,23,Ceará,Nordeste,2018,"11,3"
CE,23,Ceará,Nordeste,2019,"10,925"
CE,23,Ceará,Nordeste,2020,"13,175"
CE,23,Ceará,Nordeste,2021,"13,425"
CE,23,Ceará,Nordeste,2022,"9,45"
DF,53,Distrito Federal,Centro Oeste,2012,"8,625"
DF,53,Distrito Federal,Centro Oeste,2013,"9,025"
DF,53,Distrito Federal,Centro Oeste,2014,"8,95"
DF,53,Distrito Federal,Centro Oeste,2015,"10,1"
DF,53,Distrito Federal,Centro Oeste,2016,12
DF,53,Distrito Federal,Centro Oeste,2017,"13,175"
DF,53,Distrito Federal,Centro Oeste,2018,"12,725"
DF,53,Distrito Federal,Centro Oeste,2019,"13,375"
